,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,383,Lloris,6,1,55,8,4.005,False,1,4.005
1,66,Webster,36,2,44,8,3.802,False,1,3.802
2,110,Zouma,8,2,52,8,3.832,False,1,3.832
3,232,Chilwell,8,2,59,8,4.772,False,1,4.772
4,4,Aubameyang,3,3,117,8,5.78,False,1,5.78
5,254,Salah,14,3,124,8,4.8580000000000005,False,1,4.8580000000000005
6,272,De Bruyne,43,3,115,8,5.131,False,1,5.131
7,276,Sterling,43,3,116,8,4.857,False,1,4.857
8,390,Son,6,3,96,8,5.547999999999999,False,1,5.547999999999999
9,117,Werner,8,4,93,8,5.468,False,1,5.468
10,388,Kane,6,4,109,8,6.416,True,2,12.832
