index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games
603,603,Barnes,NEW,3,6.5,1.669,26.5,11.0,22.0,1.0
604,604,Aina,NFO,2,4.5,1.412,69.95,0.0,71.0,1.0
605,605,Koleosho,BUR,3,5.0,0.695,15.07,2.0,60.0,1.0
606,606,Igor,BHA,2,4.5,1.49,32.53,0.0,0.0,0.0
607,607,Radu,BOU,1,4.5,0.083,2.18,0.0,0.0,0.0
608,608,Bruun Larsen,BUR,3,5.0,0.381,6.57,1.0,29.0,1.0
609,609,Maatsen,CHE,3,5.5,0.425,12.99,1.0,9.0,1.0
610,610,Bassey,FUL,2,4.5,2.139,64.78,0.0,0.0,0.0
611,611,Disasi,CHE,2,5.0,1.158,41.51,11.0,90.0,1.0
613,613,Ugochukwu,CHE,3,4.5,0.584,15.19,1.0,1.0,1.0
614,614,Kaminski,LUT,1,4.5,2.982,88.99,3.0,90.0,1.0
615,615,Matheus França,CRY,3,5.0,0.0,0.0,0.0,0.0,0.0
616,616,Gvardiol,MCI,2,5.0,3.119,64.35,1.0,11.0,1.0
617,617,Højlund,MUN,4,7.0,0.0,0.0,0.0,0.0,0.0
618,618,Kellyman,AVL,3,4.5,0.0,0.0,0.0,0.0,0.0
619,619,Greenwood,BOU,2,4.0,0.0,0.0,0.0,0.0,0.0
620,620,Olakigbe,BRE,3,4.5,0.0,0.0,0.0,0.0,0.0
621,621,Hinshelwood,BHA,3,4.5,0.0,0.0,0.0,0.0,0.0
622,622,Dodgson,BUR,2,4.0,0.0,0.0,0.0,0.0,0.0
623,623,Burstow,CHE,4,4.5,0.0,0.0,0.0,0.0,0.0
624,624,Dobbin,EVE,3,4.5,0.18,3.7,1.0,7.0,1.0
625,625,De Fougerolles,FUL,2,4.0,0.0,0.0,0.0,0.0,0.0
626,626,Quansah,LIV,2,4.0,0.0,0.0,0.0,0.0,0.0
627,627,Clark,LIV,3,4.5,0.0,0.0,0.0,0.0,0.0
628,628,Doak,LIV,3,4.5,0.0,0.0,1.0,13.0,1.0
629,629,McConnell,LIV,3,4.5,0.0,0.0,0.0,0.0,0.0
630,630,Barkley,LUT,3,5.0,1.736,44.6,0.0,0.0,0.0
631,631,Brown,LUT,4,5.0,0.0,0.0,4.0,26.0,1.0
632,632,Forson,MUN,3,4.5,0.0,0.0,0.0,0.0,0.0
633,633,Livramento,NEW,2,4.5,0.38,8.92,0.0,0.0,0.0
634,634,A.Murphy,NEW,2,4.0,0.0,0.0,0.0,0.0,0.0
635,635,Miley,NEW,3,4.5,0.0,0.0,0.0,0.0,0.0
636,636,G.Shelvey,NFO,1,4.0,0.0,0.0,0.0,0.0,0.0
637,637,Powell,NFO,2,4.0,0.0,0.0,0.0,0.0,0.0
638,638,Vini Souza,SHU,3,5.0,0.109,3.15,1.0,10.0,1.0
639,639,Van de Ven,TOT,2,4.5,0.258,9.17,1.0,90.0,1.0
640,640,Scarlett,TOT,4,4.5,0.0,0.0,0.0,0.0,0.0
641,641,Veliz,TOT,4,5.5,0.344,5.71,0.0,0.0,0.0
642,642,Álvarez,WHU,3,5.0,0.0,0.0,0.0,0.0,0.0
643,643,Aarons,BOU,2,4.5,1.777,53.41,2.0,74.0,1.0
644,644,Scott,BOU,3,5.0,0.0,0.0,0.0,0.0,0.0
645,645,Y. Chermiti,EVE,4,5.0,0.0,0.0,0.0,0.0,0.0
10010,10010,Taylor Harwood-Bellis,MCI,2,99.9,0.14300000000000002,2.94,0.0,0.0,0.0
10011,10011,Mason Greenwood,MUN,4,99.9,0.0,0.0,0.0,0.0,0.0
10015,10015,Andy Moran,BHA,3,99.9,0.0,0.0,0.0,0.0,0.0
10019,10019,Nathan Ferguson,CRY,2,99.9,0.455,13.07,0.0,0.0,0.0
10030,10030,James Ward-Prowse,WHU,3,99.9,3.136,72.36,0.0,0.0,0.0
10031,10031,Roméo Lavia,LIV,3,99.9,0.0,0.0,0.0,0.0,0.0
10038,10038,Jonny Evans,MUN,2,99.9,0.135,4.02,0.0,0.0,0.0
10040,10040,Thomas Cannon,EVE,4,99.9,0.203,3.46,0.0,0.0,0.0
10041,10041,Joseph Anang,WHU,1,99.9,0.0,0.0,0.0,0.0,0.0
10045,10045,Matej Kovar,MUN,1,99.9,0.0,0.0,0.0,0.0,0.0
10054,10054,Jensen Weir,BHA,3,99.9,0.0,0.0,0.0,0.0,0.0
10061,10061,Dusan Vlahovic,CHE,4,99.9,0.0,0.0,0.0,0.0,0.0
10065,10065,Ashley Phillips,TOT,2,99.9,0.0,0.0,0.0,0.0,0.0
10066,10066,Jesurun Rak-Sakyi,CRY,4,99.9,0.762,19.28,0.0,0.0,0.0
10067,10067,Arthur Okonkwo,ARS,1,99.9,0.0,0.0,0.0,0.0,0.0
10068,10068,Karl Hein,ARS,1,99.9,0.0,0.0,0.0,0.0,0.0
10070,10070,Tyler Adams,CHE,3,99.9,0.0,0.0,0.0,0.0,0.0
10074,10074,Jay Stansfield,FUL,4,99.9,0.0,0.0,0.0,0.0,0.0
10075,10075,Luke Harris,FUL,3,99.9,0.138,2.65,0.0,0.0,0.0
10078,10078,Alex Scott,BOU,3,99.9,0.0,0.0,0.0,0.0,0.0
10080,10080,Lewis Miley,NEW,3,99.9,0.0,0.0,0.0,0.0,0.0
10082,10082,Wilfried Gnonto,EVE,4,99.9,0.0,0.0,0.0,0.0,0.0
10083,10083,Chermiti,EVE,4,99.9,0.0,0.0,0.0,0.0,0.0
