,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,307,Ederson,43,1,54,31,4.244,False,1,13.4,4.244
1,285,Alexander-Arnold,14,2,73,31,4.4239999999999995,False,1,17.8,4.4239999999999995
2,448,Perišić,6,2,53,31,4.735,False,1,15.8,4.735
3,733,Pedro Porro,6,2,48,31,5.025,False,1,0.8,5.025
4,13,Saka,3,3,86,31,5.471,False,1,40.9,5.471
5,283,Salah,14,3,128,31,6.249,False,1,26.4,6.249
6,301,De Bruyne,43,3,121,31,6.1960000000000015,False,1,26.0,6.1960000000000015
7,305,Grealish,43,3,70,31,4.9110000000000005,False,1,7.3,4.9110000000000005
8,428,Son,6,3,116,31,4.928,False,1,6.4,4.928
9,318,Haaland,43,4,122,31,6.896,True,2,77.7,13.792
10,427,Kane,6,4,117,31,6.847,False,1,39.8,6.847
