,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1793.0,1839.99,1883.97,1888.03,-103.51,424744,31350,1790,301,6.4%
1,FplSimpson,1842.0,1874.97,1928.79,1917.31,-90.91,186815,9330,14,7,9.4%
2,FplStatsdan,1790.0,1825.38,1861.09,1849.13,-80.8,445004,48902,6443,4174,12.3%
3,FF_Trout,1865.0,1900.89,1921.65,1919.11,-74.32,115725,2494,78,7,14.6%
4,dilksybab,1890.0,1953.84,1963.56,1928.79,-83.75,63358,85,1,4,11.1%
5,theFPLkiwi,1750.0,1837.7,1898.9,1878.74,-147.71,738416,34048,708,588,1%
6,jameso_12,1770.0,1769.56,1850.91,1820.09,-69.68,581680,186318,11498,18057,16.4%
7,api_kakayou,1929.0,1848.84,1852.91,1841.78,56.04,20549,23654,10216,6641,80.7%
8,usafpl,1760.0,1749.81,1800.85,1774.51,-40.78,657893,271062,78515,91341,28.6%
9,CazzaFPL,1918.0,1881.76,1939.07,1905.55,-16.56,29120,6896,7,86,40.7%
10,PlanetosFPL,1845.0,1869.93,1914.06,1891.5,-72.48,176896,11384,140,207,15.4%
11,analytic_fpl,1866.0,1835.14,1856.6,1847.89,-5.95,113853,36192,8246,4384,46.9%
12,rogue_wee,1820.0,1847.98,1875.66,1849.74,-63.16,278045,24518,2699,4104,18.6%
13,mtthwmn,1851.0,1868.29,1910.86,1900.75,-68.02,156744,12015,171,127,17.1%
14,cmusson32,1805.0,1853.33,1868.65,1880.57,-87.99,354559,20058,4067,525,10.2%
15,FPLstudent2,1868.0,1938.15,1900.75,1924.17,-77.77,108720,284,622,4,13.2%
16,peterhandleson,1677.0,1736.75,1778.83,1771.14,-110.97,1453450,342127,146524,102957,4.9%
17,chrishp,1904.0,1896.04,1881.61,1875.06,-5.1,43962,3300,1982,836,47.3%
18,plfantasy,1876.0,1815.71,1799.3,1783.57,51.71,91479,64137,82364,69204,78.5%
19,FPLmeta,1864.0,1855.82,1889.32,1882.27,-37.41,118131,18428,1142,457,30.1%
20,FplAuto,1829.0,1867.92,1872.18,1836.74,-54.88,239254,12294,3354,8389,22.1%
21,NourEldin_z3r0,1923.0,1894.72,1855.66,1840.17,35.06,25116,3490,8850,7072,69.8%
22,UkendtPerson45,1886.0,1948.53,1916.66,1902.11,-60.97,70897,121,109,108,19.4%
23,MikkelTokvam,1884.0,1924.39,1894.39,1879.48,-39.98,74063,641,876,585,28.8%
24,Klaudioz,1871.0,1777.97,1738.95,1726.55,98.74,102861,154845,352011,305533,93.7%
25,FantasianPL,1736.0,1837.93,1822.49,1811.98,-112.96,858235,33406,38169,25650,4.7%
26,rama96ab,1848.0,1888.01,1884.42,1874.41,-59.29,166856,4659,1765,890,20.2%
27,FPL_LFE,1891.0,1828.84,1788.31,1767.78,71.67,62654,44517,116139,114398,86.8%
28,_jtreble,1889.0,1890.86,1873.73,1847.46,-6.36,65621,4025,3112,4644,46.4%
29,DanielSaetre,1893.0,1862.59,1889.92,1872.02,-7.27,59256,14866,1100,996,46%
30,FBinary01,1935.0,1839.5,1836.37,1819.25,78.33,17008,31962,23330,18862,88.9%
31,FPL_Data,1785.0,1835.79,1829.79,1835.39,-73.75,478085,35757,29496,9081,14.8%
32,FPL_ElStatto,1788.0,1734.05,1780.92,1764.48,2.45,457599,355513,139373,123418,51.5%
33,FplSigurd,1893.0,1939.88,1934.23,1914.48,-61.43,59039,214,8,26,19.2%
34,JoeBopara,1771.0,1817.94,1858.78,1830.76,-90.38,574756,60224,7262,10847,9.6%
35,dLincolnlawyer,1890.0,1928.99,1896.26,1888.24,-39.07,64028,459,786,286,29.3%
36,FPL_Statoholic,1910.0,1813.35,1877.07,1881.35,26.59,36864,68633,2468,480,65.4%
37,FplAmateur,1907.0,1814.69,1792.42,1780.77,86.34,39904,66349,103675,74960,90.7%
38,wolacola,1904.0,1908.86,1911.53,1910.08,-31.33,44214,1544,169,44,33.2%
39,Hashtag_MEGA,1845.0,1905.82,1933.8,1933.84,-105.06,176094,1901,8,4,5.9%
40,dav_fifa,1872.0,1747.4,1731.52,1716.15,115.53,100408,283054,409081,374514,96.6%
41,MaulanaRiandi,1936.0,1916.26,1862.36,1839.45,39.18,16365,1006,5927,7268,72.1%
42,Rak464,1859.0,1809.05,1857.6,1839.36,-2.09,134000,75841,7874,7287,48.6%
43,ArneBarsnes,1965.0,1895.67,1903.66,1889.23,43.66,5510,3378,383,286,74.5%
44,FPL_PapaSmurf,1845.0,1756.0,1769.72,1764.25,56.37,178013,240051,189052,124180,80.9%
45,gezza96,1944.0,1904.04,1858.47,1844.87,50.54,12496,2090,7341,5342,78.1%
46,Raghy78d,1967.0,1915.51,1923.79,1896.74,29.93,5112,1066,48,148,67.2%
47,pdhFPL,1849.0,1939.31,1916.07,1929.03,-104.02,162845,247,140,4,6.3%
48,NeilRankinZA,1813.0,1755.71,1759.81,1769.12,26.18,312738,241326,234013,107188,65%
49,EuanThompson,1997.0,1973.52,1948.22,1937.47,19.26,1435,16,1,1,61.2%
