rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.03,0.2,94.42
2,2,Bayern Munich,German Bundesliga,3.63,0.48,93.96
3,3,Liverpool,Barclays Premier League,3.06,0.4,91.95
4,5,Chelsea,Barclays Premier League,2.53,0.34,88.98
5,4,Ajax,Dutch Eredivisie,3.07,0.61,88.97
6,6,Internazionale,Italy Serie A,2.62,0.55,85.91
7,7,Real Madrid,Spanish Primera Division,2.55,0.56,85.08
8,8,Atletico Madrid,Spanish Primera Division,2.26,0.5,82.97
9,9,Paris Saint-Germain,French Ligue 1,2.57,0.69,82.73
10,11,Barcelona,Spanish Primera Division,2.34,0.61,81.72
11,10,Borussia Dortmund,German Bundesliga,2.62,0.8,81.3
12,13,FC Porto,Portuguese Liga,2.29,0.62,80.65
13,14,Arsenal,Barclays Premier League,2.17,0.56,80.57
14,12,RB Leipzig,German Bundesliga,2.58,0.83,80.29
15,20,Villarreal,Spanish Primera Division,2.26,0.66,79.6
16,15,Juventus,Italy Serie A,2.14,0.61,78.89
17,16,Napoli,Italy Serie A,2.15,0.64,78.3
18,18,Manchester United,Barclays Premier League,2.21,0.69,78.2
19,17,Atalanta,Italy Serie A,2.33,0.79,77.81
20,27,Benfica,Portuguese Liga,2.25,0.77,77.11
21,22,FC Salzburg,Austrian T-Mobile Bundesliga,2.34,0.85,76.65
22,23,Athletic Bilbao,Spanish Primera Division,1.86,0.54,76.33
23,29,Sporting CP,Portuguese Liga,2.0,0.64,76.26
24,19,Sevilla FC,Spanish Primera Division,1.85,0.54,76.23
25,25,West Ham United,Barclays Premier League,2.04,0.67,76.11
26,26,Brighton and Hove Albion,Barclays Premier League,1.85,0.55,76.07
27,28,Real Betis,Spanish Primera Division,2.15,0.75,75.95
28,24,AC Milan,Italy Serie A,2.14,0.77,75.28
29,32,Tottenham Hotspur,Barclays Premier League,2.07,0.73,75.11
30,21,Real Sociedad,Spanish Primera Division,1.83,0.59,74.65
31,30,Bayer Leverkusen,German Bundesliga,2.24,0.88,74.51
32,31,Mainz,German Bundesliga,1.98,0.71,74.14
33,34,PSV,Dutch Eredivisie,2.31,0.97,73.67
34,33,Aston Villa,Barclays Premier League,1.97,0.74,73.36
35,35,TSG Hoffenheim,German Bundesliga,2.22,0.93,73.09
36,36,Celta Vigo,Spanish Primera Division,1.89,0.71,72.71
37,37,Lille,French Ligue 1,1.79,0.65,72.55
38,43,SC Freiburg,German Bundesliga,2.05,0.83,72.54
39,41,Wolverhampton,Barclays Premier League,1.66,0.56,72.45
40,40,AS Monaco,French Ligue 1,1.87,0.7,72.43
41,42,AS Roma,Italy Serie A,2.1,0.88,72.25
42,39,Leicester City,Barclays Premier League,2.11,0.89,72.19
43,44,Crystal Palace,Barclays Premier League,1.88,0.74,71.73
44,47,Feyenoord,Dutch Eredivisie,2.15,0.95,71.53
45,38,Valencia,Spanish Primera Division,1.96,0.82,71.34
46,46,Zenit St Petersburg,Russian Premier Liga,2.21,1.01,71.03
47,45,Stade Rennes,French Ligue 1,1.97,0.84,70.85
48,50,Rayo Vallecano,Spanish Primera Division,1.79,0.74,70.13
49,51,Fiorentina,Italy Serie A,1.89,0.82,69.98
50,49,Eintracht Frankfurt,German Bundesliga,2.1,0.98,69.9
51,48,Borussia Monchengladbach,German Bundesliga,2.14,1.05,69.25
52,55,FC Cologne,German Bundesliga,2.04,0.98,68.95
53,53,1. FC Union Berlin,German Bundesliga,1.81,0.81,68.94
54,52,Everton,Barclays Premier League,1.87,0.86,68.8
55,63,Getafe,Spanish Primera Division,1.49,0.59,68.1
56,58,Southampton,Barclays Premier League,1.81,0.85,67.89
57,61,Lazio,Italy Serie A,1.95,0.96,67.74
58,59,Lyon,French Ligue 1,1.98,0.99,67.73
59,60,Brentford,Barclays Premier League,1.85,0.89,67.67
60,56,Rangers,Scottish Premiership,1.9,0.93,67.54
61,57,Osasuna,Spanish Primera Division,1.62,0.72,67.28
62,62,AZ,Dutch Eredivisie,1.91,0.96,67.01
63,54,Leeds United,Barclays Premier League,1.89,0.97,66.63
64,70,Torino,Italy Serie A,1.66,0.78,66.49
65,66,Strasbourg,French Ligue 1,1.87,0.96,66.23
66,65,Marseille,French Ligue 1,1.68,0.81,66.17
67,67,VfL Wolfsburg,German Bundesliga,1.89,0.98,66.08
68,68,Flamengo,Brasileiro Série A,1.77,0.9,65.69
69,69,Burnley,Barclays Premier League,1.77,0.92,65.26
70,64,Sassuolo,Italy Serie A,1.96,1.1,64.87
71,74,Braga,Portuguese Liga,1.72,0.91,64.5
72,72,Slavia Prague,UEFA Europa Conference League,1.78,0.97,64.36
73,71,Celtic,Scottish Premiership,1.88,1.06,64.31
74,73,Dinamo Zagreb,UEFA Europa League,1.8,0.99,64.25
75,75,Atletico Mineiro,Brasileiro Série A,1.7,0.92,63.97
76,87,Bologna,Italy Serie A,1.75,0.97,63.72
77,77,Shakhtar Donetsk,UEFA Champions League,1.96,1.14,63.71
78,97,Young Boys,Swiss Raiffeisen Super League,2.12,1.29,63.51
79,79,Monterrey,Mexican Primera Division Torneo Clausura,1.74,0.98,63.45
80,76,Fulham,English League Championship,1.76,0.99,63.4
81,78,Nice,French Ligue 1,1.66,0.9,63.4
82,81,Verona,Italy Serie A,1.73,0.99,62.75
83,83,Espanyol,Spanish Primera Division,1.67,0.94,62.58
84,106,Udinese,Italy Serie A,1.72,0.99,62.54
85,84,Watford,Barclays Premier League,1.76,1.04,62.37
86,82,Olympiacos,Greek Super League,1.63,0.93,62.15
87,88,Kawasaki Frontale,Japanese J League,1.83,1.1,62.13
88,86,VfB Stuttgart,German Bundesliga,1.83,1.11,62.05
89,80,Mallorca,Spanish Primera Division,1.62,0.94,61.9
90,96,Granada,Spanish Primera Division,1.69,1.0,61.83
91,93,Hertha Berlin,German Bundesliga,1.74,1.05,61.62
92,95,FC Augsburg,German Bundesliga,1.71,1.02,61.55
93,90,Lens,French Ligue 1,1.73,1.05,61.4
94,89,River Plate,Argentina Primera Division,1.61,0.95,61.26
95,92,Levante,Spanish Primera Division,1.73,1.06,61.18
96,91,FC Utrecht,Dutch Eredivisie,1.84,1.16,60.94
97,94,Club América,Mexican Primera Division Torneo Clausura,1.66,1.02,60.52
98,85,Alavés,Spanish Primera Division,1.61,1.01,59.73
99,103,Nantes,French Ligue 1,1.51,0.93,59.66
100,104,Elche,Spanish Primera Division,1.57,0.98,59.62
101,99,Cruz Azul,Mexican Primera Division Torneo Clausura,1.6,1.01,59.6
102,98,Club Brugge,Belgian Jupiler League,1.99,1.36,59.56
103,107,Sampdoria,Italy Serie A,1.72,1.13,59.39
104,100,VfL Bochum,German Bundesliga,1.64,1.05,59.34
