,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,281,Alisson,14,1,54,14,4.342,False,1,15.5,4.342
1,16,Gabriel,3,2,51,14,5.409,False,1,10.3,5.409
2,26,Saliba,3,2,52,14,4.567,False,1,31.7,4.567
3,285,Alexander-Arnold,14,2,72,14,5.465,False,1,19.9,5.465
4,13,Saka,3,3,80,14,6.474,False,1,16.1,6.474
5,19,Martinelli,3,3,68,14,5.356,False,1,48.8,5.356
6,160,Zaha,31,3,76,14,5.556,False,1,23.1,5.556
7,283,Salah,14,3,128,14,6.805,True,2,31.9,13.61
8,297,Darwin,14,4,88,14,5.374,False,1,6.4,5.374
9,318,Haaland,43,4,122,14,5.2860000000000005,False,1,83.9,5.2860000000000005
10,427,Kane,6,4,115,14,5.553999999999999,False,1,23.0,5.553999999999999
