,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,213,Meslier,2,1,45,8,3.78,False,1,1,3.78
1,66,Webster,36,2,44,8,3.756,False,1,1,3.756
2,110,Zouma,8,2,52,8,3.953,False,1,1,3.953
3,239,Justin,13,2,48,8,3.658,False,1,1,3.658
4,457,Doherty,6,2,58,8,4.2780000000000005,False,1,1,4.2780000000000005
5,4,Aubameyang,3,3,117,8,5.783,False,1,1,5.783
6,203,Harrison,2,3,55,8,3.708,False,1,1,3.708
7,390,Son,6,3,96,8,5.629,False,1,1,5.629
8,117,Werner,8,4,93,8,5.457999999999998,False,1,1,5.457999999999998
9,377,Adams,20,4,58,8,4.487,False,1,1,4.487
10,388,Kane,6,4,110,8,6.5070000000000014,True,2,1,13.014000000000003
11,363,McCarthy,20,1,45,8,3.786,False,0,0,0.0
12,232,Chilwell,8,2,59,8,4.758,False,0,0,0.0
13,69,Trossard,36,3,60,8,3.957,False,0,0,0.0
14,370,Ward-Prowse,20,3,59,8,4.3260000000000005,False,0,0,0.0
