,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,383,Lloris,6,1,55,8,4.016,False,1,4.016
1,110,Zouma,8,2,52,8,3.953,False,1,3.953
2,232,Chilwell,8,2,59,8,4.758,False,1,4.758
3,457,Doherty,6,2,58,8,4.2780000000000005,False,1,4.2780000000000005
4,4,Aubameyang,3,3,117,8,5.783,False,1,5.783
5,254,Salah,14,3,124,8,5.099,False,1,5.099
6,272,De Bruyne,43,3,115,8,5.063,False,1,5.063
7,390,Son,6,3,96,8,5.629,False,1,5.629
8,117,Werner,8,4,93,8,5.457999999999998,False,1,5.457999999999998
9,224,Vardy,13,4,100,8,4.8180000000000005,False,1,4.8180000000000005
10,388,Kane,6,4,110,8,6.5070000000000014,True,2,13.014000000000003
