index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games,2_Val,2_Pts,2_xMins,2_rp,2_rmin,2_games,3_Val,3_Pts,3_xMins,3_rp,3_rmin,3_games,4_Val,4_Pts,4_xMins,4_rp,4_rmin,4_games,5_Val,5_Pts,5_xMins,5_rp,5_rmin,5_games,6_Val,6_Pts,6_xMins,6_rp,6_rmin,6_games,7_Val,7_Pts,7_xMins,7_rp,7_rmin,7_games,8_Val,8_Pts,8_xMins,8_rp,8_rmin,8_games,9_Val,9_Pts,9_xMins,9_rp,9_rmin,9_games,10_Val,10_Pts,10_xMins,10_rp,10_rmin,10_games,11_Val,11_Pts,11_xMins,11_rp,11_rmin,11_games,12_Val,12_Pts,12_xMins,12_rp,12_rmin,12_games,13_Val,13_Pts,13_xMins,13_rp,13_rmin,13_games,14_Val,14_Pts,14_xMins,14_rp,14_rmin,14_games,15_Val,15_Pts,15_xMins,15_rp,15_rmin,15_games,16_Val,16_Pts,16_xMins,16_rp,16_rmin,16_games,17_Val,17_Pts,17_xMins,17_rp,17_rmin,17_games,18_Val,18_Pts,18_xMins,18_rp,18_rmin,18_games,19_Val,19_Pts,19_xMins,19_rp,19_rmin,19_games,20_Val,20_Pts,20_xMins,20_rp,20_rmin,20_games,21_Val,21_Pts,21_xMins,21_rp,21_rmin,21_games
1,1.0,Fábio Vieira,ARS,3.0,5.5,0.345,4.14,0.0,0.0,0.0,5.5,0.204,2.52,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
2,2.0,G.Jesus,ARS,4.0,7.0,2.8560000000000003,41.97,0.0,5.0,1.0,6.9,1.569,24.84,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,6.8,2.6,45.61,1.0,10.0,1.0,6.8,1.339,27.45,0.0,3.0,1.0,6.8,2.376,31.23,1.0,1.0,1.0,6.8,1.907,21.97,1.0,59.0,1.0,6.8,2.505,38.65,1.0,10.0,1.0,6.8,2.039,35.9,0.0,5.0,1.0,6.8,1.729,29.23,1.0,19.0,1.0,6.8,1.6269999999999998,27.85,1.0,9.0,1.0,6.8,2.057,30.22,1.0,90.0,1.0,6.8,1.713,26.44,1.0,16.0,1.0,6.8,1.473,21.21,0.0,0.0,0.0,6.8,1.356,19.99,1.0,16.0,1.0,6.8,2.335,32.12,1.0,21.0,1.0,6.7,2.129,35.82,16.0,85.0,1.0,6.8,5.1080000000000005,68.6,2.0,71.0,1.0,6.8,3.715,62.92,12.0,90.0,1.0,6.9,4.251,75.67,2.0,90.0,1.0,6.9,0.0,0.0,0.0,0.0,0.0
3,3.0,Gabriel,ARS,2.0,6.0,4.382,91.55,6.0,90.0,1.0,6.0,3.268,90.98,6.0,90.0,1.0,6.0,4.063,89.24,2.0,90.0,1.0,6.0,3.12,90.46,15.0,90.0,1.0,6.0,1.817,90.59,7.0,90.0,1.0,6.1,4.481,86.04,1.0,90.0,1.0,6.1,5.058,92.86,2.0,90.0,1.0,6.1,3.867,92.4,1.0,90.0,1.0,6.1,3.012,92.29,1.0,53.0,1.0,6.2,2.421,69.16,2.0,90.0,1.0,6.2,2.7460000000000004,89.21,2.0,90.0,1.0,6.1,4.349,91.6,6.0,90.0,1.0,6.1,2.705,67.56,9.0,45.0,1.0,6.1,3.198,72.63,0.0,0.0,0.0,6.2,2.032,49.88,0.0,0.0,0.0,6.2,3.594,70.46,9.0,90.0,1.0,6.2,3.729,93.07,4.0,90.0,1.0,6.2,4.914,87.76,6.0,90.0,1.0,6.2,3.692,88.73,2.0,90.0,1.0,6.2,3.74,94.03,2.0,90.0,1.0,6.2,4.082,92.65,0.0,0.0,0.0
4,4.0,Havertz,ARS,4.0,8.0,5.349,85.22,12.0,90.0,1.0,8.1,4.117,83.51,2.0,90.0,1.0,8.1,5.218,88.44,8.0,90.0,1.0,8.1,4.145,91.17,2.0,90.0,1.0,8.1,3.1860000000000004,87.82,2.0,90.0,1.0,8.2,5.792999999999998,89.28,6.0,90.0,1.0,8.2,6.1160000000000005,90.44,8.0,90.0,1.0,8.3,4.229,78.86,2.0,90.0,1.0,8.2,4.349,90.44,2.0,90.0,1.0,8.1,4.059,85.77,1.0,90.0,1.0,8.0,3.766,85.32,1.0,90.0,1.0,8.0,5.481,90.36,0.0,0.0,0.0,7.9,4.332,80.2,6.0,90.0,1.0,7.9,4.776,84.81,2.0,90.0,1.0,7.9,4.477,84.99,5.0,73.0,1.0,7.9,4.673,78.98,2.0,90.0,1.0,7.9,4.033,78.46,6.0,57.0,1.0,7.9,5.0710000000000015,71.19,7.0,90.0,1.0,7.9,4.297,75.83,0.0,0.0,0.0,7.9,3.124,54.08,0.0,0.0,0.0,7.8,5.271,89.0,0.0,0.0,0.0
5,5.0,Hein,ARS,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
6,6.0,J.Timber,ARS,2.0,5.5,0.474,10.91,1.0,21.0,1.0,5.5,1.475,37.29,6.0,78.0,1.0,5.5,2.906,60.8,1.0,79.0,1.0,5.5,2.285,62.09,5.0,90.0,1.0,5.5,1.571,70.12,2.0,90.0,1.0,5.5,2.07,38.99,4.0,90.0,1.0,5.5,2.947,53.34,0.0,0.0,0.0,5.5,1.9,43.84,0.0,0.0,0.0,5.5,1.104,32.07,2.0,75.0,1.0,5.5,2.738,73.19,1.0,70.0,1.0,5.5,2.62,82.13,2.0,90.0,1.0,5.5,4.269,89.25,6.0,87.0,1.0,5.5,3.66,90.95,1.0,90.0,1.0,5.5,3.9,86.84,14.0,90.0,1.0,5.6,3.556,86.14,2.0,90.0,1.0,5.7,4.394,84.08,6.0,90.0,1.0,5.7,3.653,88.73,1.0,85.0,1.0,5.7,4.801,82.34,9.0,90.0,1.0,5.7,3.507,81.28,1.0,90.0,1.0,5.7,0.0,0.0,0.0,0.0,0.0,5.7,3.865,84.74,0.0,0.0,0.0
7,7.0,Jorginho,ARS,3.0,5.0,1.126,25.72,0.0,0.0,0.0,5.0,0.982,24.12,0.0,0.0,0.0,4.9,1.082,25.23,0.0,0.0,0.0,4.9,2.139,65.38,2.0,90.0,1.0,4.9,1.222,37.27,0.0,0.0,0.0,4.9,1.5590000000000002,38.07,0.0,0.0,0.0,4.9,1.077,24.42,2.0,60.0,1.0,4.8,0.823,18.61,0.0,0.0,0.0,4.8,0.981,24.52,0.0,0.0,0.0,4.8,0.594,14.32,0.0,4.0,1.0,4.8,0.564,13.99,0.0,0.0,0.0,4.8,0.526,12.23,0.0,45.0,1.0,4.7,0.395,7.93,2.0,90.0,1.0,4.7,0.748,17.45,1.0,1.0,1.0,4.7,0.445,9.67,2.0,73.0,1.0,4.7,0.8079999999999999,18.38,1.0,28.0,1.0,4.7,0.424,9.0,0.0,0.0,0.0,4.7,1.041,22.11,0.0,0.0,0.0,4.7,0.949,22.73,1.0,2.0,1.0,4.7,1.405,37.15,2.0,63.0,1.0,4.7,0.733,17.03,0.0,0.0,0.0
8,8.0,Kiwior,ARS,2.0,5.0,0.172,3.61,0.0,0.0,0.0,5.0,0.309,7.67,0.0,0.0,0.0,4.9,0.399,8.8,0.0,0.0,0.0,4.9,0.555,14.62,0.0,0.0,0.0,4.9,0.113,4.21,1.0,16.0,1.0,4.8,0.654,13.38,0.0,0.0,0.0,4.8,0.6679999999999999,12.93,1.0,1.0,1.0,4.8,0.489,11.51,0.0,43.0,1.0,4.8,2.267,65.78,1.0,36.0,1.0,4.8,1.05,27.16,0.0,0.0,0.0,4.8,0.184,5.39,0.0,0.0,0.0,4.8,0.361,8.15,1.0,2.0,1.0,4.8,1.243,29.93,1.0,45.0,1.0,4.8,0.8,17.93,6.0,90.0,1.0,4.8,1.5419999999999998,37.44,2.0,90.0,1.0,4.8,2.34,47.4,0.0,0.0,0.0,4.8,0.16399999999999998,5.0,0.0,0.0,0.0,4.8,0.722,15.15,0.0,0.0,0.0,4.8,0.5539999999999999,14.61,0.0,0.0,0.0,4.8,0.7140000000000001,18.58,0.0,0.0,0.0,4.8,0.405,10.49,0.0,0.0,0.0
9,9.0,Martinelli,ARS,3.0,7.0,3.789,52.23,3.0,90.0,1.0,7.0,3.168,56.05,3.0,64.0,1.0,7.0,3.219,47.35,1.0,16.0,1.0,6.9,3.576,61.97,3.0,79.0,1.0,6.9,2.733,65.33,5.0,86.0,1.0,6.9,5.048,70.6,13.0,73.0,1.0,7.0,5.4620000000000015,68.62,6.0,30.0,1.0,7.0,2.6010000000000004,39.67,1.0,26.0,1.0,7.0,4.073,76.19,2.0,84.0,1.0,7.0,3.759,69.43,2.0,60.0,1.0,6.9,3.5010000000000003,69.46,8.0,70.0,1.0,6.9,4.787,68.25,0.0,0.0,0.0,6.9,3.277,55.15,0.0,0.0,0.0,6.8,3.415,49.7,3.0,70.0,1.0,6.8,3.05,49.88,0.0,30.0,1.0,6.7,2.765,36.51,3.0,73.0,1.0,6.7,2.494,40.9,7.0,90.0,1.0,6.7,5.84,73.6,3.0,90.0,1.0,6.8,4.272,73.01,9.0,90.0,1.0,6.8,4.197,70.2,1.0,45.0,1.0,6.8,5.551,84.97,0.0,0.0,0.0
10,10.0,Nelson,FUL,3.0,5.0,0.266,2.81,0.0,0.0,0.0,5.0,0.163,1.85,1.0,2.0,1.0,5.0,0.379,5.28,0.0,0.0,0.0,5.0,1.551,29.69,0.0,24.0,1.0,5.0,1.721,36.13,7.0,16.0,1.0,5.0,1.612,32.61,1.0,21.0,1.0,5.0,1.259,31.5,4.0,13.0,1.0,5.0,1.965,40.57,1.0,22.0,1.0,5.0,1.656,33.85,1.0,22.0,1.0,5.0,1.786,33.92,2.0,81.0,1.0,5.0,1.669,34.59,3.0,81.0,1.0,5.0,3.064,57.37,2.0,70.0,1.0,5.0,2.55,63.44,3.0,61.0,1.0,5.0,3.069,65.14,2.0,70.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
