,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,548,Mendy,8,1,51,8,4.022,False,1,4.022
1,110,Zouma,8,2,52,8,3.951,False,1,3.951
2,232,Chilwell,8,2,59,8,4.829,False,1,4.829
3,457,Doherty,6,2,58,8,4.336,False,1,4.336
4,4,Aubameyang,3,3,117,8,5.792999999999998,False,1,5.792999999999998
5,254,Salah,14,3,124,8,5.144,False,1,5.144
6,272,De Bruyne,43,3,115,8,5.107,False,1,5.107
7,390,Son,6,3,96,8,5.561,False,1,5.561
8,117,Werner,8,4,93,8,4.965,False,1,4.965
9,282,Jesus,43,4,93,8,4.892,False,1,4.892
10,388,Kane,6,4,110,8,6.4529999999999985,True,2,12.905999999999997
