,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,15,Ramsdale,3,1,49,26,4.225,False,1,12.3,4.225
1,16,Gabriel,3,2,52,26,5.062,False,1,13.6,5.062
2,26,Saliba,3,2,53,26,4.4239999999999995,False,1,34.4,4.4239999999999995
3,313,Zinchenko,3,2,51,26,4.516,False,1,10.8,4.516
4,7,Ødegaard,3,3,70,26,5.2010000000000005,False,1,38.5,5.2010000000000005
5,13,Saka,3,3,85,26,6.789,True,2,37.5,13.578
6,283,Salah,14,3,127,26,5.24,False,1,29.0,5.24
7,301,De Bruyne,43,3,123,26,4.996,False,1,29.9,4.996
8,80,Toney,94,4,76,26,5.352,False,1,27.4,5.352
9,318,Haaland,43,4,122,26,6.456,False,1,85.1,6.456
10,427,Kane,6,4,117,26,5.2139999999999995,False,1,36.1,5.2139999999999995
