,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,483,Ramsdale,49,1,49,9,3.758,False,1,1,3.758
1,139,van Aanholt,31,2,54,9,4.065,False,1,1,4.065
2,298,Maguire,1,2,54,9,4.601,False,1,1,4.601
3,313,Wan-Bissaka,1,2,54,9,4.547,False,1,1,4.547
4,37,Grealish,7,3,74,9,4.606,False,1,1,4.606
5,251,Mané,14,3,120,9,5.5779999999999985,False,1,1,5.5779999999999985
6,254,Salah,14,3,124,9,6.718,True,2,1,13.436
7,302,Fernandes,1,3,105,9,6.17,False,1,1,6.17
8,508,Rodríguez,11,3,79,9,4.8,False,1,1,4.8
9,68,Maupay,36,4,65,9,4.449,False,1,1,4.449
10,514,Watkins,7,4,60,9,4.487,False,1,1,4.487
11,583,Norris,90,1,40,9,0.0,False,0,0,0.0
12,75,Bernardo,36,2,39,9,0.168,False,0,0,0.0
13,264,Neco Williams,14,2,39,9,0.039,False,0,0,0.0
14,50,Davis,7,4,43,9,0.489,False,0,0,0.0
