,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,291,de Gea,1,1,54,9,4.167,False,1,4.167
1,255,Robertson,14,2,71,9,4.512,False,1,4.512
2,298,Maguire,1,2,54,9,4.601,False,1,4.601
3,313,Wan-Bissaka,1,2,54,9,4.547,False,1,4.547
4,4,Aubameyang,3,3,117,9,5.124,False,1,5.124
5,251,Mané,14,3,120,9,5.5779999999999985,False,1,5.5779999999999985
6,254,Salah,14,3,124,9,6.718,True,2,13.436
7,302,Fernandes,1,3,105,9,6.17,False,1,6.17
8,306,Rashford,1,3,96,9,5.3660000000000005,False,1,5.3660000000000005
9,282,Jesus,43,4,93,9,4.6530000000000005,False,1,4.6530000000000005
10,460,Jiménez,39,4,85,9,4.603,False,1,4.603
