,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1964.0,2041.41,2065.04,2070.08,-111.51,417283,32267,2732,389,5.1%
1,FplSimpson,2032.0,2082.58,2104.61,2094.08,-78.34,148487,8936,135,59,13.5%
2,FplStatsdan,1978.0,2030.03,2033.08,2018.38,-65.56,372744,41943,13621,9317,18%
3,FF_Trout,2055.0,2115.47,2113.61,2111.24,-74.84,125428,2244,38,4,14.7%
4,dilksybab,2116.0,2186.14,2158.51,2121.77,-55.48,33253,17,1,1,22.5%
5,theFPLkiwi,1926.0,2024.46,2071.02,2047.44,-138.39,670667,48456,1860,1770,1.8%
6,jameso_12,1950.0,1969.14,2026.66,1997.76,-64.68,555309,154093,17206,21044,18.3%
7,api_kakayou,2107.0,2057.47,2037.28,2024.36,51.11,29471,20607,11454,7000,76.7%
8,usafpl,1960.0,1962.26,1971.05,1942.63,-15.03,455625,174023,98195,111610,42.1%
9,CazzaFPL,2138.0,2118.95,2139.06,2102.14,1.5,16047,1843,5,6,51.1%
10,PlanetosFPL,2027.0,2090.26,2103.31,2080.48,-80.8,151525,6830,154,154,12.7%
11,analytic_fpl,2075.0,2050.24,2048.56,2039.11,12.66,80059,25139,6716,2896,57%
12,rogue_wee,2024.0,2077.73,2078.13,2049.15,-60.64,191779,10659,1037,1607,20.2%
13,mtthwmn,2074.0,2092.39,2102.94,2090.46,-37.73,79740,6241,158,94,30.1%
14,cmusson32,1991.0,2053.8,2061.82,2072.28,-88.18,315496,23166,3107,292,10.5%
15,FPLstudent2,2073.0,2158.55,2092.92,2116.86,-65.71,74735,222,381,4,17.9%
16,peterhandleson,1820.0,1885.01,1900.19,1891.86,-88.88,1654981,542248,411949,323054,10.3%
17,chrishp,2114.0,2113.42,2068.63,2060.23,17.26,26272,2619,2217,752,59.6%
18,plfantasy,2068.0,2028.4,1979.87,1962.63,61.8,95366,44213,78406,66602,81.2%
19,FPLmeta,2075.0,2068.06,2092.95,2082.05,-22.63,74257,14752,381,146,37.9%
20,FplAuto,2016.0,2089.26,2068.07,2029.35,-62.29,222535,7081,2273,5275,19.5%
21,NourEldin_z3r0,2114.0,2100.75,2031.34,2017.77,48.32,23954,4594,14577,9475,75.4%
22,UkendtPerson45,2081.0,2154.71,2102.35,2085.76,-49.14,76561,275,160,128,25.2%
23,MikkelTokvam,2080.0,2129.56,2077.74,2059.82,-24.91,55757,1044,1077,760,36.8%
24,Klaudioz,2019.0,1952.74,1892.75,1878.07,95.34,227580,208413,467312,417130,91.5%
25,FantasianPL,1901.0,2023.85,1985.58,1973.56,-109.35,868060,49446,66178,48464,5.3%
26,rama96ab,2046.0,2103.01,2078.24,2064.65,-52.11,130827,4164,1036,630,23.9%
27,FPL_LFE,2102.0,2062.83,1996.77,1977.64,73.85,38461,17463,48331,42715,85.9%
28,_jtreble,2124.0,2129.33,2078.95,2050.84,21.79,21049,1084,1012,1512,61.9%
29,DanielSaetre,2085.0,2058.24,2067.3,2048.96,10.4,53600,19969,2484,1616,56.1%
30,FBinary01,2131.0,2064.69,2037.38,2017.39,75.09,22335,16606,11396,9617,86.4%
31,FPL_Data,1959.0,2028.44,1996.2,2001.92,-66.01,473270,44213,49199,18763,17.8%
32,FPL_ElStatto,1985.0,1948.75,1975.13,1957.87,7.82,267433,221983,88098,75337,54.4%
33,FplSigurd,2115.0,2167.65,2130.73,2109.64,-37.0,25611,100,8,5,30.2%
34,JoeBopara,1973.0,2037.73,2059.56,2029.21,-85.66,397742,35246,3358,5306,11.3%
35,dLincolnlawyer,2078.0,2132.51,2080.03,2072.41,-32.89,76672,896,912,292,32.5%
36,FPL_Statoholic,2095.0,1990.08,2039.39,2045.15,53.22,47516,102274,10660,2078,77.6%
37,FplAmateur,2073.0,2002.83,1963.3,1950.96,84.63,56834,78534,118774,92632,89.2%
38,wolacola,2112.0,2117.48,2095.05,2094.82,-6.67,24526,2017,324,57,46.9%
39,Hashtag_MEGA,2032.0,2099.99,2114.82,2113.24,-93.91,188127,4706,35,4,8.6%
40,dav_fifa,2032.0,1902.68,1871.94,1857.37,138.59,152768,434364,619293,572145,98.1%
41,MaulanaRiandi,2163.0,2141.48,2061.99,2034.26,68.18,5164,589,3086,4067,83.6%
42,Rak464,2060.0,2024.82,2045.62,2023.87,12.04,100957,48131,7709,7167,56.7%
43,ArneBarsnes,2181.0,2118.18,2096.01,2081.0,66.45,3621,1968,294,150,82.8%
44,FPL_PapaSmurf,2014.0,1942.9,1942.69,1936.3,56.97,233669,246530,189182,128730,79.2%
