,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,257,Ederson,43,1,60,15,4.175,False,1,9.2,4.175
1,142,James,8,2,62,15,4.349,False,1,34.1,4.349
2,237,Alexander-Arnold,14,2,80,15,5.25,False,1,39.5,5.25
3,370,Reguilón,6,2,52,15,4.782,False,1,17.8,4.782
4,196,Raphinha,2,3,67,15,5.186,False,1,21.1,5.186
5,233,Salah,14,3,130,15,6.766,True,2,73.0,13.532
6,240,Jota,14,3,79,15,5.038,False,1,29.1,5.038
7,277,Fernandes,1,3,116,15,5.528,False,1,16.5,5.528
8,359,Son,6,3,104,15,6.332000000000002,False,1,20.7,6.332000000000002
9,357,Kane,6,4,123,15,5.938,False,1,10.5,5.938
10,579,Ronaldo,1,4,123,15,5.002,False,1,27.9,5.002
