,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,291,de Gea,1,1,54,9,4.216,False,1,4.216
1,255,Robertson,14,2,71,9,4.484,False,1,4.484
2,298,Maguire,1,2,54,9,4.642,False,1,4.642
3,313,Wan-Bissaka,1,2,54,9,4.627,False,1,4.627
4,4,Aubameyang,3,3,117,9,5.234,False,1,5.234
5,251,Mané,14,3,120,9,5.575,False,1,5.575
6,254,Salah,14,3,124,9,6.598,True,2,13.196
7,272,De Bruyne,43,3,115,9,4.898,False,1,4.898
8,302,Fernandes,1,3,105,9,6.149,False,1,6.149
9,117,Werner,8,4,94,9,5.251,False,1,5.251
10,303,Martial,1,4,87,9,4.954,False,1,4.954
