rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.36,0.42,93.3
2,2,Manchester City,Barclays Premier League,2.99,0.34,92.3
3,3,Paris Saint-Germain,French Ligue 1,3.15,0.46,91.62
4,4,Liverpool,Barclays Premier League,2.78,0.41,89.74
5,6,Barcelona,Spanish Primera Division,2.56,0.47,86.79
6,5,Real Madrid,Spanish Primera Division,2.75,0.58,86.58
7,7,Ajax,Dutch Eredivisie,2.94,0.74,85.78
8,10,Tottenham Hotspur,Barclays Premier League,2.34,0.6,81.96
9,8,Chelsea,Barclays Premier League,2.23,0.55,81.47
10,12,Arsenal,Barclays Premier League,2.29,0.59,81.4
11,11,FC Salzburg,Austrian T-Mobile Bundesliga,2.42,0.68,81.13
12,14,Atletico Madrid,Spanish Primera Division,2.13,0.51,81.03
13,9,Internazionale,Italy Serie A,2.52,0.76,80.74
14,16,Borussia Dortmund,German Bundesliga,2.4,0.73,79.92
15,18,Villarreal,Spanish Primera Division,2.15,0.6,79.39
16,15,FC Porto,Portuguese Liga,2.3,0.69,79.32
17,17,AC Milan,Italy Serie A,2.15,0.61,79.14
18,19,Napoli,Italy Serie A,2.22,0.7,78.21
19,13,RB Leipzig,German Bundesliga,2.28,0.75,77.81
20,20,Benfica,Portuguese Liga,2.22,0.75,76.96
21,31,Celtic,Scottish Premiership,2.36,0.86,76.53
22,22,Sporting CP,Portuguese Liga,2.11,0.7,76.47
23,23,Brighton and Hove Albion,Barclays Premier League,2.0,0.64,76.31
24,25,PSV,Dutch Eredivisie,2.59,1.05,76.08
25,21,Bayer Leverkusen,German Bundesliga,2.24,0.83,75.46
26,26,Manchester United,Barclays Premier League,2.09,0.75,74.96
27,24,Real Sociedad,Spanish Primera Division,1.92,0.64,74.85
28,30,Zenit St Petersburg,Russian Premier Liga,2.07,0.78,74.1
29,27,AS Roma,Italy Serie A,1.94,0.69,73.96
30,33,Lyon,French Ligue 1,2.13,0.85,73.46
31,34,Athletic Bilbao,Spanish Primera Division,1.82,0.64,73.37
32,29,Atalanta,Italy Serie A,2.08,0.82,73.35
33,40,Newcastle,Barclays Premier League,1.95,0.73,73.17
34,28,Feyenoord,Dutch Eredivisie,2.3,0.99,72.97
35,56,Marseille,French Ligue 1,1.88,0.75,71.48
36,35,Real Betis,Spanish Primera Division,1.84,0.73,71.3
37,38,1. FC Union Berlin,German Bundesliga,1.88,0.76,71.27
38,43,SC Freiburg,German Bundesliga,2.1,0.92,71.27
39,54,West Ham United,Barclays Premier League,1.82,0.73,70.98
40,44,FC Cologne,German Bundesliga,2.02,0.9,70.36
41,37,Aston Villa,Barclays Premier League,1.86,0.79,70.24
42,47,Stade Rennes,French Ligue 1,1.94,0.85,70.22
43,32,Crystal Palace,Barclays Premier League,1.83,0.77,70.22
44,63,Eintracht Frankfurt,German Bundesliga,2.01,0.91,70.07
45,52,Brentford,Barclays Premier League,2.01,0.92,69.8
46,46,Borussia Monchengladbach,German Bundesliga,2.12,1.0,69.79
47,48,Mainz,German Bundesliga,1.88,0.83,69.69
48,42,Flamengo,Brasileiro Série A,1.76,0.74,69.68
49,59,Club Brugge,Belgian Jupiler League,2.13,1.03,69.49
50,36,Rangers,Scottish Premiership,2.06,0.98,69.42
51,39,AS Monaco,French Ligue 1,2.07,0.98,69.33
52,45,Juventus,Italy Serie A,1.82,0.8,69.23
53,41,Sevilla FC,Spanish Primera Division,1.78,0.77,69.22
54,55,Celta Vigo,Spanish Primera Division,1.75,0.75,69.16
55,53,Lille,French Ligue 1,1.86,0.83,69.07
56,51,Valencia,Spanish Primera Division,1.7,0.73,68.7
57,49,Lazio,Italy Serie A,1.96,0.95,68.22
58,60,Lens,French Ligue 1,1.91,0.91,68.1
59,64,Osasuna,Spanish Primera Division,1.71,0.77,67.82
60,58,TSG Hoffenheim,German Bundesliga,2.02,1.02,67.7
61,61,Fiorentina,Italy Serie A,1.78,0.83,67.68
62,68,Braga,Portuguese Liga,1.82,0.87,67.64
63,57,Wolverhampton,Barclays Premier League,1.7,0.77,67.59
64,50,Leicester City,Barclays Premier League,1.92,0.95,67.43
65,65,Strasbourg,French Ligue 1,1.72,0.83,66.55
66,75,AZ,Dutch Eredivisie,1.98,1.06,66.0
67,66,Fenerbahce,Turkish Turkcell Super Lig,2.01,1.11,65.3
68,62,VfL Wolfsburg,German Bundesliga,1.87,1.0,65.3
69,67,VfB Stuttgart,German Bundesliga,1.82,0.97,65.2
70,69,Leeds United,Barclays Premier League,1.86,1.02,64.72
71,70,Slavia Prague,UEFA Europa Conference League,1.9,1.06,64.66
72,84,Southampton,Barclays Premier League,1.81,1.0,64.15
73,71,Palmeiras,Brasileiro Série A,1.6,0.83,64.11
74,79,FC Twente,Dutch Eredivisie,1.79,0.99,64.09
75,81,Everton,Barclays Premier League,1.71,0.93,63.99
76,76,Monterrey,Mexican Primera Division Torneo Apertura,1.68,0.9,63.93
77,73,Nice,French Ligue 1,1.65,0.89,63.6
78,74,Torino,Italy Serie A,1.67,0.91,63.54
79,78,Dinamo Zagreb,UEFA Champions League,1.79,1.02,63.44
80,83,Club América,Mexican Primera Division Torneo Apertura,1.73,0.96,63.32
81,82,Werder Bremen,German Bundesliga,1.78,1.02,63.23
82,80,Getafe,Spanish Primera Division,1.48,0.76,63.2
83,72,Rayo Vallecano,Spanish Primera Division,1.61,0.88,63.01
84,77,Genk,Belgian Jupiler League,1.98,1.2,62.79
85,86,Young Boys,Swiss Raiffeisen Super League,2.03,1.29,61.95
86,90,Sassuolo,Italy Serie A,1.86,1.14,61.94
87,87,Fulham,Barclays Premier League,1.67,1.0,61.45
88,96,Espanyol,Spanish Primera Division,1.62,0.95,61.41
89,85,Atletico Mineiro,Brasileiro Série A,1.56,0.9,61.34
90,99,Internacional,Brasileiro Série A,1.63,0.98,61.13
91,108,Hertha Berlin,German Bundesliga,1.65,1.01,60.67
92,91,Almeria,Spanish Primera Division,1.64,1.0,60.62
93,,Shakhtar Donetsk,UEFA Champions League,1.88,1.22,60.47
94,88,Olympiacos,Greek Super League,1.66,1.03,60.27
95,105,Norwich City,English League Championship,1.68,1.06,60.11
96,92,Verona,Italy Serie A,1.7,1.08,60.08
97,93,Tigres UANL,Mexican Primera Division Torneo Apertura,1.57,0.97,59.93
98,97,São Paulo,Brasileiro Série A,1.5,0.9,59.92
99,98,Girona FC,Spanish Primera Division,1.56,0.97,59.68
100,95,Fluminense,Brasileiro Série A,1.48,0.9,59.55
101,102,Udinese,Italy Serie A,1.72,1.13,59.32
102,111,Philadelphia Union,Major League Soccer,1.83,1.22,59.26
103,100,Nantes,French Ligue 1,1.62,1.05,59.06
104,114,Schalke 04,German Bundesliga,1.7,1.12,59.05
105,,Slovácko,UEFA Europa Conference League,1.79,1.21,58.91
106,121,Pachuca,Mexican Primera Division Torneo Apertura,1.48,0.93,58.91
107,104,Spartak Moscow,Russian Premier Liga,1.67,1.11,58.63
108,,Steaua Bucuresti,UEFA Europa Conference League,1.63,1.07,58.61
109,107,River Plate,Argentina Primera Division,1.58,1.04,58.35
110,106,Mallorca,Spanish Primera Division,1.55,1.02,58.25
111,116,Sheffield United,English League Championship,1.58,1.05,58.19
112,113,Reims,French Ligue 1,1.59,1.07,57.93
113,112,Red Star Belgrade,UEFA Europa League,1.71,1.19,57.71
114,101,Real Valladolid,Spanish Primera Division,1.57,1.06,57.69
115,89,Anderlecht,Belgian Jupiler League,1.68,1.17,57.5
116,115,Elche,Spanish Primera Division,1.52,1.02,57.35
117,124,CSKA Moscow,Russian Premier Liga,1.54,1.09,56.41
118,94,Cadiz,Spanish Primera Division,1.51,1.06,56.37
119,123,FC Utrecht,Dutch Eredivisie,1.81,1.34,56.36
120,103,Bodo/Glimt,Norwegian Tippeligaen,1.9,1.43,56.26
121,,SC Dnipro-1,UEFA Europa Conference League,1.73,1.27,56.21
122,109,FC Copenhagen,Danish SAS-Ligaen,1.73,1.27,56.12
123,117,West Bromwich Albion,English League Championship,1.5,1.06,56.11
124,122,Trabzonspor,Turkish Turkcell Super Lig,1.6,1.15,56.04
125,152,Molde,Norwegian Tippeligaen,1.89,1.43,56.0
126,118,VfL Bochum,German Bundesliga,1.69,1.25,55.84
127,125,KAA Gent,Belgian Jupiler League,1.54,1.12,55.69
128,110,FC Augsburg,German Bundesliga,1.61,1.18,55.54
129,,Dynamo Kiev,UEFA Europa League,1.59,1.17,55.39
130,130,Ferencvaros,UEFA Europa League,1.64,1.23,55.23
131,,Viktoria Plzen,UEFA Champions League,1.68,1.27,55.04
132,134,Bragantino,Brasileiro Série A,1.49,1.09,55.01
133,120,Nottingham Forest,Barclays Premier League,1.53,1.13,54.98
134,133,Corinthians,Brasileiro Série A,1.18,0.8,54.96
135,128,Watford,English League Championship,1.49,1.1,54.92
