,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,376,Pope,4,1,51,3.5568,False,1,1,14.0,3.5568
1,285,Alexander-Arnold,14,2,75,3.3068000000000004,False,1,1,43.0,3.3068000000000004
2,357,Trippier,4,2,53,3.4258,False,1,1,38.0,3.4258
3,448,Perišić,6,2,56,3.2965999999999993,False,1,1,26.5,3.2965999999999993
4,160,Zaha,31,3,72,3.6204,False,1,1,14.1,3.6204
5,261,Maddison,13,3,79,3.9466,False,1,1,3.3,3.9466
6,428,Son,6,3,117,4.4138,False,1,1,8.8,4.4138
7,465,Bowen,21,3,81,4.063,False,1,1,2.9,4.063
8,66,Solanke,91,4,57,3.9044,False,1,1,0.5,3.9044
9,210,Mitrović,54,4,69,4.6232,False,1,1,27.0,4.6232
10,427,Kane,6,4,114,5.2184,True,2,1,17.4,10.4368
11,254,Ward,13,1,40,3.3549999999999995,False,0,0,26.3,0.0
12,33,Digne,7,2,47,2.9616,False,0,0,2.1,0.0
13,39,Mings,7,2,43,2.7188,False,0,0,3.1,0.0
14,346,Andreas,54,3,46,3.0714,False,0,0,25.2,0.0
