index,ID,Name,Team,Pos,price,gw,xp,xmin,rp,rmin,games
1,1,Raya,Arsenal,G,6.0,1,4.46,89.09,6.0,90.0,1.0
2,2,Arrizabalaga,Arsenal,G,5.0,1,0.05,0.9,0.0,0.0,0.0
3,3,Meslier,Arsenal,G,5.0,1,0.0,0.0,0.0,0.0,0.0
4,4,Gabriel,Arsenal,D,8.0,1,5.8,87.9,5.0,90.0,1.0
5,5,J.Timber,Arsenal,D,6.5,1,0.0,0.0,0.0,0.0,0.0
6,6,Saliba,Arsenal,D,6.0,1,0.0,0.0,0.0,0.0,0.0
7,7,Lewis-Skelly,Arsenal,M,5.5,1,1.62,38.4,3.0,90.0,1.0
8,8,Calafiori,Arsenal,D,5.5,1,4.64,69.15,9.0,80.0,1.0
9,9,Hincapie,Arsenal,D,5.5,1,1.95,31.5,1.0,9.0,1.0
10,10,White,Arsenal,D,5.5,1,5.57,80.7,11.0,90.0,1.0
11,11,Mosquera,Arsenal,D,5.5,1,5.36,88.12,6.0,90.0,1.0
12,12,Saka,Arsenal,M,9.5,1,3.14,36.6,9.0,67.0,1.0
13,13,Rice,Arsenal,M,7.5,1,2.61,45.15,3.0,67.0,1.0
14,14,Eze,Arsenal,M,6.5,1,2.03,28.35,1.0,14.0,1.0
15,15,Ødegaard,Arsenal,M,6.5,1,4.78,72.0,11.0,75.0,1.0
16,16,Madueke,Arsenal,M,6.5,1,2.76,43.95,1.0,22.0,1.0
17,17,Merino,Arsenal,M,6.0,1,0.98,6.57,1.0,14.0,1.0
18,18,Martinelli,Arsenal,M,6.5,1,0.39,0.19,0.0,0.0,0.0
19,19,Zubimendi,Arsenal,M,5.5,1,1.67,34.42,1.0,22.0,1.0
20,20,Dowman,Arsenal,M,5.5,1,0.57,8.7,0.0,0.0,0.0
21,21,Nørgaard,Everton,M,5.0,1,0.0,0.0,0.0,0.0,0.0
22,22,Nwaneri,Arsenal,M,5.5,1,0.1,0.3,0.0,0.0,0.0
23,23,Fábio Vieira,Arsenal,M,5.5,1,0.0,0.0,0.0,0.0,0.0
24,24,Nelson,Arsenal,M,5.5,1,0.0,0.0,0.0,0.0,0.0
25,25,Gyökeres,Arsenal,F,7.5,1,2.34,29.4,0.0,0.0,0.0
26,26,Havertz,Arsenal,F,7.5,1,4.75,66.45,6.0,90.0,1.0
27,27,G.Jesus,Arsenal,F,6.0,1,0.47,1.8,0.0,0.0,0.0
28,28,Martinez,Aston Villa,G,5.0,1,0.0,0.0,0.0,0.0,0.0
29,29,M.Bizot,Aston Villa,G,4.5,1,0.05,1.8,1.0,90.0,1.0
30,30,Digne,Aston Villa,D,4.5,1,0.0,0.0,0.0,0.0,0.0
31,31,Konsa,Arsenal,D,4.5,1,0.0,0.0,0.0,0.0,0.0
32,32,Cash,Aston Villa,D,4.5,1,2.85,88.02,-1.0,90.0,1.0
33,33,Mings,Aston Villa,D,4.5,1,0.62,14.62,1.0,16.0,1.0
34,34,Pau,Aston Villa,D,4.5,1,2.42,76.95,0.0,73.0,1.0
35,35,Bogarde,Aston Villa,M,5.0,1,1.48,44.4,1.0,16.0,1.0
36,36,Maatsen,Aston Villa,D,4.5,1,3.02,74.7,0.0,81.0,1.0
37,37,Lindelöf,Aston Villa,D,4.5,1,2.65,82.2,-2.0,90.0,1.0
38,38,A.García,Aston Villa,D,4.0,1,0.0,0.0,0.0,0.0,0.0
39,39,Nedeljkovic,Aston Villa,D,4.0,1,0.0,0.0,0.0,0.0,0.0
40,40,Rogers,Chelsea,M,7.5,1,4.2,72.0,8.0,81.0,1.0
41,41,Buendía,Aston Villa,M,6.0,1,4.05,73.95,2.0,85.0,1.0
42,42,Guessand,Crystal Palace,M,5.5,1,0.65,10.08,1.0,27.0,1.0
43,43,Tielemans,Man Utd,M,6.0,1,4.12,80.55,2.0,66.0,1.0
44,44,Bailey,Aston Villa,M,5.5,1,0.0,0.0,0.0,0.0,0.0
45,45,McGinn,Aston Villa,M,5.5,1,3.39,75.0,1.0,81.0,1.0
46,46,Barkley,Aston Villa,M,5.0,1,3.33,75.6,2.0,73.0,1.0
47,47,Kamara,Aston Villa,M,5.0,1,3.01,81.75,2.0,90.0,1.0
48,48,Onana,Aston Villa,M,5.0,1,0.0,0.0,0.0,0.0,0.0
49,49,Iling Jr,Aston Villa,M,5.0,1,0.0,0.0,0.0,0.0,0.0
50,50,Burrowes,Aston Villa,M,4.5,1,0.0,0.0,0.0,0.0,0.0
51,51,George Hemmings,Aston Villa,M,4.5,1,3.2,71.85,2.0,90.0,1.0
52,52,Alysson,Aston Villa,M,5.0,1,0.4,9.15,1.0,8.0,1.0
53,53,Manzambi,Aston Villa,M,6.0,1,0.0,0.0,0.0,0.0,0.0
54,54,Gomes,Aston Villa,M,5.5,1,0.0,0.0,-2.0,39.0,1.0
55,55,Watkins,Aston Villa,F,8.0,1,0.84,14.55,0.0,0.0,0.0
56,56,Abraham,Aston Villa,F,5.5,1,1.93,35.85,0.0,0.0,0.0
57,57,Petrović,Bournemouth,G,4.5,1,2.35,90.0,2.0,90.0,1.0
58,58,Forster,Bournemouth,G,4.0,1,0.0,0.0,0.0,0.0,0.0
59,59,Dennis,Bournemouth,G,4.0,1,0.01,0.0,0.0,0.0,0.0
60,60,Hill,Bournemouth,D,5.5,1,2.87,80.55,1.0,90.0,1.0
61,61,Truffert,Bournemouth,D,5.5,1,2.51,85.95,1.0,90.0,1.0
62,62,Diakité,Bournemouth,D,5.0,1,0.61,18.72,0.0,0.0,0.0
63,63,Milosavljević,Bournemouth,D,5.0,1,0.0,0.0,0.0,0.0,0.0
64,64,Smith,Bournemouth,D,4.5,1,1.44,61.65,1.0,90.0,1.0
