Pos,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,71,2.338,67,2.219,68,1.902,66,2.994,66,2.891,64,2.618,64,2.836,65,3.251
M,Aubameyang,11.4,11.4,Arsenal,78,4.488,75,4.324,72,3.971,72,4.771,71,4.704,70,4.595,70,4.716,70,5.284
D,Cédric,4.6,4.6,Arsenal,10,0.345,13,0.448,18,0.529,20,0.936,17,0.768,17,0.719,21,0.961,18,0.924
F,Lacazette,8.1,8.1,Arsenal,56,3.011,56,3.021,57,2.971,54,3.228,56,3.357,55,3.321,54,3.296,52,3.52
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,87,3.519,86,3.496,86,3.27,85,3.976,85,3.882,84,3.691,84,3.861,84,4.105
M,Xhaka,5.2,5.2,Arsenal,85,2.344,82,2.275,80,2.144,78,2.447,77,2.415,77,2.357,75,2.375,73,2.485
D,Marí,4.4,4.4,Arsenal,57,1.861,59,1.929,59,1.627,62,2.79,58,2.516,57,2.304,59,2.587,56,2.761
D,Bellerín,5.1,5.1,Arsenal,73,2.568,71,2.5,70,2.082,69,3.327,70,3.266,68,2.96,66,3.111,68,3.622
G,Martínez,5.4,5.0,Aston Villa,88,3.859,87,3.301,87,3.726,86,3.022,86,3.012,85,3.909,85,3.334,84,3.113
D,Chambers,4.5,4.5,Arsenal,2,0.07,2,0.07,3,0.091,3,0.14,5,0.228,6,0.257,6,0.276,5,0.258
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,61,2.06,0,0,64,1.149,64,2.007,62,1.431,60,1.564,61,2.067,62,1.337
D,Holding,4.4,4.4,Arsenal,45,1.57,45,1.584,44,1.318,44,2.116,44,2.042,46,1.996,47,2.207,48,2.533
D,Tierney,5.2,5.2,Arsenal,82,3.048,80,3.003,77,2.441,76,3.871,74,3.638,74,3.416,74,3.685,75,4.194
M,Pépé,7.6,7.6,Arsenal,32,1.739,33,1.802,30,1.567,38,2.323,33,2.028,36,2.192,37,2.301,39,2.679
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,74,2.692,73,2.48,63,2.223,59,2.311,52,1.958,55,1.814,52,1.901,57,1.975
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.4,5.4,Arsenal,5,0.29,5,0.288,5,0.28,5,0.313,5,0.314,5,0.315,6,0.381,6,0.417
M,Smith Rowe,4.3,4.3,Arsenal,34,1.477,55,2.305,57,2.286,55,2.591,56,2.628,57,2.647,56,2.66,54,2.811
M,Saka,5.3,5.3,Arsenal,69,3.401,68,3.409,68,3.233,67,3.788,67,3.79,66,3.704,66,3.785,65,4.124
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,3,0.162,3,0.163,4,0.209,4,0.242,4,0.242,5,0.302,5,0.307,5,0.337
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039,0,0
D,El Mohamady,4.3,4.3,Aston Villa,73,3.389,45,1.527,44,1.975,32,0.768,32,0.679,15,0.78,15,0.547,18,0.565
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,2,0.078,4,0.118,3,0.114,2,0.043,4,0.076,3,0.13,4,0.125,5,0.135
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.037
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
