,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,431,Fabianski,21,1,50,8,3.952,False,1,3.952
1,77,Lamptey,36,2,47,8,3.807,False,1,3.807
2,232,Chilwell,8,2,58,8,4.541,False,1,4.541
3,362,Bertrand,20,2,50,8,3.821,False,1,3.821
4,4,Aubameyang,3,3,117,8,5.757999999999999,False,1,5.757999999999999
5,254,Salah,14,3,124,8,5.207999999999998,False,1,5.207999999999998
6,272,De Bruyne,43,3,115,8,5.182,False,1,5.182
7,276,Sterling,43,3,116,8,5.377000000000002,False,1,5.377000000000002
8,390,Son,6,3,95,8,5.329,False,1,5.329
9,117,Werner,8,4,93,8,5.324,False,1,5.324
10,388,Kane,6,4,109,8,6.178,True,2,12.356
