,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,548,Mendy,8,1,52,30,4.7639999999999985,False,1,8.2,4.7639999999999985
1,102,Azpilicueta,8,2,58,30,4.707,False,1,6.6,4.707
2,123,James,8,2,50,30,4.913,False,1,6.2,4.913
3,200,Dallas,2,2,51,30,4.566,False,1,25.3,4.566
4,300,Shaw,1,2,52,30,4.934,False,1,13.6,4.934
5,120,Mount,8,3,70,30,5.452000000000001,False,1,14.8,5.452000000000001
6,254,Salah,14,3,124,30,5.3210000000000015,False,1,29.0,5.3210000000000015
7,302,Fernandes,1,3,115,30,5.379,False,1,56.6,5.379
8,570,Raphinha,2,3,57,30,4.76,False,1,16.3,4.76
9,202,Bamford,2,4,67,30,4.521,False,1,48.2,4.521
10,388,Kane,6,4,116,30,6.364,True,2,45.7,12.728
