rank,prev_rank,name,league,off,def,spi
1,2,Manchester City,Barclays Premier League,3.0,0.23,93.87
2,1,Bayern Munich,German Bundesliga,3.56,0.51,93.31
3,3,Liverpool,Barclays Premier League,3.05,0.38,92.14
4,4,Ajax,Dutch Eredivisie,3.07,0.61,88.97
5,5,Chelsea,Barclays Premier League,2.53,0.36,88.63
6,6,Internazionale,Italy Serie A,2.61,0.56,85.58
7,7,Real Madrid,Spanish Primera Division,2.58,0.56,85.39
8,8,Atletico Madrid,Spanish Primera Division,2.25,0.49,83.04
9,9,Paris Saint-Germain,French Ligue 1,2.54,0.67,82.83
10,10,Arsenal,Barclays Premier League,2.19,0.52,81.77
11,12,Borussia Dortmund,German Bundesliga,2.65,0.8,81.67
12,13,Villarreal,Spanish Primera Division,2.35,0.62,81.64
13,15,RB Leipzig,German Bundesliga,2.64,0.8,81.61
14,11,Barcelona,Spanish Primera Division,2.28,0.59,81.34
15,14,FC Porto,Portuguese Liga,2.35,0.65,80.87
16,16,Tottenham Hotspur,Barclays Premier League,2.18,0.6,79.72
17,19,Atalanta,Italy Serie A,2.42,0.78,79.04
18,18,Napoli,Italy Serie A,2.13,0.61,78.71
19,17,Juventus,Italy Serie A,2.16,0.67,77.87
20,24,Benfica,Portuguese Liga,2.28,0.76,77.71
21,20,Athletic Bilbao,Spanish Primera Division,1.87,0.51,77.25
22,21,Brighton and Hove Albion,Barclays Premier League,1.93,0.56,77.12
23,27,AC Milan,Italy Serie A,2.19,0.73,77.04
24,22,Sevilla FC,Spanish Primera Division,1.82,0.49,76.95
25,23,Manchester United,Barclays Premier League,2.16,0.72,76.87
26,25,FC Salzburg,Austrian T-Mobile Bundesliga,2.34,0.85,76.65
27,28,West Ham United,Barclays Premier League,2.13,0.75,75.67
28,31,Real Sociedad,Spanish Primera Division,1.84,0.57,75.3
29,26,Sporting CP,Portuguese Liga,2.04,0.73,74.88
30,29,Real Betis,Spanish Primera Division,2.1,0.79,74.4
31,33,Wolverhampton,Barclays Premier League,1.68,0.51,74.05
32,30,Bayer Leverkusen,German Bundesliga,2.26,0.93,73.76
33,35,PSV,Dutch Eredivisie,2.31,0.97,73.67
34,36,TSG Hoffenheim,German Bundesliga,2.24,0.93,73.38
35,34,Celta Vigo,Spanish Primera Division,1.89,0.7,72.96
36,37,Leicester City,Barclays Premier League,2.2,0.92,72.87
37,38,Aston Villa,Barclays Premier League,1.95,0.75,72.73
38,41,AS Monaco,French Ligue 1,1.84,0.67,72.67
39,32,Mainz,German Bundesliga,1.95,0.76,72.58
40,39,Lille,French Ligue 1,1.79,0.65,72.55
41,42,AS Roma,Italy Serie A,2.15,0.92,72.2
42,43,Feyenoord,Dutch Eredivisie,2.15,0.95,71.53
43,40,SC Freiburg,German Bundesliga,2.06,0.89,71.5
44,44,Zenit St Petersburg,Russian Premier Liga,2.21,1.01,71.03
45,51,Borussia Monchengladbach,German Bundesliga,2.18,1.0,70.83
46,46,Crystal Palace,Barclays Premier League,1.94,0.84,70.43
47,45,Stade Rennes,French Ligue 1,1.91,0.82,70.2
48,50,Rayo Vallecano,Spanish Primera Division,1.76,0.72,69.96
