,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,129,Arrizabalaga,8,1,47,22,5.955,False,1,1,0.4,5.955
1,71,Lamptey,36,2,45,22,5.518,False,1,1,2.5,5.518
2,106,Mee,90,2,48,22,5.686999999999999,False,1,1,0.5,5.686999999999999
3,279,Telles,1,2,50,22,6.83,False,1,1,1.0,6.83
4,555,Varane,1,2,55,22,6.077000000000001,False,1,1,2.3,6.077000000000001
5,584,Cucurella,36,2,51,22,5.5070000000000014,False,1,1,2.8,5.5070000000000014
6,64,Trossard,36,3,61,22,6.564,False,1,1,1.5,6.564
7,96,Mbeumo,94,3,53,22,5.892,False,1,1,1.2,5.892
8,210,Tielemans,13,3,64,22,5.706,False,1,1,4.3,5.706
9,362,Lucas Moura,6,3,65,22,6.1789999999999985,False,1,1,4.6,6.1789999999999985
10,109,Wood,90,4,67,22,6.932,True,2,1,1.4,13.864
11,556,Fernández,94,1,45,22,5.754,False,0,0,1.0,0.0
12,281,Rashford,1,3,94,22,5.455,False,0,0,0.8,0.0
13,404,João Pedro,57,4,54,22,5.081,False,0,0,0.3,0.0
14,455,Daka,13,4,71,22,5.033,False,0,0,0.9,0.0
