,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,,,80201,0,0,-1,1,0,1,2.0,2.0,0,Bernd,1.0,1,False,,,49,80201.jpg,1.3,Leno,1.8,False,,a,1,3,4,44703,1552,85807,8845,0.2,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,71,14,514,52,488,50,206,14,,,,,,
1,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,1.2,False,,u,1,3,0,19017,0,35252,2889,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,381,35,372,17,313,14,388,35,,,,,,
2,0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,,u,1,3,0,914,0,17860,440,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592,241,591,241,589,241,592,241,,,,,,
3,100.0,100.0,54694,0,0,-1,1,0,4,4.7,4.7,9,Pierre-Emerick,3.7,4,False,,2021-08-13T14:30:14.477664Z,99,54694.jpg,3.7,Aubameyang,2.1,False,,a,1,3,11,116532,10246,174220,6833,0.4,1.1,Aubameyang,177,1,0,1,4,0,0,0,0,0,0,3,35,40.8,25.2,122.0,18.7,186,21,163,24,29,10,72,18,,,,,1.0,
4,,,58822,0,0,-1,1,0,2,1.3,1.3,1,Cédric,0.3,5,False,,,44,58822.jpg,0.3,Soares,0.2,False,,a,1,3,1,7895,340,12618,762,0.1,0.2,Cédric,188,0,0,0,7,0,0,0,1,0,0,0,21,30.8,36.1,1.0,6.8,214,85,118,23,291,96,223,71,,,5.0,,,
5,100.0,100.0,59966,0,0,-1,1,0,4,1.3,1.3,0,Alexandre,0.3,6,False,,2021-08-13T14:30:14.582063Z,84,59966.jpg,1.0,Lacazette,1.1,False,,a,1,3,1,15602,785,123690,3406,0.0,0.1,Lacazette,31,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.3,0.0,0.1,356,46,343,49,598,83,370,50,,,3.0,,2.0,
6,0.0,0.0,84450,0,0,-1,1,0,3,0.0,0.0,0,Granit,0.0,7,False,Suspended until 26 Sep,2021-08-28T14:30:16.120624Z,49,84450.jpg,0.7,Xhaka,0.5,False,,s,1,3,2,14318,150,58120,2556,0.0,0.4,Xhaka,214,0,0,0,9,0,0,0,0,1,0,0,20,33.2,51.0,9.0,9.3,209,82,83,50,219,118,169,82,,,4.0,,,
7,,,92371,0,0,-1,1,0,2,1.0,1.0,0,Pablo,0.0,8,False,,,44,92371.jpg,0.5,Marí,0.2,False,,a,1,3,1,4144,109,7676,546,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,137,56,219,69,207,51,205,64,,,,,,
8,0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.4,False,,u,1,3,0,3737,0,56535,2573,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,515,191,511,191,481,181,518,190,,,,,,
9,,,101184,0,0,-1,1,0,2,1.0,1.0,0,Calum,0.0,10,False,,,44,101184.jpg,0.5,Chambers,0.3,False,,a,1,3,1,6520,200,16728,1165,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,169,69,187,53,200,47,209,65,,,,,,
10,75.0,75.0,111457,0,0,-1,1,0,2,0.5,0.5,0,Sead,-0.3,11,False,Knock - 75% chance of playing,2021-09-09T11:30:14.107791Z,44,111457.jpg,-1.0,Kolasinac,0.1,False,,d,1,3,-1,1445,64,5820,467,-0.1,-0.2,Kolasinac,90,0,0,0,5,0,0,0,1,0,0,0,3,4.0,0.0,0.0,0.4,323,121,406,159,351,132,351,122,,,,,,
11,0.0,0.0,153256,0,0,0,0,0,3,0.0,0.0,0,Mohamed Naser,0.3,12,False,Muscle injury - Expected back 02 Oct,2021-09-03T11:30:15.140806Z,45,153256.jpg,1.0,El Sayed Elneny,0.5,False,,i,1,3,1,12850,255,32522,3271,0.1,0.2,Elneny,45,0,0,0,2,0,0,0,0,0,0,0,2,3.4,0.3,0.0,0.4,330,149,333,167,405,158,352,162,,,,,,
12,,,154043,0,0,-1,1,0,3,2.3,2.3,3,Ainsley,1.3,13,False,,,54,154043.jpg,2.0,Maitland-Niles,0.1,False,,a,1,3,4,879,156,3794,149,0.2,0.7,Maitland-Niles,100,0,0,1,1,0,0,0,0,0,0,0,15,15.0,27.1,8.0,5.1,271,110,151,93,232,124,252,111,,,,,,
