rank,prev_rank,name,league,off,def,spi
1,2,Bayern Munich,German Bundesliga,3.38,0.44,93.17
2,1,Manchester City,Barclays Premier League,2.98,0.35,92.1
3,3,Paris Saint-Germain,French Ligue 1,3.11,0.53,90.43
4,4,Liverpool,Barclays Premier League,2.84,0.42,90.03
5,5,Real Madrid,Spanish Primera Division,2.74,0.58,86.66
6,8,Barcelona,Spanish Primera Division,2.43,0.49,85.27
7,7,Ajax,Dutch Eredivisie,2.92,0.78,84.92
8,6,Chelsea,Barclays Premier League,2.29,0.53,82.74
9,9,Internazionale,Italy Serie A,2.5,0.69,82.0
10,10,Tottenham Hotspur,Barclays Premier League,2.37,0.61,81.93
11,15,FC Salzburg,Austrian T-Mobile Bundesliga,2.45,0.7,81.16
12,14,Arsenal,Barclays Premier League,2.26,0.61,80.63
13,13,RB Leipzig,German Bundesliga,2.35,0.66,80.59
14,11,Atletico Madrid,Spanish Primera Division,2.11,0.53,80.34
15,16,FC Porto,Portuguese Liga,2.31,0.66,80.17
16,12,Borussia Dortmund,German Bundesliga,2.42,0.77,79.51
17,18,AC Milan,Italy Serie A,2.17,0.62,79.08
18,19,Villarreal,Spanish Primera Division,2.19,0.65,78.84
19,21,Napoli,Italy Serie A,2.27,0.75,77.69
20,22,Benfica,Portuguese Liga,2.17,0.7,77.33
21,20,Bayer Leverkusen,German Bundesliga,2.24,0.79,76.36
22,17,Sporting CP,Portuguese Liga,2.12,0.72,76.14
23,24,Brighton and Hove Albion,Barclays Premier League,1.93,0.61,75.83
24,23,Real Sociedad,Spanish Primera Division,1.91,0.62,75.11
25,25,PSV,Dutch Eredivisie,2.41,1.02,74.11
26,30,Manchester United,Barclays Premier League,2.11,0.81,74.09
27,28,AS Roma,Italy Serie A,1.92,0.68,73.91
28,26,Feyenoord,Dutch Eredivisie,2.23,0.91,73.81
29,29,Atalanta,Italy Serie A,2.08,0.85,72.63
30,32,Zenit St Petersburg,Russian Premier Liga,2.01,0.8,72.5
31,36,Celtic,Scottish Premiership,2.16,0.92,72.3
32,40,Crystal Palace,Barclays Premier League,1.89,0.73,72.21
33,35,Lyon,French Ligue 1,2.12,0.9,72.08
34,33,Athletic Bilbao,Spanish Primera Division,1.79,0.67,71.92
35,34,Real Betis,Spanish Primera Division,1.86,0.72,71.87
36,37,Rangers,Scottish Premiership,2.13,0.93,71.71
37,27,Aston Villa,Barclays Premier League,1.96,0.8,71.63
38,39,1. FC Union Berlin,German Bundesliga,1.91,0.78,71.44
39,31,AS Monaco,French Ligue 1,2.09,0.91,71.37
40,47,Newcastle,Barclays Premier League,1.89,0.78,71.11
41,38,Sevilla FC,Spanish Primera Division,1.79,0.71,70.83
42,42,Flamengo,Brasileiro Série A,1.83,0.75,70.52
43,48,SC Freiburg,German Bundesliga,2.05,0.92,70.47
44,46,FC Cologne,German Bundesliga,1.98,0.89,70.09
45,43,Juventus,Italy Serie A,1.86,0.81,69.79
46,44,Borussia Monchengladbach,German Bundesliga,2.12,1.0,69.79
47,41,Stade Rennes,French Ligue 1,1.94,0.87,69.78
48,52,Mainz,German Bundesliga,1.88,0.83,69.69
49,53,Lazio,Italy Serie A,2.01,0.92,69.66
50,50,Leicester City,Barclays Premier League,1.96,0.89,69.54
51,55,Valencia,Spanish Primera Division,1.73,0.73,69.23
52,45,Brentford,Barclays Premier League,1.94,0.92,68.71
53,49,Lille,French Ligue 1,1.86,0.85,68.67
54,51,West Ham United,Barclays Premier League,1.84,0.84,68.56
55,56,Celta Vigo,Spanish Primera Division,1.75,0.78,68.41
56,54,Marseille,French Ligue 1,1.84,0.85,68.22
57,57,Wolverhampton,Barclays Premier League,1.73,0.78,68.06
58,65,TSG Hoffenheim,German Bundesliga,2.06,1.04,67.95
59,58,Club Brugge,Belgian Jupiler League,2.07,1.05,67.79
60,63,Lens,French Ligue 1,1.83,0.87,67.63
61,60,Fiorentina,Italy Serie A,1.85,0.89,67.55
62,59,VfL Wolfsburg,German Bundesliga,1.85,0.91,67.28
63,62,Eintracht Frankfurt,German Bundesliga,1.85,0.92,66.79
64,72,Osasuna,Spanish Primera Division,1.67,0.8,66.46
65,61,Strasbourg,French Ligue 1,1.76,0.86,66.41
66,64,Fenerbahce,Turkish Turkcell Super Lig,2.1,1.15,66.21
67,67,Palmeiras,Brasileiro Série A,1.65,0.81,65.55
68,68,VfB Stuttgart,German Bundesliga,1.85,0.98,65.46
69,78,Braga,Portuguese Liga,1.75,0.91,65.02
70,80,Leeds United,Barclays Premier League,1.84,0.99,64.87
71,70,Slavia Prague,UEFA Europa Conference League,1.9,1.06,64.66
72,66,Rayo Vallecano,Spanish Primera Division,1.63,0.84,64.57
73,73,Nice,French Ligue 1,1.66,0.88,64.13
74,76,Torino,Italy Serie A,1.66,0.88,64.04
75,74,AZ,Dutch Eredivisie,1.95,1.13,63.76
76,71,Monterrey,Mexican Primera Division Torneo Apertura,1.71,0.94,63.7
77,81,Genk,Belgian Jupiler League,2.06,1.23,63.67
78,77,Dinamo Zagreb,UEFA Europa League,1.79,1.02,63.44
79,79,FC Twente,Dutch Eredivisie,1.74,0.97,63.37
80,69,Getafe,Spanish Primera Division,1.52,0.8,63.33
81,75,Everton,Barclays Premier League,1.74,0.98,63.27
82,91,Werder Bremen,German Bundesliga,1.72,0.97,63.1
83,97,Club América,Mexican Primera Division Torneo Apertura,1.71,0.97,62.99
84,89,Southampton,Barclays Premier League,1.78,1.06,62.31
85,83,Atletico Mineiro,Brasileiro Série A,1.58,0.91,61.71
86,82,Young Boys,Swiss Raiffeisen Super League,1.98,1.25,61.67
87,87,Fulham,Barclays Premier League,1.67,0.98,61.65
88,85,Olympiacos,Greek Super League,1.71,1.04,61.11
89,86,Anderlecht,Belgian Jupiler League,1.77,1.1,61.08
90,94,Sassuolo,Italy Serie A,1.92,1.24,60.84
91,88,Tigres UANL,Mexican Primera Division Torneo Apertura,1.62,0.98,60.7
92,93,Almeria,Spanish Primera Division,1.64,1.0,60.62
93,95,Verona,Italy Serie A,1.76,1.11,60.52
94,84,Cadiz,Spanish Primera Division,1.58,0.98,59.9
95,103,River Plate,Argentina Primera Division,1.62,1.03,59.51
96,98,Espanyol,Spanish Primera Division,1.58,0.99,59.5
