,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,Folarin,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,232223.jpg,0.0,Balogun,0.2,False,,u,1,3,0,10024,0,61581,64,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,624,61,613,62,596,60,629,63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,527,93,568,56,638,66,327,49,0.0,0.0
1,,,58822,0,0,-1,1,0,2,0.5,0.5,0,Cédric,0.0,2,False,,,39,58822.jpg,0.0,Alves Soares,0.4,False,,a,1,3,0,33816,177,38073,230,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,488,173,469,172,438,159,494,172,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,729,231,411,141,503,171,253,100,0.0,0.0
2,100.0,100.0,153256,0,0,-1,1,0,3,0.5,0.5,0,Mohamed,0.0,3,False,,2023-12-12T22:30:08.433665Z,44,153256.jpg,4.0,Elneny,0.1,False,,a,1,3,4,12699,22,17911,63,0.0,0.9,M.Elneny,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,474,216,446,218,421,208,470,214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,497,290,554,197,54,30,438,144,0.0,0.0
3,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,4,False,Groin Injury - Expected back 20 Jan,2023-12-07T12:00:08.489004Z,54,438098.jpg,2.6,Ferreira Vieira,0.1,False,,i,1,3,21,11448,2,18247,31,0.0,3.9,Fábio Vieira,236,1,3,1,2,0,0,0,0,1,0,0,62,79.4,63.6,77.0,21.9,2,1.20,0.35,1.55,1.48,324,138,258,142,204,113,305,139,5.0,,,,4.0,,0.46,0.0,0.13,0.59,0.56,0.76,126,80,739,320,211,95,432,141,0.76,0.38
4,100.0,100.0,226597,1,-1,0,0,1,2,4.0,4.0,0,Gabriel,3.5,5,False,,2023-09-30T23:00:07.672676Z,50,226597.jpg,3.5,dos Santos Magalhães,17.0,False,,a,1,3,56,1298615,31248,2490851,2486,0.7,11.2,Gabriel,1284,1,0,5,13,0,0,0,1,0,0,4,259,268.8,59.0,105.0,43.3,14,0.93,0.22,1.15,11.97,117,45,272,89,164,26,178,48,,,,,,,0.07,0.0,0.02,0.09,0.84,0.91,195,23,58,11,98,24,20,7,0.98,0.35
5,0.0,0.0,219847,0,0,-4,4,0,3,0.0,0.0,0,Kai,3.2,6,False,Suspended until 31 Dec,2023-12-23T20:00:08.458889Z,71,219847.jpg,2.8,Havertz,1.6,False,,s,1,3,50,81762,219,384919,2552,0.5,7.0,Havertz,1092,4,1,4,12,0,0,0,5,0,0,0,146,217.0,207.7,278.0,70.3,12,4.21,1.09,5.30,8.98,158,66,87,65,56,33,82,56,,,,,3.0,,0.35,0.0,0.09,0.44,0.74,0.99,30,18,83,42,180,80,150,47,0.99,0.33
6,100.0,100.0,205651,0,0,0,0,1,4,4.8,4.8,0,Gabriel,4.3,8,False,,2023-10-24T23:30:07.618920Z,80,205651.jpg,3.5,Fernando de Jesus,5.6,False,,a,1,3,46,894710,12298,647343,6307,0.5,5.8,G.Jesus,821,3,2,5,9,0,0,0,3,0,0,8,144,199.4,181.5,453.0,83.3,10,4.25,1.16,5.41,7.36,176,19,103,11,17,9,55,11,,,,,,,0.47,0.0,0.13,0.6,0.81,0.99,12,4,34,5,102,14,71,14,1.1,0.55
7,100.0,100.0,85955,0,0,-2,2,0,3,0.7,0.7,0,Jorge Luiz,0.2,9,False,,2023-12-18T00:00:09.353001Z,53,85955.jpg,1.4,Frello Filho,0.2,False,,a,1,3,15,8839,46,18180,56,0.0,2.8,Jorginho,383,0,0,1,6,0,0,0,1,0,0,0,66,50.6,64.7,9.0,12.4,4,0.09,0.30,0.39,4.68,366,160,255,140,392,198,361,161,,,,,,,0.02,0.0,0.07,0.09,1.1,1.41,133,83,400,181,371,167,347,108,0.94,0.23
8,,,440854,0,0,-2,2,0,2,1.0,1.0,0,Jakub,0.5,10,False,,,43,440854.jpg,1.7,Kiwior,0.1,False,,a,1,3,12,4643,16,8930,47,0.1,2.8,Kiwior,247,0,0,1,5,0,0,0,0,0,0,0,58,43.4,11.2,18.0,7.4,3,0.37,0.07,0.44,1.37,379,143,396,146,352,125,403,144,,,,,,,0.13,0.0,0.03,0.16,0.5,1.82,602,151,332,110,325,113,431,167,1.09,0.36
9,0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,Marcus,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,479683.jpg,0.0,Oliveira Alencar,0.0,False,,u,1,3,0,819,0,11688,4,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,675,268,669,268,661,267,680,271,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,424,246,628,237,684,275,532,189,0.0,0.0
