,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1520.0,1543.19,1590.0,1589.03,-87.27,550290,56118,1044,276,9.8%
1,FplSimpson,1503.0,1545.03,1610.67,1594.99,-114.07,698445,53325,202,231,4%
2,FplStatsdan,1501.0,1525.98,1581.01,1567.44,-90.39,718067,97636,2926,2125,8.8%
3,FF_Trout,1618.0,1619.44,1622.74,1620.5,-34.88,72698,1455,4,1,29.2%
4,dilksybab,1597.0,1622.13,1621.09,1596.41,-47.77,125621,1295,7,213,23.2%
5,theFPLkiwi,1448.0,1501.21,1565.64,1548.6,-123.94,1290969,184076,9402,7973,2.6%
6,jameso_12,1518.0,1488.77,1540.56,1514.18,-29.49,568450,248979,39571,52587,32.1%
7,api_kakayou,1638.0,1537.63,1537.03,1524.99,73.03,40861,68378,45419,33963,89.2%
8,usafpl,1498.0,1482.65,1517.75,1498.14,-34.13,746993,282478,99342,100613,29.6%
9,CazzaFPL,1638.0,1570.38,1620.37,1587.68,12.34,41052,20115,10,306,58%
10,PlanetosFPL,1512.0,1550.58,1602.71,1580.79,-99.08,617846,43986,347,604,6.7%
11,analytic_fpl,1596.0,1540.01,1576.53,1562.83,3.47,129669,62354,4382,3091,51.9%
12,rogue_wee,1516.0,1537.04,1566.75,1544.16,-65.75,584560,70207,8512,10559,16.2%
13,mtthwmn,1565.0,1545.26,1583.71,1573.27,-35.25,254416,52962,2344,1295,29%
14,cmusson32,1531.0,1539.61,1573.93,1583.99,-67.85,464752,62987,5243,394,15.4%
15,FPLstudent2,1582.0,1640.14,1597.84,1619.76,-68.32,178460,282,428,1,15.3%
16,peterhandleson,1427.0,1459.05,1487.2,1477.8,-80.25,1555893,452645,255315,200588,11.6%
17,chrishp,1583.0,1563.14,1553.85,1545.37,-2.68,174769,26989,19071,9627,48.1%
18,plfantasy,1635.0,1547.37,1535.78,1518.12,69.87,45466,49926,47553,46243,88%
19,FPLmeta,1584.0,1560.02,1591.79,1585.98,-27.98,169927,30728,904,334,32.9%
20,FplAuto,1551.0,1557.62,1557.94,1530.24,-29.16,333481,34174,14801,24632,32.3%
21,NourEldin_z3r0,1654.0,1611.63,1581.71,1564.59,37.15,24210,2342,2808,2762,72.4%
