,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,257,Ederson,43,1,60,3.8157777777777775,False,1,1,9.9,3.8157777777777775
1,122,Alonso,8,2,58,3.744444444444444,False,1,1,17.3,3.744444444444444
2,127,Rüdiger,8,2,55,3.5589999999999997,False,1,1,10.3,3.5589999999999997
3,237,Alexander-Arnold,14,2,76,4.3102222222222215,False,1,1,34.7,4.3102222222222215
4,33,Grealish,43,3,80,4.214666666666667,False,1,1,19.8,4.214666666666667
5,96,Mbeumo,94,3,55,3.7988888888888885,False,1,1,0.8,3.7988888888888885
6,212,Maddison,13,3,68,3.7434444444444446,False,1,1,5.0,3.7434444444444446
7,233,Salah,14,3,126,5.610444444444444,True,2,1,56.9,11.220888888888888
8,78,Toney,94,4,63,4.146111111111111,False,1,1,14.2,4.146111111111111
9,525,A.Armstrong,20,4,60,3.845111111111111,False,1,1,3.0,3.845111111111111
10,529,Lukaku,8,4,116,5.494444444444444,False,1,1,31.6,5.494444444444444
11,334,McCarthy,20,1,45,3.3962222222222223,False,0,0,1.8,0.0
12,16,Tierney,3,2,49,3.1903333333333332,False,0,0,6.2,0.0
13,299,Lascelles,4,2,44,2.819777777777778,False,0,0,0.3,0.0
14,115,Brownhill,90,3,45,2.4195555555555557,False,0,0,2.5,0.0
