Pos,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,50,1.786,48,1.39,47,1.791,45,1.511,48,1.879,51,1.114,47,1.408,46,2.1
M,Aubameyang,11.3,11.3,Arsenal,79,4.575,81,4.462,78,4.382,78,4.674,77,5.544,74,3.463,75,4.118,75,5.027
D,Cédric,4.6,4.6,Arsenal,2,0.072,3,0.089,3,0.114,6,0.203,4,0.156,6,0.138,6,0.183,5,0.226
F,Lacazette,8.3,8.3,Arsenal,66,3.575,67,3.516,68,3.545,62,3.538,63,4.291,64,2.877,65,3.379,63,3.883
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
G,Leno,5.0,5.0,Arsenal,89,3.738,88,3.351,89,3.843,88,3.526,88,3.637,88,3.181,85,3.278,87,4.002
M,Xhaka,5.2,5.2,Arsenal,75,2.071,71,1.903,74,2.078,70,1.956,70,2.134,70,1.752,68,1.829,66,2.069
D,Marí,4.4,4.4,Arsenal,14,0.482,32,0.884,33,1.21,32,1.021,38,1.386,34,0.716,37,1.059,39,1.705
D,Bellerín,5.1,5.1,Arsenal,80,3.04,79,2.413,77,3.104,76,2.693,76,3.148,74,1.717,74,2.336,74,3.581
G,Martínez,5.1,4.8,Aston Villa,90,3.888,88,3.432,87,3.541,87,3.345,88,3.541,87,3.313,86,3.225,86,3.647
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,Arsenal,9,0.325,9,0.267,13,0.499,13,0.44,13,0.506,12,0.276,15,0.458,16,0.725
D,Holding,4.5,4.5,Arsenal,85,3.035,80,2.299,77,2.954,78,2.602,74,2.87,78,1.699,76,2.27,74,3.387
D,Tierney,5.4,5.4,Arsenal,85,3.246,82,2.54,79,3.272,78,2.813,77,3.222,79,1.87,74,2.392,74,3.625
M,Pépé,7.6,7.6,Arsenal,13,0.67,13,0.653,15,0.754,11,0.583,15,0.926,18,0.779,15,0.735,13,0.752
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Arsenal,5,0.244,6,0.282,5,0.238,5,0.248,7,0.401,5,0.209,6,0.279,6,0.323
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,1,0.047,1,0.052,1,0.057,1,0.043,1,0.048,1,0.055
F,Nketiah,5.5,5.5,Arsenal,9,0.522,9,0.505,9,0.503,10,0.595,12,0.832,10,0.492,12,0.665,10,0.639
M,Smith Rowe,4.5,4.5,Arsenal,51,2.149,53,2.134,49,2.027,55,2.346,53,2.622,53,1.899,51,2.039,51,2.417
M,Saka,5.3,5.3,Arsenal,69,3.392,70,3.286,69,3.338,67,3.396,66,3.928,68,2.752,70,3.24,66,3.717
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,24,1.258,24,1.225,26,1.345,29,1.571,26,1.658,29,1.272,27,1.358,32,1.916
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.039,2,0.081,2,0.076,1,0.04,2,0.075,2,0.074,4,0.167
D,El Mohamady,4.3,4.3,Aston Villa,3,0.14,7,0.256,10,0.426,10,0.353,9,0.362,9,0.313,10,0.349,14,0.613
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,2,0.061,1,0.035,3,0.089,3,0.1,3,0.088,3,0.084,3,0.109
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,9,0.418,7,0.292,7,0.318,8,0.339,8,0.346,10,0.426,8,0.364,10,0.44
