,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,307,Ederson,43,1,54,17,4.098,False,1,13.8,4.098
1,16,Gabriel,3,2,52,17,4.632,False,1,13.7,4.632
2,112,Cucurella,8,2,51,17,4.718999999999999,False,1,7.5,4.718999999999999
3,285,Alexander-Arnold,14,2,72,17,4.581,False,1,18.4,4.581
4,13,Saka,3,3,80,17,5.39,False,1,17.2,5.39
5,160,Zaha,31,3,75,17,5.638999999999999,False,1,19.0,5.638999999999999
6,283,Salah,14,3,128,17,6.2860000000000005,False,1,32.3,6.2860000000000005
7,301,De Bruyne,43,3,126,17,5.34,False,1,37.6,5.34
8,333,Fernandes,1,3,98,17,4.96,False,1,2.2,4.96
9,318,Haaland,43,4,122,17,6.724,True,2,82.8,13.448
10,427,Kane,6,4,116,17,5.614,False,1,27.4,5.614
