code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,1,ARS,5,,False,0,1305,1365,1340,1390,1270,1340,1
7,0,,2,0,Aston Villa,0,0,4,AVL,3,,False,0,1140,1220,1100,1230,1180,1210,2
90,0,,3,0,Burnley,0,0,19,BUR,2,,False,0,975,1080,910,1070,1040,1090,43
91,0,,4,0,Bournemouth,0,0,11,BOU,3,,False,0,1140,1215,1060,1210,1220,1220,127
94,0,,5,0,Brentford,0,0,7,BRE,3,,False,0,1150,1215,1130,1150,1170,1280,130
36,0,,6,0,Brighton,0,0,9,BHA,3,,False,0,1160,1230,1140,1200,1180,1260,131
8,0,,7,0,Chelsea,0,0,6,CHE,4,,False,0,1205,1210,1140,1150,1270,1270,4
31,0,,8,0,Crystal Palace,0,0,13,CRY,3,,False,0,1165,1175,1150,1170,1180,1180,6
11,0,,9,0,Everton,0,0,8,EVE,3,,False,0,1135,1180,1140,1160,1130,1200,7
54,0,,10,0,Fulham,0,0,12,FUL,3,,False,0,1105,1200,1090,1170,1120,1230,34
2,0,,11,0,Leeds,0,0,15,LEE,3,,False,0,1095,1185,1070,1160,1120,1210,9
14,0,,12,0,Liverpool,0,0,5,LIV,4,,False,0,1195,1240,1150,1190,1240,1290,10
43,0,,13,0,Man City,0,0,2,MCI,4,,False,0,1245,1350,1190,1300,1300,1400,11
1,0,,14,0,Man Utd,0,0,3,MUN,4,,False,0,1190,1255,1120,1210,1260,1300,12
4,0,,15,0,Newcastle,0,0,14,NEW,3,,False,0,1135,1215,1140,1130,1130,1300,23
17,0,,16,0,Nott'm Forest,0,0,16,NFO,3,,False,0,1090,1135,1120,1140,1060,1130,15
56,0,,17,0,Sunderland,0,0,10,SUN,3,,False,0,1075,1190,1110,1210,1040,1170,29
6,0,,18,0,Spurs,0,0,18,TOT,3,,False,0,1100,1100,1070,1070,1130,1130,21
21,0,,19,0,West Ham,0,0,17,WHU,3,,False,0,1090,1100,1050,1070,1130,1130,25
39,0,,20,0,Wolves,0,0,20,WOL,2,,False,0,975,1060,950,1050,1000,1070,38
