,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1918.0,1982.47,2008.76,2015.0,-106.44,434609,29526,1405,161,5.8%
1,FplSimpson,1979.0,2024.43,2054.63,2045.39,-84.8,171189,6477,3,1,11.8%
2,FplStatsdan,1919.0,1967.95,1976.89,1963.17,-72.39,447116,44719,10675,6113,15.9%
3,FF_Trout,1978.0,2029.21,2038.25,2037.44,-79.09,176801,5105,134,16,13.9%
4,dilksybab,2042.0,2100.08,2083.64,2047.57,-56.74,38241,87,1,1,22.3%
5,theFPLkiwi,1882.0,1973.06,2015.81,1994.59,-134.88,702538,38738,804,762,2.1%
6,jameso_12,1882.0,1895.1,1963.97,1935.76,-72.25,661189,218682,19709,26150,16%
7,api_kakayou,2064.0,2003.24,1987.75,1976.34,53.1,24891,14700,5194,2698,77.1%
8,usafpl,1916.0,1906.48,1921.58,1893.8,-13.33,441660,180819,88587,103814,42.9%
9,CazzaFPL,2068.0,2045.48,2076.21,2040.31,-8.17,21992,2298,1,16,45.9%
10,PlanetosFPL,1976.0,2033.18,2051.82,2030.64,-84.67,180856,4213,22,39,11.8%
11,analytic_fpl,2007.0,1987.2,1990.28,1981.15,-1.22,100507,26506,4571,2132,49.8%
12,rogue_wee,1973.0,2018.67,2019.58,1992.8,-59.24,189930,7975,568,1042,21.2%
13,mtthwmn,2003.0,2017.6,2037.64,2027.01,-46.61,108502,8220,136,57,26.4%
14,cmusson32,1936.0,1983.48,1993.95,2005.67,-80.58,371512,28976,3488,337,13.3%
15,FPLstudent2,2010.0,2088.06,2027.96,2053.16,-67.89,96272,195,321,1,17.6%
16,peterhandleson,1789.0,1849.39,1866.77,1859.08,-91.6,1474560,446100,304525,235614,9.7%
17,chrishp,2043.0,2036.2,2002.18,1995.75,10.01,43762,3636,2161,682,55.8%
18,plfantasy,1999.0,1962.59,1925.74,1909.45,44.88,103576,51109,76750,66371,73.1%
19,FPLmeta,2010.0,2004.66,2025.42,2017.08,-27.94,108172,13984,397,137,35.6%
20,FplAuto,1951.0,2013.88,2004.03,1966.95,-65.66,272248,9522,2020,4488,18.5%
21,NourEldin_z3r0,2067.0,2048.4,1979.06,1965.9,48.04,22961,1857,9594,4778,74.7%
22,UkendtPerson45,2010.0,2071.29,2024.45,2009.04,-46.34,82905,585,458,233,26.6%
23,MikkelTokvam,2028.0,2075.57,2019.42,2003.38,-26.1,74091,420,587,417,36.4%
24,Klaudioz,1981.0,1902.91,1843.54,1829.5,101.06,161472,191636,480295,415693,92.6%
25,FantasianPL,1849.0,1954.37,1923.51,1912.34,-102.7,907542,64500,82148,61149,6.7%
26,rama96ab,1963.0,2017.41,2005.88,1994.11,-64.63,224546,8268,1783,792,19%
27,FPL_LFE,2036.0,1988.8,1930.66,1913.41,70.43,52564,25492,67678,59422,84.4%
28,_jtreble,2048.0,2048.52,2008.78,1981.9,13.5,39583,1854,1405,2097,57.6%
29,DanielSaetre,2038.0,2000.43,2014.24,1996.39,12.23,49619,16192,872,641,56.9%
30,FBinary01,2054.0,1982.47,1963.88,1944.71,68.6,32899,29526,19724,17757,83.8%
31,FPL_Data,1900.0,1950.73,1925.99,1932.29,-58.13,561202,68860,76423,29855,21.9%
32,FPL_ElStatto,1944.0,1895.45,1924.22,1908.51,12.34,334208,217467,79734,67874,57%
33,FplSigurd,2043.0,2086.21,2059.12,2039.04,-40.07,37477,219,2,16,29.7%
34,JoeBopara,1897.0,1961.76,1991.18,1962.98,-97.17,517213,52453,4218,6135,7.7%
35,dLincolnlawyer,2016.0,2063.8,2022.34,2015.57,-39.43,83024,853,485,161,29.8%
36,FPL_Statoholic,2033.0,1929.18,1979.76,1986.04,45.37,56000,114355,9325,1585,73.3%
37,FplAmateur,2029.0,1963.37,1918.34,1905.94,78.33,52968,49874,96144,73059,87.3%
38,wolacola,2057.0,2059.65,2037.83,2038.24,-10.03,28103,1076,136,16,44.8%
39,Hashtag_MEGA,1977.0,2033.93,2046.49,2046.33,-87.42,179932,4083,45,1,11%
40,dav_fifa,1971.0,1839.17,1815.45,1800.86,130.83,219456,509982,721580,675463,97.3%
41,MaulanaRiandi,2101.0,2080.76,2007.59,1981.62,56.61,7479,324,1474,2104,78.7%
42,Rak464,2002.0,1963.16,1988.69,1968.5,6.35,98995,50370,4936,4116,54%
43,ArneBarsnes,2116.0,2045.54,2030.15,2016.37,63.53,3332,2282,266,142,81.6%
44,FPL_PapaSmurf,1969.0,1884.63,1893.91,1887.97,58.06,194347,264854,176078,119599,79.4%
45,gezza96,2091.0,2032.67,1972.32,1954.61,83.21,11262,4347,13739,10163,88.6%
46,Raghy78d,2097.0,2058.21,2047.02,2018.58,33.98,11047,1154,45,131,67.8%
47,pdhFPL,1942.0,2059.35,2025.09,2040.38,-121.34,314277,1092,417,16,3.5%
48,NeilRankinZA,1953.0,1895.93,1876.65,1887.06,44.58,250949,216381,253410,123891,72.9%
49,EuanThompson,2115.0,2118.34,2071.96,2062.01,9.44,4457,11,2,1,55.5%
50,FPLrookie1,1973.0,2005.69,1980.14,1950.14,-27.23,215000,13434,9010,13601,35.9%
51,FplBudget,2046.0,1953.74,1954.91,1950.65,70.88,40932,65616,28840,13331,84.7%
52,FF_Vader,2055.0,2015.09,2030.45,1999.63,17.91,32163,8886,266,543,59.7%
53,alasdairtweets,2107.0,2047.35,2031.14,2007.29,56.69,4840,1992,256,254,78.8%
