,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,455,Patrício,39,1,55,7,4.145,False,1,1,4.145
1,232,Chilwell,8,2,58,7,4.301,False,1,1,4.301
2,255,Robertson,14,2,71,7,4.825,False,1,1,4.825
3,458,Boly,39,2,55,7,4.072,False,1,1,4.072
4,37,Grealish,7,3,73,7,4.909,False,1,1,4.909
5,203,Harrison,2,3,55,7,3.722,False,1,1,3.722
6,251,Mané,14,3,120,7,6.526,False,1,1,6.526
7,254,Salah,14,3,124,7,7.812,True,2,1,15.624
8,184,Mitrović,54,4,58,7,4.687,False,1,1,4.687
9,388,Kane,6,4,109,7,6.2970000000000015,False,1,1,6.2970000000000015
10,514,Watkins,7,4,60,7,4.467,False,1,1,4.467
11,99,Peacock-Farrell,90,1,40,7,0.0,False,0,0,0.0
12,170,Branthwaite,11,2,39,7,0.0,False,0,0,0.0
13,196,Douglas,2,2,39,7,0.0,False,0,0,0.0
14,209,Poveda-Ocampo,2,3,44,7,0.371,False,0,0,0.0
