,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,455,Patrício,39,1,55,7,4.145,False,1,4.145
1,232,Chilwell,8,2,58,7,4.301,False,1,4.301
2,255,Robertson,14,2,71,7,4.825,False,1,4.825
3,259,Alexander-Arnold,14,2,74,7,4.644,False,1,4.644
4,251,Mané,14,3,120,7,6.526,False,1,6.526
5,254,Salah,14,3,124,7,7.812,True,2,15.624
6,272,De Bruyne,43,3,115,7,6.143,False,1,6.143
7,276,Sterling,43,3,116,7,6.312,False,1,6.312
8,390,Son,6,3,95,7,5.364,False,1,5.364
9,117,Werner,8,4,93,7,5.2620000000000005,False,1,5.2620000000000005
10,388,Kane,6,4,109,7,6.2970000000000015,False,1,6.2970000000000015
