,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1618.0,1660.33,1699.55,1702.07,-90.46,428258,27594,1266,202,8.1%
1,FplSimpson,1627.0,1671.36,1738.79,1726.19,-106.77,369944,18800,11,7,4.4%
2,FplStatsdan,1584.0,1621.8,1680.88,1665.36,-93.43,699058,90770,5331,4104,7.4%
3,FF_Trout,1701.0,1716.88,1727.24,1725.12,-42.45,75334,1858,102,7,26%
4,dilksybab,1703.0,1742.73,1754.12,1725.55,-57.87,71358,471,1,7,18.7%
5,theFPLkiwi,1543.0,1620.49,1692.46,1674.62,-141.23,1112690,93555,2079,2073,0.8%
6,jameso_12,1611.0,1587.96,1663.65,1635.01,-39.53,479426,209477,16790,25808,27.4%
7,api_kakayou,1724.0,1645.49,1650.22,1640.46,58.47,39072,45729,32731,19551,83.2%
8,usafpl,1567.0,1556.15,1625.02,1600.06,-48.28,860262,392418,90482,104008,23.3%
9,CazzaFPL,1730.0,1690.42,1740.63,1709.32,-4.45,32587,7669,8,102,47.3%
10,PlanetosFPL,1620.0,1653.86,1717.17,1695.01,-90.11,416050,34560,242,401,8.2%
11,analytic_fpl,1671.0,1631.58,1673.07,1660.72,-5.14,158223,68909,9350,5900,47%
12,rogue_wee,1606.0,1641.92,1677.24,1653.49,-72.27,515676,50209,6998,9148,13.7%
13,mtthwmn,1667.0,1671.43,1712.28,1702.56,-49.46,172203,18793,326,192,22.6%
14,cmusson32,1634.0,1658.35,1683.98,1694.01,-65.68,327707,30457,4285,428,16.1%
15,FPLstudent2,1674.0,1743.0,1709.5,1732.04,-73.77,147138,449,447,4,13%
16,peterhandleson,1506.0,1550.86,1608.01,1598.87,-101.36,1552211,430446,156818,108319,5.6%
17,chrishp,1692.0,1683.57,1678.74,1672.33,-6.15,95991,10657,6194,2471,46.5%
18,plfantasy,1719.0,1653.62,1643.77,1627.19,57.78,46421,34828,43216,38481,83%
19,FPLmeta,1686.0,1671.85,1702.86,1697.62,-25.62,110593,18363,1037,293,34.5%
20,FplAuto,1639.0,1669.13,1677.56,1645.75,-45.1,301846,20037,6897,15775,24.6%
21,NourEldin_z3r0,1748.0,1716.99,1692.61,1676.08,33.44,17708,1839,2066,1857,70.2%
22,UkendtPerson45,1660.0,1714.27,1704.14,1691.39,-63.0,200539,2145,923,497,17.1%
23,MikkelTokvam,1691.0,1740.47,1720.75,1703.98,-50.18,98260,503,187,185,22.3%
24,Klaudioz,1676.0,1578.1,1560.88,1546.95,94.48,142609,258428,481592,430900,94.2%
25,FantasianPL,1573.0,1656.4,1654.97,1643.25,-98.5,798004,32573,26104,17428,6.1%
26,rama96ab,1660.0,1687.94,1685.09,1677.84,-43.6,200028,8247,3963,1363,25.5%
27,FPL_LFE,1722.0,1663.33,1625.4,1603.63,72.28,42197,25270,89640,92996,88.9%
28,_jtreble,1699.0,1691.23,1675.47,1650.52,7.15,80550,7350,8258,11044,54.8%
29,DanielSaetre,1698.0,1674.24,1705.64,1687.91,-11.96,82354,16776,735,672,43.2%
30,FBinary01,1747.0,1626.28,1658.36,1640.26,84.66,18246,79976,21118,19612,92.1%
31,FPL_Data,1603.0,1640.64,1641.99,1644.77,-59.67,540913,51573,45825,16331,18.2%
32,FPL_ElStatto,1600.0,1567.06,1612.62,1597.66,-13.53,563683,323192,136110,115664,42.2%
33,FplSigurd,1700.0,1735.86,1731.91,1717.39,-48.25,77774,657,69,27,23.3%
34,JoeBopara,1608.0,1638.76,1672.79,1646.76,-65.43,502680,54228,9404,14853,16.1%
35,dLincolnlawyer,1707.0,1723.81,1699.6,1694.91,-18.59,64677,1184,1266,401,38.9%
36,FPL_Statoholic,1726.0,1612.11,1689.33,1689.79,40.2,36593,115514,2702,596,74%
37,FplAmateur,1748.0,1648.66,1638.11,1623.79,91.44,17328,40943,53570,44266,93.7%
38,wolacola,1707.0,1718.99,1726.9,1723.73,-36.51,64810,1668,102,7,28.6%
39,Hashtag_MEGA,1687.0,1712.01,1732.39,1733.34,-59.57,108179,2363,66,4,18.2%
40,dav_fifa,1701.0,1563.05,1540.98,1522.72,139.38,76789,344460,692068,675044,99.3%
41,MaulanaRiandi,1724.0,1705.68,1682.62,1657.72,22.73,39072,3396,4915,6969,63.9%
42,Rak464,1646.0,1604.7,1651.91,1636.2,-6.05,265856,141610,30374,23765,46.6%
43,ArneBarsnes,1761.0,1699.64,1705.59,1693.36,41.33,10753,4524,735,440,74.7%
44,FPL_PapaSmurf,1683.0,1577.2,1597.57,1591.81,73.57,120829,262620,206862,137385,89.1%
45,gezza96,1743.0,1693.78,1659.62,1648.86,56.42,21323,6312,20356,12727,82.1%
46,Raghy78d,1779.0,1721.36,1731.96,1708.66,38.23,5180,1386,66,118,72.8%
47,pdhFPL,1654.0,1744.95,1727.01,1734.11,-101.14,225275,358,102,4,5.6%
48,NeilRankinZA,1614.0,1569.2,1564.31,1571.6,25.52,456717,310883,442210,239996,65.7%
49,EuanThompson,1757.0,1749.42,1742.06,1733.07,-4.36,12564,222,8,4,47.5%
50,FPLrookie1,1701.0,1698.35,1680.33,1654.75,3.81,76528,4878,5796,8317,52.8%
51,FplBudget,1723.0,1608.03,1646.12,1638.5,71.13,40751,128915,39379,20952,88.5%
52,FF_Vader,1716.0,1669.39,1698.35,1672.52,15.37,50138,19911,1341,2419,59.4%
53,alasdairtweets,1781.0,1705.0,1712.03,1690.64,58.39,4861,3483,346,537,83.2%
54,fpl_analytic,1586.0,1536.83,1608.63,1600.56,-17.82,682394,546439,153226,102508,39.4%
55,stephendeyoung,1607.0,1580.4,1598.09,1578.19,1.11,509373,245060,205164,202143,51%
56,James_Ingram15,1638.0,1673.71,1710.67,1697.9,-76.99,305365,17235,404,278,12%
57,FPL_Kid,1695.0,1640.28,1627.38,1624.66,44.44,89757,52009,82964,42704,76.2%
58,fpl_jan,1825.0,1786.16,1722.1,1690.97,73.76,556,12,158,514,89.2%
59,FPL_Mezzala,1734.0,1753.75,1724.68,1712.31,-15.52,28613,160,102,57,40.7%
60,morstats,1670.0,1646.83,1614.01,1596.83,31.66,160858,43786,130207,119099,69%
61,FplOpinion,1660.0,1624.67,1679.18,1676.21,-21.47,200794,83305,6089,1856,37.1%
62,_NeilFPL,1722.0,1700.14,1694.68,1684.72,8.94,41851,4402,1766,796,55.7%
63,UnderstandingF8,1628.0,1536.42,1554.99,1534.63,65.64,367103,549544,522461,548541,86.3%
64,EejRoberts,1646.0,1696.73,1706.7,1697.31,-74.51,262785,5291,656,299,12.8%
65,FPL_Gents,1668.0,1638.61,1676.08,1657.93,-10.38,170521,54540,7971,6883,44.1%
66,FPLHaggis,1678.0,1670.77,1655.13,1638.04,3.81,135662,19124,26017,21717,52.8%
67,Jumpthewave,1720.0,1699.35,1675.56,1654.14,24.36,44914,4597,8236,8630,64.9%
68,DarraghNoonan,1741.0,1723.81,1705.35,1694.45,13.58,22415,1184,738,422,58.4%
69,FPL_Chase,1721.0,1683.74,1712.0,1695.54,3.27,42824,10613,364,362,52.4%
70,jonwalker88,1655.0,1695.12,1730.61,1725.87,-83.16,220059,5686,69,7,10.1%
71,TomDavies_17,1731.0,1687.47,1689.0,1678.77,25.87,31592,8559,2794,1249,65.9%
72,FodWeTrust,1618.0,1630.69,1677.14,1661.4,-59.51,429462,70451,7047,5543,18.3%
73,FplPass,1736.0,1655.12,1615.22,1611.3,89.68,26722,33608,126270,69957,93.4%
74,prparsons,1688.0,1692.87,1681.16,1656.11,-8.25,106749,6610,5244,7541,45.3%
75,FplJeb,1601.0,1572.53,1697.09,1678.78,-71.47,556226,289977,1453,1232,13.9%
76,JosesBusDrivers,1585.0,1688.14,1722.5,1725.62,-148.11,688030,8204,158,7,0.5%
77,hidethecactus,1725.0,1657.17,1640.93,1626.6,63.87,38624,31666,47871,39095,85.7%
78,tweetsofagooner,1538.0,1539.49,1611.13,1607.14,-69.78,1167705,522955,142240,81359,14.5%
79,FplRafiki,1726.0,1623.36,1615.72,1609.68,89.87,37211,86694,124927,74247,93.4%
80,FPL_Audit,1794.0,1669.68,1687.84,1664.39,99.73,2700,19694,3044,4396,95.3%
81,DaveCZfpl,1570.0,1567.81,1645.08,1636.13,-68.29,832232,318737,41459,23995,15.1%
82,PaulGiurculet,1811.0,1685.33,1629.69,1614.55,149.23,1215,9878,75418,62109,99.6%
