,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2923,21,464,Antonio,3,20,West Ham,21,67,15
2838,21,133,Mirallas,3,6,Everton,11,59,14
2486,21,163,Hernández,4,7,Hull,88,59,13
3029,21,126,Coleman,2,6,Everton,11,56,12
2510,21,12,Sánchez,3,1,Arsenal,3,117,11
2846,21,384,Walker,2,17,Spurs,6,62,11
2981,21,336,Crouch,4,14,Stoke,110,44,11
2513,21,21,Iwobi,3,1,Arsenal,3,53,10
2594,21,394,Eriksen,3,17,Spurs,6,89,10
2754,21,208,Milner,3,9,Liverpool,14,63,10
2979,21,90,Pedro,3,4,Chelsea,8,68,10
3074,21,54,Heaton,1,3,Burnley,90,51,10
3089,21,274,Valdés,1,12,Middlesbrough,25,45,10
2848,21,3,Koscielny,2,1,Arsenal,3,61,9
2878,21,462,Lanzini,3,20,West Ham,21,59,9
3008,21,134,Barkley,3,6,Everton,11,70,9
3045,21,466,Feghouli,3,20,West Ham,21,50,9
2782,21,123,Robles,1,6,Everton,11,47,8
2906,21,55,Lowton,2,3,Burnley,90,45,8
3073,21,512,Davies,3,6,Everton,11,44,8
2559,21,56,Mee,2,3,Burnley,90,44,7
2580,21,11,Chambers,2,12,Middlesbrough,25,43,7
2637,21,570,David Luiz,2,4,Chelsea,8,62,7
2682,21,527,Fabio,2,12,Middlesbrough,25,42,7
2830,21,42,Stanislas,3,2,Bournemouth,91,46,7
2982,21,2,Cech,1,1,Arsenal,3,54,7
3075,21,160,Huddlestone,3,7,Hull,88,45,7
3108,21,272,Ibrahimovic,4,11,Man Utd,1,114,7
2480,21,454,Cresswell,2,20,West Ham,21,51,6
2526,21,152,Robertson,2,7,Hull,88,44,6
2543,21,359,Williams,2,6,Everton,11,52,6
2549,21,398,Alli,3,17,Spurs,6,91,6
2556,21,278,Gibson,2,12,Middlesbrough,25,49,6
2596,21,414,Kabasele,2,18,Watford,57,48,6
2616,21,77,Azpilicueta,2,4,Chelsea,8,64,6
2627,21,383,Rose,2,17,Spurs,6,58,6
2632,21,451,Randolph,1,20,West Ham,21,44,6
2663,21,82,Hazard,3,4,Chelsea,8,105,6
2694,21,5,Gabriel,2,1,Arsenal,3,48,6
2698,21,78,Cahill,2,4,Chelsea,8,67,6
2703,21,62,Boyd,3,3,Burnley,90,51,6
2704,21,276,Friend,2,12,Middlesbrough,25,42,6
2729,21,407,Gomes,1,18,Watford,57,49,6
2731,21,380,Lloris,1,17,Spurs,6,55,6
2763,21,385,Vertonghen,2,17,Spurs,6,58,6
2775,21,355,Defoe,4,15,Sunderland,56,74,6
2822,21,411,Holebas,2,18,Watford,57,46,6
2852,21,125,Baines,2,6,Everton,11,58,6
2914,21,14,Özil,3,1,Arsenal,3,95,6
2918,21,58,Keane,2,3,Burnley,90,50,6
2940,21,10,Monreal,2,1,Arsenal,3,59,6
2992,21,132,Funes Mori,2,6,Everton,11,45,6
3031,21,409,Prödl,2,18,Watford,57,43,6
3049,21,57,Ward,2,3,Burnley,90,45,6
