,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1282,26,508,André Gomes,3,8,Everton,11,54,3
1298,26,25,Boruc,1,2,Bournemouth,91,41,3
1321,26,276,Bernardo Silva,3,13,Man City,43,78,3
1324,26,2,Leno,1,1,Arsenal,3,49,3
1350,26,320,Atsu,3,15,Newcastle,4,51,3
1428,26,389,Capoue,3,18,Watford,57,48,3
1432,26,255,Fabinho,3,12,Liverpool,14,55,3
1438,26,272,Fernandinho,3,13,Man City,43,53,3
1455,26,394,Deulofeu,3,18,Watford,57,57,3
1470,26,18,Mkhitaryan,3,1,Arsenal,3,66,3
1500,26,234,Vardy,4,11,Leicester,13,90,3
1570,26,273,De Bruyne,3,13,Man City,43,96,3
1583,26,3,Koscielny,2,1,Arsenal,3,54,3
1602,26,400,Fabianski,1,19,West Ham,21,47,3
1608,26,143,Sakho,2,7,Crystal Palace,31,49,3
1663,26,256,Keita,3,12,Liverpool,14,71,3
1687,26,142,van Aanholt,2,7,Crystal Palace,31,55,3
1798,26,67,Heaton,1,4,Burnley,90,48,3
1805,26,137,Guaita,1,7,Crystal Palace,31,43,3
1239,26,199,Mooy,3,10,Huddersfield,38,50,2
1278,26,35,Surman,3,2,Bournemouth,91,46,2
1281,26,149,Townsend,3,7,Crystal Palace,31,56,2
1286,26,403,Ogbonna,2,19,West Ham,21,42,2
1296,26,102,Gunnarsson,3,5,Cardiff,97,44,2
1306,26,326,Pérez,4,15,Newcastle,4,61,2
1325,26,110,Reid,4,5,Cardiff,97,52,2
1330,26,92,Ecuele Manga,2,5,Cardiff,97,44,2
1343,26,177,Tosun,4,8,Everton,11,64,2
1364,26,430,Coady,2,20,Wolves,39,45,2
1387,26,37,Gosling,3,2,Bournemouth,91,47,2
1398,26,60,Pröpper,3,3,Brighton,36,48,2
1399,26,310,Yedlin,2,15,Newcastle,4,45,2
1400,26,406,Rice,2,19,West Ham,21,44,2
1413,26,122,Hazard,3,6,Chelsea,8,110,2
1418,26,212,Kachunga,4,10,Huddersfield,38,48,2
1436,26,465,Felipe Anderson,3,19,West Ham,21,68,2
1441,26,314,Lejeune,2,15,Newcastle,4,44,2
1456,26,62,Murray,4,3,Brighton,36,61,2
1457,26,579,Higuaín,4,6,Chelsea,8,90,2
1463,26,172,Sigurdsson,3,8,Everton,11,74,2
1468,26,368,Winks,3,17,Spurs,6,55,2
1469,26,571,Barnes,3,11,Leicester,13,55,2
1478,26,168,Gueye,3,8,Everton,11,47,2
1483,26,409,Diop,2,19,West Ham,21,42,2
1485,26,82,Cork,3,4,Burnley,90,46,2
1492,26,233,Maddison,3,11,Leicester,13,66,2
1496,26,72,Tarkowski,2,4,Burnley,90,47,2
1501,26,463,Vestergaard,2,16,Southampton,20,46,2
1507,26,419,Chicharito,4,19,West Ham,21,61,2
1511,26,141,Schlupp,2,7,Crystal Palace,31,43,2
1512,26,78,Hendrick,3,4,Burnley,90,52,2
1519,26,94,Bennett,2,5,Cardiff,97,44,2
1523,26,98,Ralls,3,5,Cardiff,97,46,2
1530,26,483,Jonny,2,20,Wolves,39,43,2
1539,26,154,Pickford,1,8,Everton,11,49,2
1545,26,45,King,4,2,Bournemouth,91,64,2
1553,26,475,Moutinho,3,20,Wolves,39,51,2
1557,26,208,Bacuna,3,10,Huddersfield,38,42,2
1575,26,357,Trippier,2,17,Spurs,6,60,2
1585,26,519,Dendoncker,3,20,Wolves,39,43,2
1588,26,95,Peltier,2,5,Cardiff,97,39,2
1601,26,513,Vietto,4,9,Fulham,54,53,2
1637,26,425,Doherty,2,20,Wolves,39,53,2
1646,26,162,Keane,2,8,Everton,11,48,2
