,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
484,249,31,Firmino,4,Liverpool,Liverpool,14,91,2
496,253,31,Fabinho,3,Liverpool,Liverpool,14,54,2
516,274,31,Mendy,2,Man City,Man City,43,59,2
520,276,31,Sterling,3,Man City,Man City,43,109,2
573,302,31,Fernandes,3,Man Utd,Man Utd,1,113,2
577,305,31,Henderson,1,Man Utd,Man Utd,1,52,2
581,306,31,Rashford,3,Man Utd,Man Utd,1,96,2
585,308,31,Lindelöf,2,Man Utd,Man Utd,1,48,2
593,313,31,Wan-Bissaka,2,Man Utd,Man Utd,1,58,2
606,322,31,Ritchie,3,Newcastle,Newcastle,4,49,2
616,331,31,Dummett,2,Newcastle,Newcastle,4,44,2
626,339,31,Almirón,3,Newcastle,Newcastle,4,56,2
636,344,31,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,2
641,346,31,Fleck,3,Sheffield Utd,Sheffield Utd,49,56,2
651,349,31,Norwood,3,Sheffield Utd,Sheffield Utd,49,45,2
666,356,31,Osborn,3,Sheffield Utd,Sheffield Utd,49,47,2
676,365,31,Redmond,3,Southampton,Southampton,20,64,2
680,366,31,Ings,4,Southampton,Southampton,20,84,2
684,368,31,Armstrong,3,Southampton,Southampton,20,55,2
696,383,31,Lloris,1,Spurs,Spurs,6,56,2
704,388,31,Kane,4,Spurs,Spurs,6,119,2
728,396,31,Højbjerg,3,Spurs,Spurs,6,49,2
732,403,31,Lo Celso,3,Spurs,Spurs,6,69,2
736,405,31,Ndombele,3,Spurs,Spurs,6,59,2
790,450,31,Fornals,3,West Ham,West Ham,21,58,2
830,468,31,Jota,3,Liverpool,Liverpool,14,69,2
849,480,31,Sean Longstaff,3,Newcastle,Newcastle,4,46,2
878,493,31,Lemina,3,Fulham,Fulham,54,45,2
937,516,31,Areola,1,Fulham,Fulham,54,45,2
941,523,31,Forster,1,Southampton,Southampton,20,40,2
954,540,31,Traoré,3,Aston Villa,Aston Villa,7,58,2
972,548,31,Mendy,1,Chelsea,Chelsea,8,53,2
977,549,31,Llorente,2,Leeds,Leeds,2,44,2
1025,588,31,Welbeck,4,Brighton,Brighton,36,55,2
1030,589,31,Phillips,2,Liverpool,Liverpool,14,42,2
1053,642,31,Willian José,4,Wolves,Wolves,39,68,2
60,22,31,Nketiah,4,Arsenal,Arsenal,3,53,1
85,41,31,Mings,2,Aston Villa,Aston Villa,7,54,1
95,45,31,El Ghazi,3,Aston Villa,Aston Villa,7,52,1
110,52,31,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,1
120,61,31,Burn,2,Brighton,Brighton,36,42,1
160,81,31,Tarkowski,2,Burnley,Burnley,90,53,1
170,88,31,Mee,2,Burnley,Burnley,90,47,1
185,92,31,Lowton,2,Burnley,Burnley,90,44,1
205,98,31,Brownhill,3,Burnley,Burnley,90,49,1
230,106,31,Barkley,3,Aston Villa,Aston Villa,7,58,1
250,114,31,Ziyech,3,Chelsea,Chelsea,8,79,1
289,128,31,Guaita,1,Crystal Palace,Crystal Palace,31,48,1
297,133,31,Kouyaté,3,Crystal Palace,Crystal Palace,31,48,1
346,162,31,Mina,2,Everton,Everton,11,55,1
371,187,31,Cavaleiro,3,Fulham,Fulham,54,53,1
410,211,31,Struijk,2,Leeds,Leeds,2,40,1
420,217,31,Schmeichel,1,Leicester,Leicester,13,54,1
425,219,31,Evans,2,Leicester,Leicester,13,56,1
465,236,31,Ndidi,3,Leicester,Leicester,13,48,1
475,240,31,Thomas,2,Leicester,Leicester,13,41,1
488,251,31,Mané,3,Liverpool,Liverpool,14,118,1
524,277,31,Cancelo,2,Man City,Man City,43,58,1
528,278,31,Ederson,1,Man City,Man City,43,61,1
540,284,31,Foden,3,Man City,Man City,43,61,1
556,298,31,Maguire,2,Man Utd,Man Utd,1,55,1
564,300,31,Shaw,2,Man Utd,Man Utd,1,55,1
589,309,31,McTominay,3,Man Utd,Man Utd,1,49,1
631,340,31,Joelinton,4,Newcastle,Newcastle,4,57,1
646,347,31,Stevens,2,Sheffield Utd,Sheffield Utd,49,50,1
656,351,31,Baldock,2,Sheffield Utd,Sheffield Utd,49,49,1
661,353,31,Egan,2,Sheffield Utd,Sheffield Utd,49,47,1
692,377,31,Adams,4,Southampton,Southampton,20,57,1
708,389,31,Aurier,2,Spurs,Spurs,6,52,1
716,391,31,Dier,2,Spurs,Spurs,6,46,1
770,431,31,Fabianski,1,West Ham,West Ham,21,50,1
795,451,31,Diop,2,West Ham,West Ham,21,43,1
839,473,31,Gibbs-White,3,Wolves,Wolves,39,49,1
844,478,31,Willian,3,Arsenal,Arsenal,3,75,1
859,483,31,Ramsdale,1,Sheffield Utd,Sheffield Utd,49,46,1
864,489,31,Eze,3,Crystal Palace,Crystal Palace,31,58,1
892,498,31,Castagne,2,Leicester,Leicester,13,58,1
917,506,31,Wilson,4,Newcastle,Newcastle,4,65,1
945,526,31,Elneny,3,Arsenal,Arsenal,3,42,1
950,531,31,Thiago,3,Liverpool,Liverpool,14,55,1
959,542,31,Reguilón,2,Spurs,Spurs,6,55,1
963,543,31,Bale,3,Spurs,Spurs,6,92,1
1020,587,31,Benrahma,3,West Ham,West Ham,21,59,1
1068,665,31,Maja,4,Fulham,Fulham,54,50,1
0,4,31,Aubameyang,3,Arsenal,Arsenal,3,113,0
25,11,31,Bellerín,2,Arsenal,Arsenal,3,50,0
55,20,31,Willock,3,Newcastle,Newcastle,4,49,0
65,23,31,Smith Rowe,3,Arsenal,Arsenal,3,42,0
90,42,31,Targett,2,Aston Villa,Aston Villa,7,50,0
100,46,31,Konsa,2,Aston Villa,Aston Villa,7,46,0
105,50,31,Davis,4,Aston Villa,Aston Villa,7,42,0
130,66,31,Webster,2,Brighton,Brighton,36,43,0
145,70,31,Ryan,1,Arsenal,Arsenal,3,41,0
165,84,31,Cork,3,Burnley,Burnley,90,50,0
195,96,31,Pope,1,Burnley,Burnley,90,55,0
200,97,31,Taylor,2,Burnley,Burnley,90,44,0
220,104,31,Alonso,2,Chelsea,Chelsea,8,56,0
245,112,31,Arrizabalaga,1,Chelsea,Chelsea,8,47,0
255,116,31,Christensen,2,Chelsea,Chelsea,8,47,0
260,117,31,Werner,4,Chelsea,Chelsea,8,92,0
285,125,31,Cahill,2,Crystal Palace,Crystal Palace,31,45,0
301,134,31,Ward,2,Crystal Palace,Crystal Palace,31,43,0
317,146,31,Mitchell,2,Crystal Palace,Crystal Palace,31,38,0
341,157,31,Pickford,1,Everton,Everton,11,48,0
356,164,31,Calvert-Lewin,4,Everton,Everton,11,75,0
395,203,31,Harrison,3,Leeds,Leeds,2,56,0
445,229,31,Pérez,3,Leicester,Leicester,13,60,0
450,231,31,Maddison,3,Leicester,Leicester,13,72,0
470,238,31,Söyüncü,2,Leicester,Leicester,13,53,0
512,268,31,Agüero,4,Man City,Man City,43,103,0
532,280,31,Laporte,2,Man City,Man City,43,60,0
544,286,31,Rodrigo,3,Man City,Man City,43,53,0
700,386,31,Alderweireld,2,Spurs,Spurs,6,54,0
724,394,31,Alli,3,Spurs,Spurs,6,74,0
775,437,31,Antonio,4,West Ham,West Ham,21,67,0
868,490,31,Thiago Silva,2,Chelsea,Chelsea,8,56,0
873,492,31,Rodrigo,4,Leeds,Leeds,2,57,0
882,494,31,Gabriel,2,Arsenal,Arsenal,3,49,0
907,502,31,Allan,3,Everton,Everton,11,52,0
927,510,31,Bogle,2,Sheffield Utd,Sheffield Utd,49,43,0
987,561,31,Fofana,2,Leicester,Leicester,13,50,0
