,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
553,27,257,Agüero,4,11,Man City,43,115,21
174,27,104,Hazard,3,5,Chelsea,8,105,16
573,27,188,Mounie,4,8,Huddersfield,38,55,15
346,27,252,De Bruyne,3,11,Man City,43,103,13
442,27,234,Salah,3,10,Liverpool,14,106,13
31,27,593,Pritchard,3,8,Huddersfield,38,54,12
72,27,381,Davies,2,17,Spurs,6,58,12
230,27,359,Sigurdsson,3,7,Everton,11,80,12
478,27,548,Niasse,4,7,Everton,11,46,12
517,27,235,Firmino,4,10,Liverpool,14,95,12
602,27,102,Moses,2,5,Chelsea,8,65,12
0,27,443,Cresswell,2,20,West Ham,21,49,11
358,27,352,Naughton,2,16,Swansea,80,46,11
421,27,295,Ritchie,3,13,Newcastle,4,54,11
577,27,363,Ki Sung-yueng,3,16,Swansea,80,46,11
619,27,342,Shaqiri,3,15,Stoke,110,61,10
264,27,441,Collins,2,20,West Ham,21,43,9
405,27,621,Dubravka,1,13,Newcastle,4,45,9
127,27,97,Azpilicueta,2,5,Chelsea,8,69,8
153,27,520,Sánchez,2,17,Spurs,6,60,8
276,27,380,Vertonghen,2,17,Spurs,6,61,8
376,27,214,Karius,1,10,Liverpool,14,49,8
382,27,132,Milivojevic,3,6,Crystal Palace,31,52,8
398,27,340,Arnautovic,3,20,West Ham,21,71,8
411,27,54,Ryan,1,3,Brighton,36,46,8
503,27,247,Sterling,3,11,Man City,43,91,8
2,27,172,Mooy,3,8,Huddersfield,38,52,7
15,27,438,Adrián,1,20,West Ham,21,40,7
32,27,357,Mawson,2,16,Swansea,80,51,7
38,27,470,Christensen,2,5,Chelsea,8,53,7
129,27,63,Stephens,3,3,Brighton,36,45,7
203,27,294,Lejeune,2,13,Newcastle,4,43,7
280,27,487,Chicharito,4,20,West Ham,21,67,7
329,27,517,Izquierdo,3,3,Brighton,36,59,7
337,27,42,Stanislas,3,2,Bournemouth,91,57,7
504,27,173,van La Parra,3,8,Huddersfield,38,44,7
