,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
688,341,13,Ward-Prowse,3,Southampton,Southampton,20,65,2
706,354,13,Sissoko,3,Watford,Watford,57,44,2
765,413,13,Antonio,4,West Ham,West Ham,21,75,2
780,417,13,Masuaku,2,West Ham,West Ham,21,44,2
800,421,13,Rice,3,West Ham,West Ham,21,50,2
805,422,13,Soucek,3,West Ham,West Ham,21,57,2
810,423,13,Fornals,3,West Ham,West Ham,21,60,2
825,430,13,Jiménez,4,Wolves,Wolves,39,77,2
870,458,13,Soumaré,3,Leicester,Leicester,13,48,2
890,472,13,Cucho,4,Watford,Watford,57,50,2
935,503,13,Gordon,3,Everton,Everton,11,45,2
945,516,13,Sargent,4,Norwich,Norwich,45,54,2
950,518,13,Broja,4,Southampton,Southampton,20,55,2
955,525,13,A.Armstrong,4,Southampton,Southampton,20,57,2
960,527,13,Chalobah,2,Chelsea,Chelsea,8,47,2
999,583,13,Hwang,4,Wolves,Wolves,39,54,2
1,6,13,Lacazette,4,Arsenal,Arsenal,3,84,1
66,43,13,Buendía,3,Aston Villa,Aston Villa,7,62,1
71,44,13,Cash,2,Aston Villa,Aston Villa,7,53,1
258,137,13,Pulisic,3,Chelsea,Chelsea,8,79,1
263,138,13,Mount,3,Chelsea,Chelsea,8,75,1
273,142,13,James,2,Chelsea,Chelsea,8,62,1
293,146,13,Guaita,1,Crystal Palace,Crystal Palace,31,46,1
298,147,13,Tomkins,2,Crystal Palace,Crystal Palace,31,43,1
313,153,13,Ayew,4,Crystal Palace,Crystal Palace,31,58,1
318,154,13,Zaha,3,Crystal Palace,Crystal Palace,31,68,1
323,162,13,Mitchell,2,Crystal Palace,Crystal Palace,31,45,1
363,193,13,Roberts,3,Leeds,Leeds,2,48,1
393,209,13,Castagne,2,Leicester,Leicester,13,53,1
418,217,13,Söyüncü,2,Leicester,Leicester,13,49,1
423,219,13,Thomas,2,Leicester,Leicester,13,43,1
478,236,13,Minamino,3,Liverpool,Liverpool,14,51,1
513,256,13,Cancelo,2,Man City,Man City,43,69,1
523,259,13,Laporte,2,Man City,Man City,43,58,1
578,277,13,Fernandes,3,Man Utd,Man Utd,1,116,1
588,281,13,Rashford,3,Man Utd,Man Utd,1,94,1
593,282,13,van de Beek,3,Man Utd,Everton,11,57,1
638,305,13,Schär,2,Newcastle,Newcastle,4,43,1
683,336,13,Redmond,3,Southampton,Southampton,20,59,1
698,345,13,Adams,4,Southampton,Southampton,20,69,1
735,381,13,Cleverley,3,Watford,Watford,57,48,1
750,389,13,Bachmann,1,Watford,Watford,57,41,1
755,404,13,João Pedro,4,Watford,Watford,57,54,1
770,414,13,Dawson,2,West Ham,West Ham,21,49,1
785,418,13,Coufal,2,West Ham,West Ham,21,47,1
790,419,13,Benrahma,3,West Ham,West Ham,21,59,1
795,420,13,Bowen,3,West Ham,West Ham,21,68,1
835,435,13,Traoré,3,Wolves,Wolves,39,56,1
910,482,13,Townsend,3,Everton,Everton,11,52,1
915,484,13,Gray,3,Everton,Everton,11,55,1
930,499,13,Baptiste,3,Brentford,Brentford,94,49,1
1021,591,13,Rondón,4,Everton,Everton,11,60,1
11,16,13,Tierney,2,Arsenal,Arsenal,3,51,0
81,50,13,Douglas Luiz,3,Aston Villa,Aston Villa,7,44,0
238,130,13,Kanté,3,Chelsea,Chelsea,8,49,0
253,135,13,Chilwell,2,Chelsea,Chelsea,8,56,0
268,141,13,Havertz,3,Chelsea,Chelsea,8,79,0
338,180,13,Richarlison,4,Everton,Everton,11,75,0
348,185,13,Ayling,2,Leeds,Leeds,2,43,0
398,210,13,Tielemans,3,Leicester,Leicester,13,64,0
433,224,13,Matip,2,Liverpool,Liverpool,14,49,0
473,235,13,Origi,4,Liverpool,Liverpool,14,48,0
543,264,13,Zinchenko,2,Man City,Man City,43,53,0
548,265,13,Foden,3,Man City,Man City,43,78,0
568,273,13,Maguire,2,Man Utd,Man Utd,1,54,0
633,299,13,Lascelles,2,Newcastle,Newcastle,4,44,0
653,311,13,Lewis,2,Newcastle,Newcastle,4,42,0
740,382,13,Femenía,2,Watford,Watford,57,43,0
745,386,13,Hughes,3,Crystal Palace,Crystal Palace,31,47,0
860,455,13,Daka,4,Leicester,Leicester,13,71,0
925,488,13,Andersen,2,Crystal Palace,Crystal Palace,31,45,0
940,510,13,Dalot,2,Man Utd,Man Utd,1,43,0
985,577,13,Gelhardt,4,Leeds,Leeds,2,46,0
994,579,13,Ronaldo,4,Man Utd,Man Utd,1,122,0
693,343,13,Bednarek,2,Southampton,Southampton,20,44,-1
464,233,14,Salah,3,Liverpool,Liverpool,14,133,15
429,222,14,Henderson,3,Liverpool,Liverpool,14,50,13
995,579,14,Ronaldo,4,Man Utd,Man Utd,1,122,13
264,138,14,Mount,3,Chelsea,Chelsea,8,75,12
344,184,14,Cooper,2,Leeds,Leeds,2,44,12
729,370,14,Reguilón,2,Spurs,Spurs,6,52,12
404,212,14,Maddison,3,Leicester,Leicester,13,68,10
529,261,14,Bernardo,3,Man City,Man City,43,71,10
694,343,14,Bednarek,2,Southampton,Southampton,20,44,10
62,40,14,Watkins,4,Aston Villa,Aston Villa,7,75,9
206,113,14,Taylor,2,Burnley,Burnley,90,44,9
534,262,14,Dias,2,Man City,Man City,43,62,9
574,274,14,Fred,3,Man Utd,Man Utd,1,49,9
