,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
14,17,17,Tierney,2,Arsenal,Arsenal,3,52,18
68,17,284,Foden,3,Man City,Man City,43,61,14
35,17,386,Alderweireld,2,Spurs,Spurs,6,54,13
62,17,272,De Bruyne,3,Man City,Man City,43,118,13
237,17,390,Son,3,Spurs,Spurs,6,96,13
268,17,388,Kane,4,Spurs,Spurs,6,119,12
517,17,6,Lacazette,4,Arsenal,Arsenal,3,84,12
282,17,69,Trossard,3,Brighton,Brighton,36,55,11
524,17,449,Soucek,3,West Ham,West Ham,21,52,11
534,17,435,Cresswell,2,West Ham,West Ham,21,57,11
51,17,302,Fernandes,3,Man Utd,Man Utd,1,113,10
215,17,466,Neves,3,Wolves,Wolves,39,51,10
387,17,231,Maddison,3,Leicester,Leicester,13,72,10
544,17,16,Holding,2,Arsenal,Arsenal,3,43,10
172,17,23,Smith Rowe,3,Arsenal,Arsenal,3,42,9
239,17,366,Ings,4,Southampton,Southampton,20,84,9
281,17,130,McArthur,3,Crystal Palace,Crystal Palace,31,52,9
410,17,271,Gündogan,3,Man City,Man City,43,55,9
137,17,24,Saka,3,Arsenal,Arsenal,3,51,8
355,17,367,Stephens,2,Southampton,Southampton,20,46,8
482,17,320,Carroll,4,Newcastle,Newcastle,4,51,8
504,17,129,Tomkins,2,Crystal Palace,Crystal Palace,31,44,8
21,17,68,Maupay,4,Brighton,Brighton,36,58,7
33,17,134,Ward,2,Crystal Palace,Crystal Palace,31,43,7
38,17,8,Leno,1,Arsenal,Arsenal,3,50,7
49,17,228,Tielemans,3,Leicester,Leicester,13,64,7
105,17,432,Ogbonna,2,West Ham,West Ham,21,47,7
125,17,540,Traoré,3,Aston Villa,Aston Villa,7,58,7
238,17,376,Bednarek,2,Southampton,Southampton,20,47,7
317,17,128,Guaita,1,Crystal Palace,Crystal Palace,31,48,7
350,17,122,Hudson-Odoi,3,Chelsea,Chelsea,8,57,7
377,17,62,Dunk,2,Brighton,Brighton,36,48,7
432,17,383,Lloris,1,Spurs,Spurs,6,56,7
483,17,37,Grealish,3,Aston Villa,Aston Villa,7,75,7
538,17,461,Saïss,2,Wolves,Wolves,39,49,7
43,17,146,Mitchell,2,Crystal Palace,Crystal Palace,31,38,6
55,17,576,Dawson,2,West Ham,West Ham,21,45,6
67,17,391,Dier,2,Spurs,Spurs,6,46,6
225,17,558,Coufal,2,West Ham,West Ham,21,48,6
292,17,400,Bergwijn,3,Spurs,Spurs,6,70,6
329,17,395,Davies,2,Spurs,Spurs,6,45,6
376,17,303,Martial,4,Man Utd,Man Utd,1,86,6
404,17,313,Wan-Bissaka,2,Man Utd,Man Utd,1,58,6
507,17,370,Ward-Prowse,3,Southampton,Southampton,20,59,6
2,17,276,Sterling,3,Man City,Man City,43,109,5
42,17,224,Vardy,4,Leicester,Leicester,13,102,5
221,17,296,Pogba,3,Man Utd,Man Utd,1,76,5
331,17,221,Albrighton,3,Leicester,Leicester,13,52,5
340,17,474,Neto,3,Wolves,Wolves,39,55,5
349,17,465,Traoré,3,Wolves,Wolves,39,60,5
422,17,489,Eze,3,Crystal Palace,Crystal Palace,31,58,5
167,17,132,Benteke,4,Crystal Palace,Crystal Palace,31,55,4
498,17,500,Havertz,3,Chelsea,Chelsea,8,83,4
8,17,141,Zaha,3,Crystal Palace,Crystal Palace,31,71,3
108,17,138,Milivojevic,3,Crystal Palace,Crystal Palace,31,56,3
129,17,9,Xhaka,3,Arsenal,Arsenal,3,52,3
146,17,405,Ndombele,3,Spurs,Spurs,6,59,3
158,17,445,Bowen,3,West Ham,West Ham,21,58,3
171,17,448,Rice,3,West Ham,West Ham,21,47,3
184,17,450,Fornals,3,West Ham,West Ham,21,58,3
209,17,546,Semedo,2,Wolves,Wolves,39,51,3
275,17,133,Kouyaté,3,Crystal Palace,Crystal Palace,31,48,3
333,17,291,de Gea,1,Man Utd,Man Utd,1,53,3
363,17,157,Pickford,1,Everton,Everton,11,48,3
380,17,587,Benrahma,3,West Ham,West Ham,21,59,3
385,17,12,Martínez,1,Aston Villa,Aston Villa,7,53,3
448,17,148,Walcott,3,Southampton,Southampton,20,58,3
463,17,137,Townsend,3,Crystal Palace,Crystal Palace,31,55,3
481,17,4,Aubameyang,3,Arsenal,Arsenal,3,113,3
510,17,368,Armstrong,3,Southampton,Southampton,20,55,3
27,17,244,Henderson,3,Liverpool,Liverpool,14,54,2
52,17,213,Meslier,1,Leeds,Leeds,2,48,2
71,17,259,Alexander-Arnold,2,Liverpool,Liverpool,14,78,2
75,17,273,Stones,2,Man City,Man City,43,51,2
85,17,548,Mendy,1,Chelsea,Chelsea,8,53,2
88,17,514,Watkins,4,Aston Villa,Aston Villa,7,63,2
91,17,249,Firmino,4,Liverpool,Liverpool,14,91,2
101,17,65,March,3,Brighton,Brighton,36,49,2
115,17,251,Mané,3,Liverpool,Liverpool,14,118,2
134,17,243,Wijnaldum,3,Liverpool,Liverpool,14,53,2
138,17,254,Salah,3,Liverpool,Liverpool,14,129,2
151,17,252,Alisson,1,Liverpool,Liverpool,14,60,2
207,17,236,Ndidi,3,Leicester,Leicester,13,48,2
219,17,283,Zinchenko,2,Man City,Man City,43,55,2
254,17,570,Raphinha,3,Leeds,Leeds,2,56,2
261,17,498,Castagne,2,Leicester,Leicester,13,58,2
265,17,339,Almirón,3,Newcastle,Newcastle,4,56,2
270,17,38,McGinn,3,Aston Villa,Aston Villa,7,55,2
277,17,120,Mount,3,Chelsea,Chelsea,8,73,2
289,17,286,Rodrigo,3,Man City,Man City,43,53,2
295,17,504,Fabio Silva,4,Wolves,Wolves,39,52,2
343,17,277,Cancelo,2,Man City,Man City,43,58,2
358,17,344,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,2
359,17,217,Schmeichel,1,Leicester,Leicester,13,54,2
371,17,481,Pereira,3,West Brom,West Brom,35,54,2
412,17,202,Bamford,4,Leeds,Leeds,2,66,2
415,17,358,Callum Robinson,4,West Brom,West Brom,35,52,2
431,17,454,Moutinho,3,Wolves,Wolves,39,51,2
