,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
262,2,38,McGinn,3,Aston Villa,Aston Villa,7,55,2
280,2,98,Brownhill,3,Burnley,Burnley,90,49,2
286,2,454,Moutinho,3,Wolves,Wolves,39,51,2
296,2,325,Darlow,1,Newcastle,Newcastle,4,49,2
297,2,217,Schmeichel,1,Leicester,Leicester,13,54,2
315,2,270,Walker,2,Man City,Man City,43,61,2
324,2,392,Lucas Moura,3,Spurs,Spurs,6,64,2
340,2,306,Rashford,3,Man Utd,Man Utd,1,96,2
352,2,120,Mount,3,Chelsea,Chelsea,8,73,2
390,2,113,Kanté,3,Chelsea,Chelsea,8,49,2
393,2,279,Aké,2,Man City,Man City,43,54,2
413,2,514,Watkins,4,Aston Villa,Aston Villa,7,63,2
417,2,450,Fornals,3,West Ham,West Ham,21,58,2
426,2,296,Pogba,3,Man Utd,Man Utd,1,76,2
427,2,474,Neto,3,Wolves,Wolves,39,55,2
433,2,396,Højbjerg,3,Spurs,Spurs,6,49,2
463,2,466,Neves,3,Wolves,Wolves,39,51,2
469,2,360,Berge,3,Sheffield Utd,Sheffield Utd,49,49,2
471,2,309,McTominay,3,Man Utd,Man Utd,1,49,2
488,2,368,Armstrong,3,Southampton,Southampton,20,55,2
502,2,117,Werner,4,Chelsea,Chelsea,8,92,2
505,2,449,Soucek,3,West Ham,West Ham,21,52,2
526,2,478,Willian,3,Arsenal,Arsenal,3,75,2
533,2,228,Tielemans,3,Leicester,Leicester,13,64,2
1,2,435,Cresswell,2,West Ham,West Ham,21,57,1
5,2,512,Doucouré,3,Everton,Everton,11,51,1
9,2,54,Lallana,3,Brighton,Brighton,36,62,1
21,2,159,Iwobi,3,Everton,Everton,11,59,1
28,2,338,Saint-Maximin,3,Newcastle,Newcastle,4,52,1
29,2,516,Areola,1,Fulham,Fulham,54,45,1
38,2,432,Ogbonna,2,West Ham,West Ham,21,47,1
47,2,442,Masuaku,2,West Ham,West Ham,21,43,1
58,2,395,Davies,2,Spurs,Spurs,6,45,1
89,2,377,Adams,4,Southampton,Southampton,20,57,1
101,2,459,Coady,2,Wolves,Wolves,39,49,1
121,2,291,de Gea,1,Man Utd,Man Utd,1,53,1
124,2,344,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,1
150,2,391,Dier,2,Spurs,Spurs,6,46,1
155,2,201,Alioski,2,Leeds,Leeds,2,44,1
187,2,150,Sigurdsson,3,Everton,Everton,11,68,1
226,2,231,Maddison,3,Leicester,Leicester,13,72,1
274,2,157,Pickford,1,Everton,Everton,11,48,1
292,2,500,Havertz,3,Chelsea,Chelsea,8,83,1
311,2,110,Zouma,2,Chelsea,Chelsea,8,53,1
316,2,464,Dendoncker,3,Wolves,Wolves,39,46,1
321,2,195,Cooper,2,Leeds,Leeds,2,43,1
323,2,155,Digne,2,Everton,Everton,11,62,1
326,2,431,Fabianski,1,West Ham,West Ham,21,50,1
328,2,197,Ayling,2,Leeds,Leeds,2,44,1
381,2,108,Batshuayi,4,Crystal Palace,Crystal Palace,31,57,1
392,2,518,Mendy,3,Leicester,Leicester,13,42,1
402,2,96,Pope,1,Burnley,Burnley,90,55,1
403,2,18,Pépé,3,Arsenal,Arsenal,3,77,1
409,2,357,McBurnie,4,Sheffield Utd,Sheffield Utd,49,56,1
436,2,123,James,2,Chelsea,Chelsea,8,51,1
447,2,491,Koch,2,Leeds,Leeds,2,43,1
449,2,286,Rodrigo,3,Man City,Man City,43,53,1
450,2,492,Rodrigo,4,Leeds,Leeds,2,57,1
453,2,461,Saïss,2,Wolves,Wolves,39,49,1
454,2,106,Barkley,3,Chelsea,Aston Villa,7,58,1
459,2,507,Fraser,3,Newcastle,Newcastle,4,56,1
473,2,152,Coleman,2,Everton,Everton,11,49,1
489,2,200,Dallas,2,Leeds,Leeds,2,55,1
490,2,441,Haller,4,West Ham,West Ham,21,61,1
493,2,118,Abraham,4,Chelsea,Chelsea,8,71,1
515,2,308,Lindelöf,2,Man Utd,Man Utd,1,48,1
527,2,458,Boly,2,Wolves,Wolves,39,54,1
531,2,162,Mina,2,Everton,Everton,11,55,1
4,2,313,Wan-Bissaka,2,Man Utd,Man Utd,1,58,0
20,2,80,Mac Allister,3,Brighton,Brighton,36,53,0
22,2,363,McCarthy,1,Southampton,Southampton,20,44,0
56,2,232,Chilwell,2,Chelsea,Chelsea,8,59,0
69,2,343,Sharp,4,Sheffield Utd,Sheffield Utd,49,55,0
