,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2150,13,91,Pinnock,2,Brentford,Brentford,94,45,6
2155,13,314,Krul,1,Norwich,Norwich,45,45,6
2181,13,87,Goode,2,Brentford,Brentford,94,39,6
2224,13,431,Saïss,2,Wolves,Wolves,39,51,6
2239,13,439,Kilman,2,Wolves,Wolves,39,46,6
2249,13,61,Webster,2,Brighton,Brighton,36,43,6
2256,13,62,Veltman,2,Brighton,Brighton,36,42,6
2267,13,59,Dunk,2,Brighton,Brighton,36,48,6
2334,13,26,Martinelli,3,Arsenal,Arsenal,3,53,6
2416,13,225,Thiago,3,Liverpool,Liverpool,14,53,6
2428,13,67,White,2,Arsenal,Arsenal,3,45,6
2005,13,76,Jansson,2,Brentford,Brentford,94,45,5
2030,13,190,Llorente,2,Leeds,Leeds,2,45,5
2210,13,254,Mahrez,3,Man City,Man City,43,87,5
2211,13,479,Onyeka,3,Brentford,Brentford,94,49,5
2222,13,437,Semedo,2,Wolves,Wolves,39,48,5
2225,13,456,Gibson,2,Norwich,Norwich,45,44,5
2290,13,150,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,5
2353,13,215,Barnes,3,Leicester,Leicester,13,66,5
2390,13,201,Evans,2,Leicester,Leicester,13,54,4
1930,13,552,Forshaw,3,Leeds,Leeds,2,45,3
1941,13,15,Partey,3,Arsenal,Arsenal,3,50,3
1955,13,64,Trossard,3,Brighton,Brighton,36,59,3
1956,13,77,Nørgaard,3,Brentford,Brentford,94,50,3
1963,13,318,McLean,3,Norwich,Norwich,45,49,3
1965,13,230,Mané,3,Liverpool,Liverpool,14,117,3
1968,13,75,Moder,3,Brighton,Brighton,36,45,3
2002,13,232,Fabinho,3,Liverpool,Liverpool,14,54,3
2006,13,426,Moutinho,3,Wolves,Wolves,39,49,3
2032,13,478,Sambi Lokonga,3,Arsenal,Arsenal,3,48,3
2038,13,255,Sterling,3,Man City,Man City,43,105,3
2060,13,461,Trincão,3,Wolves,Wolves,39,56,3
2077,13,196,Raphinha,3,Leeds,Leeds,2,65,3
2119,13,408,Fabianski,1,West Ham,West Ham,21,50,3
2151,13,84,Janelt,3,Brentford,Brentford,94,49,3
2200,13,449,Rashica,3,Norwich,Norwich,45,52,3
2204,13,21,Smith Rowe,3,Arsenal,Arsenal,3,57,3
2246,13,287,James,3,Leeds,Leeds,2,60,3
2257,13,188,Dallas,3,Leeds,Leeds,2,49,3
2321,13,222,Henderson,3,Liverpool,Liverpool,14,50,3
2341,13,51,Ramsey,3,Aston Villa,Aston Villa,7,48,3
2364,13,267,Harrison,3,Leeds,Leeds,2,55,3
2365,13,270,de Gea,1,Man Utd,Man Utd,1,51,3
2395,13,170,Pickford,1,Everton,Everton,11,49,3
2400,13,558,Ødegaard,3,Arsenal,Arsenal,3,55,3
2401,13,492,Bailey,3,Aston Villa,Aston Villa,7,63,3
2419,13,168,Digne,2,Everton,Aston Villa,7,51,3
1881,13,341,Ward-Prowse,3,Southampton,Southampton,20,65,2
1900,13,257,Ederson,1,Man City,Man City,43,61,2
1915,13,421,Rice,3,West Ham,West Ham,21,50,2
1933,13,38,Mings,2,Aston Villa,Aston Villa,7,50,2
1936,13,145,Gilmour,3,Norwich,Norwich,45,43,2
1944,13,430,Jiménez,4,Wolves,Wolves,39,77,2
