,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
146,100,20,Pieters,2,Burnley,Burnley,90,41,1
186,125,20,Kovacic,3,Chelsea,Chelsea,8,49,1
191,127,20,Rüdiger,2,Chelsea,Chelsea,8,61,1
201,130,20,Kanté,3,Chelsea,Chelsea,8,49,1
296,213,20,Iheanacho,4,Leicester,Leicester,13,70,1
311,224,20,Matip,2,Liverpool,Liverpool,14,53,1
315,227,20,Chamberlain,3,Liverpool,Liverpool,14,58,1
431,274,20,Fred,3,Man Utd,Man Utd,1,49,1
464,290,20,Williams,2,Norwich,Norwich,45,39,1
522,336,20,Redmond,3,Southampton,Southampton,20,59,1
536,342,20,Walker-Peters,2,Southampton,Southampton,20,48,1
580,362,20,Lucas Moura,3,Spurs,Spurs,6,59,1
595,366,20,Winks,3,Spurs,Spurs,6,44,1
636,404,20,João Pedro,4,Watford,Watford,57,54,1
661,414,20,Dawson,2,West Ham,West Ham,21,49,1
752,462,20,Mwepu,3,Brighton,Brighton,36,59,1
818,510,20,Dalot,2,Man Utd,Man Utd,1,42,1
828,516,20,Sargent,4,Norwich,Norwich,45,54,1
838,518,20,Broja,4,Southampton,Southampton,20,53,1
853,555,20,Varane,2,Man Utd,Man Utd,1,55,1
61,61,20,Webster,2,Brighton,Brighton,36,43,0
76,64,20,Trossard,3,Brighton,Brighton,36,59,0
104,77,20,Nørgaard,3,Brentford,Brentford,94,50,0
119,84,20,Janelt,3,Brentford,Brentford,94,49,0
139,96,20,Mbeumo,3,Brentford,Brentford,94,52,0
159,112,20,Pope,1,Burnley,Burnley,90,53,0
171,121,20,Thiago Silva,2,Chelsea,Chelsea,8,56,0
196,129,20,Arrizabalaga,1,Chelsea,Chelsea,8,45,0
206,131,20,Ziyech,3,Chelsea,Chelsea,8,73,0
226,144,20,Gallagher,3,Crystal Palace,Crystal Palace,31,60,0
251,156,20,Butland,1,Crystal Palace,Crystal Palace,31,44,0
300,215,20,Barnes,3,Leicester,Leicester,13,65,0
335,234,20,Robertson,2,Liverpool,Liverpool,14,73,0
348,249,20,Walker,2,Man City,Man City,43,54,0
353,250,20,Gündogan,3,Man City,Man City,43,71,0
363,254,20,Mahrez,3,Man City,Man City,43,86,0
368,255,20,Sterling,3,Man City,Man City,43,105,0
408,266,20,Rodrigo,3,Man City,Man City,43,55,0
436,277,20,Fernandes,3,Man Utd,Man Utd,1,116,0
441,279,20,Telles,2,Man Utd,Man Utd,1,49,0
446,281,20,Rashford,3,Man Utd,Man Utd,1,94,0
487,315,20,Pukki,4,Norwich,Norwich,45,61,0
497,319,20,Hanley,2,Norwich,Norwich,45,44,0
502,326,20,Aarons,2,Norwich,Norwich,45,43,0
517,335,20,Romeu,3,Southampton,Southampton,20,45,0
546,345,20,Adams,4,Southampton,Southampton,20,65,0
605,369,20,Bergwijn,3,Spurs,Spurs,6,59,0
610,370,20,Reguilón,2,Spurs,Spurs,6,50,0
615,373,20,Skipp,3,Spurs,Spurs,6,44,0
619,376,20,Foster,1,Watford,Watford,57,42,0
623,379,20,Cathcart,2,Watford,Watford,57,42,0
627,382,20,Femenía,2,Watford,Watford,57,43,0
651,411,20,Cresswell,2,West Ham,West Ham,21,54,0
686,421,20,Rice,3,West Ham,West Ham,21,50,0
696,423,20,Fornals,3,West Ham,West Ham,21,59,0
734,449,20,Rashica,3,Norwich,Norwich,45,52,0
743,455,20,Daka,4,Leicester,Leicester,13,70,0
747,456,20,Gibson,2,Norwich,Norwich,45,44,0
757,464,20,Olise,3,Crystal Palace,Crystal Palace,31,53,0
806,501,20,Sarr,2,Chelsea,Chelsea,8,49,0
823,512,20,Elanga,3,Man Utd,Man Utd,1,48,0
833,517,20,Elyounoussi,3,Southampton,Southampton,20,54,0
871,578,20,Cornet,3,Burnley,Burnley,90,58,0
889,585,20,Roberts,2,Burnley,Burnley,90,44,0
149,106,20,Mee,2,Burnley,Burnley,90,46,-1
682,420,21,Bowen,3,West Ham,West Ham,21,69,21
667,416,21,Lanzini,3,West Ham,West Ham,21,56,18
95,74,21,Mac Allister,3,Brighton,Brighton,36,51,15
601,367,21,Sánchez,2,Spurs,Spurs,6,42,15
130,89,21,Roerslev,2,Brentford,Brentford,94,41,14
810,503,21,Gordon,3,Everton,Everton,11,47,14
672,418,21,Coufal,2,West Ham,West Ham,21,47,12
552,349,21,Diallo,3,Southampton,Southampton,20,45,11
705,426,21,Moutinho,3,Wolves,Wolves,39,49,11
758,464,21,Olise,3,Crystal Palace,Crystal Palace,31,53,11
120,84,21,Janelt,3,Brentford,Brentford,94,49,10
187,125,21,Kovacic,3,Chelsea,Chelsea,8,49,10
277,188,21,Dallas,3,Leeds,Leeds,2,49,10
364,254,21,Mahrez,3,Man City,Man City,43,86,9
409,266,21,Rodrigo,3,Man City,Man City,43,55,9
412,267,21,Harrison,3,Leeds,Leeds,2,55,9
647,408,21,Fabianski,1,West Ham,West Ham,21,50,9
657,413,21,Antonio,4,West Ham,West Ham,21,73,9
844,524,21,Wissa,3,Brentford,Brentford,94,57,9
57,58,21,Burn,2,Brighton,Newcastle,4,44,8
527,337,21,Ings,4,Aston Villa,Aston Villa,7,77,8
542,343,21,Bednarek,2,Southampton,Southampton,20,44,8
557,353,21,Lloris,1,Spurs,Spurs,6,55,8
687,421,21,Rice,3,West Ham,West Ham,21,50,8
702,424,21,Diop,2,West Ham,West Ham,21,42,8
717,437,21,Semedo,2,Wolves,Wolves,39,48,8
753,462,21,Mwepu,3,Brighton,Brighton,36,59,8
839,518,21,Broja,4,Southampton,Southampton,20,53,8
903,588,21,Emerson Royal,2,Spurs,Spurs,6,46,8
532,341,21,Ward-Prowse,3,Southampton,Southampton,20,64,7
662,414,21,Dawson,2,West Ham,West Ham,21,49,7
720,439,21,Kilman,2,Wolves,Wolves,39,45,7
13,22,21,Saka,3,Arsenal,Arsenal,3,67,6
177,122,21,Alonso,2,Chelsea,Chelsea,8,57,6
202,130,21,Kanté,3,Chelsea,Chelsea,8,49,6
212,137,21,Pulisic,3,Chelsea,Chelsea,8,79,6
274,186,21,Klich,3,Leeds,Leeds,2,51,6
324,230,21,Mané,3,Liverpool,Liverpool,14,118,6
389,259,21,Laporte,2,Man City,Man City,43,60,6
455,287,21,James,3,Leeds,Leeds,2,60,6
571,359,21,Son,3,Spurs,Spurs,6,112,6
576,361,21,Dier,2,Spurs,Spurs,6,47,6
586,364,21,Davies,2,Spurs,Spurs,6,45,6
611,370,21,Reguilón,2,Spurs,Spurs,6,50,6
652,411,21,Cresswell,2,West Ham,West Ham,21,54,6
677,419,21,Benrahma,3,West Ham,West Ham,21,59,6
708,429,21,Coady,2,Wolves,Wolves,39,47,6
872,578,21,Cornet,3,Burnley,Burnley,90,58,6
894,586,21,Edouard,4,Crystal Palace,Crystal Palace,31,60,6
31,43,21,Buendía,3,Aston Villa,Aston Villa,7,61,5
72,63,21,Maupay,4,Brighton,Brighton,36,62,5
140,96,21,Mbeumo,3,Brentford,Brentford,94,52,5
242,153,21,Ayew,4,Crystal Palace,Crystal Palace,31,58,5
344,240,21,Jota,3,Liverpool,Liverpool,14,83,5
394,261,21,Bernardo,3,Man City,Man City,43,70,5
518,335,21,Romeu,3,Southampton,Southampton,20,45,5
547,345,21,Adams,4,Southampton,Southampton,20,65,5
778,475,21,Sá,1,Wolves,Wolves,39,52,5
7,16,21,Tierney,2,Arsenal,Arsenal,3,49,4
105,77,21,Nørgaard,3,Brentford,Brentford,94,50,4
340,237,21,Alexander-Arnold,2,Liverpool,Liverpool,14,84,4
881,582,21,Vlasic,3,West Ham,West Ham,21,56,4
115,81,21,Canós,3,Brentford,Brentford,94,55,3
125,86,21,Jensen,3,Brentford,Brentford,94,49,3
135,91,21,Pinnock,2,Brentford,Brentford,94,44,3
422,270,21,de Gea,1,Man Utd,Man Utd,1,50,3
513,333,21,Forster,1,Southampton,Southampton,20,44,3
581,362,21,Lucas Moura,3,Spurs,Spurs,6,59,3
591,365,21,Højbjerg,3,Spurs,Spurs,6,48,3
697,423,21,Fornals,3,West Ham,West Ham,21,59,3
714,436,21,Neves,3,Wolves,Wolves,39,52,3
788,485,21,Sancho,3,Man Utd,Man Utd,1,89,3
1,6,21,Lacazette,4,Arsenal,Arsenal,3,81,2
19,26,21,Martinelli,3,Arsenal,Arsenal,3,53,2
43,50,21,Douglas Luiz,3,Aston Villa,Aston Villa,7,43,2
52,53,21,Lallana,3,Brighton,Brighton,36,53,2
67,62,21,Veltman,2,Brighton,Brighton,36,42,2
77,64,21,Trossard,3,Brighton,Brighton,36,59,2
85,69,21,Sánchez,1,Brighton,Brighton,36,45,2
110,78,21,Toney,4,Brentford,Brentford,94,69,2
153,107,21,Westwood,3,Burnley,Burnley,90,52,2
156,109,21,Wood,4,Burnley,Newcastle,4,63,2
163,118,21,McNeil,3,Burnley,Burnley,90,55,2
217,138,21,Mount,3,Chelsea,Chelsea,8,77,2
247,155,21,Schlupp,3,Crystal Palace,Crystal Palace,31,54,2
271,185,21,Ayling,2,Leeds,Leeds,2,43,2
280,196,21,Raphinha,3,Leeds,Leeds,2,63,2
308,222,21,Henderson,3,Liverpool,Liverpool,14,49,2
332,232,21,Fabinho,3,Liverpool,Liverpool,14,54,2
359,251,21,De Bruyne,3,Man City,Man City,43,121,2
369,255,21,Sterling,3,Man City,Man City,43,105,2
374,256,21,Cancelo,2,Man City,Man City,43,72,2
379,257,21,Ederson,1,Man City,Man City,43,62,2
384,258,21,Aké,2,Man City,Man City,43,47,2
399,262,21,Dias,2,Man City,Man City,43,62,2
417,269,21,Cavani,4,Man Utd,Man Utd,1,84,2
488,315,21,Pukki,4,Norwich,Norwich,45,61,2
493,318,21,McLean,3,Norwich,Norwich,45,49,2
508,329,21,Idah,4,Norwich,Norwich,45,48,2
523,336,21,Redmond,3,Southampton,Southampton,20,59,2
561,354,21,Sissoko,3,Watford,Watford,57,43,2
566,357,21,Kane,4,Spurs,Spurs,6,125,2
616,373,21,Skipp,3,Spurs,Spurs,6,44,2
624,379,21,Cathcart,2,Watford,Watford,57,42,2
633,386,21,Hughes,3,Crystal Palace,Crystal Palace,31,47,2
692,422,21,Soucek,3,West Ham,West Ham,21,57,2
735,449,21,Rashica,3,Norwich,Norwich,45,52,2
762,468,21,King,4,Watford,Watford,57,56,2
770,471,21,Lees-Melou,3,Norwich,Norwich,45,48,2
797,495,21,Kucka,3,Watford,Watford,57,55,2
802,499,21,Baptiste,3,Brentford,Brentford,94,49,2
854,555,21,Varane,2,Man Utd,Man Utd,1,55,2
859,556,21,Fernández,1,Brentford,Brentford,94,45,2
863,558,21,Ødegaard,3,Arsenal,Arsenal,3,56,2
869,575,21,Lennon,3,Burnley,Burnley,90,46,2
876,579,21,Ronaldo,4,Man Utd,Man Utd,1,122,2
10,21,21,Smith Rowe,3,Arsenal,Arsenal,3,57,1
22,30,21,Martínez,1,Aston Villa,Aston Villa,7,55,1
35,44,21,Cash,2,Aston Villa,Aston Villa,7,53,1
39,45,21,Konsa,2,Aston Villa,Aston Villa,7,49,1
47,51,21,Ramsey,3,Aston Villa,Aston Villa,7,47,1
81,67,21,White,2,Arsenal,Arsenal,3,46,1
90,71,21,Lamptey,2,Brighton,Brighton,36,45,1
100,75,21,Moder,3,Brighton,Brighton,36,45,1
150,106,21,Mee,2,Burnley,Burnley,90,46,1
167,119,21,Azpilicueta,2,Chelsea,Chelsea,8,56,1
172,121,21,Thiago Silva,2,Chelsea,Chelsea,8,56,1
182,123,21,Jorginho,3,Chelsea,Chelsea,8,57,1
192,127,21,Rüdiger,2,Chelsea,Chelsea,8,61,1
222,140,21,Hudson-Odoi,3,Chelsea,Chelsea,8,53,1
232,146,21,Guaita,1,Crystal Palace,Crystal Palace,31,46,1
257,159,21,Mateta,4,Crystal Palace,Crystal Palace,31,53,1
