,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
6,31,163,Hernández,4,7,Hull,88,59,14
459,31,14,Özil,3,1,Arsenal,3,95,14
119,31,394,Eriksen,3,17,Spurs,6,89,13
192,31,82,Hazard,3,4,Chelsea,8,105,13
74,31,398,Alli,3,17,Spurs,6,91,12
410,31,637,Niang,4,18,Watford,57,58,11
457,31,298,Yoshida,2,13,Southampton,20,45,11
534,31,127,Jagielka,2,6,Everton,11,49,11
627,31,425,Deeney,4,18,Watford,57,66,11
493,31,304,Redmond,3,13,Southampton,20,59,10
77,31,52,Afobe,4,2,Bournemouth,91,53,9
293,31,184,Vardy,4,8,Leicester,13,99,9
385,31,206,Markovic,3,7,Hull,88,52,9
463,31,58,Keane,2,3,Burnley,90,50,9
612,31,13,Walcott,3,1,Arsenal,3,72,9
51,31,120,Townsend,3,5,Crystal Palace,31,57,8
84,31,56,Mee,2,3,Burnley,90,44,8
223,31,5,Gabriel,2,1,Arsenal,3,48,8
232,31,62,Boyd,3,3,Burnley,90,51,8
252,31,37,Arter,3,2,Bournemouth,91,50,8
425,31,177,Albrighton,3,8,Leicester,13,50,8
582,31,239,Agüero,4,10,Man City,43,127,8
643,31,369,Routledge,3,16,Swansea,80,45,8
8,31,563,Traoré,3,12,Middlesbrough,25,48,7
120,31,168,Fuchs,2,8,Leicester,13,53,7
184,31,217,Origi,4,9,Liverpool,14,60,7
255,31,153,Maguire,2,7,Hull,88,44,7
259,31,402,Son,3,17,Spurs,6,72,7
270,31,567,Slimani,4,8,Leicester,13,82,7
290,31,306,Ward-Prowse,3,13,Southampton,20,50,7
349,31,48,King,3,2,Bournemouth,91,62,7
369,31,165,Schmeichel,1,8,Leicester,13,49,7
436,31,290,de Roon,3,12,Middlesbrough,25,43,7
531,31,203,Coutinho,3,9,Liverpool,14,87,7
658,31,272,Ibrahimovic,4,11,Man Utd,1,114,7
145,31,657,Martinez,1,1,Arsenal,3,39,6
156,31,172,Simpson,2,8,Leicester,13,49,6
170,31,230,Silva,3,10,Man City,43,86,6
260,31,407,Gomes,1,18,Watford,57,49,6
304,31,560,Hendrick,3,3,Burnley,90,53,6
357,31,411,Holebas,2,18,Watford,57,46,6
381,31,358,Naughton,2,16,Swansea,80,44,6
448,31,55,Lowton,2,3,Burnley,90,45,6
487,31,10,Monreal,2,1,Arsenal,3,59,6
512,31,145,Niasse,4,7,Hull,88,55,6
552,31,173,Huth,2,8,Leicester,13,49,6
624,31,54,Heaton,1,3,Burnley,90,51,6
649,31,219,Caballero,1,10,Man City,43,48,6
655,31,174,Benalouane,2,8,Leicester,13,40,6
660,31,478,Negredo,4,12,Middlesbrough,25,61,6
118,31,213,Christian Benteke,4,5,Crystal Palace,31,72,5
142,31,77,Azpilicueta,2,4,Chelsea,8,64,5
235,31,485,Wijnaldum,3,9,Liverpool,14,75,5
264,31,6,Bellerín,2,1,Arsenal,3,65,5
275,31,504,Stephens,2,13,Southampton,20,42,5
367,31,647,Grosicki,3,7,Hull,88,55,5
505,31,25,Giroud,4,1,Arsenal,3,81,5
550,31,209,Firmino,3,9,Liverpool,14,85,5
598,31,57,Ward,2,3,Burnley,90,45,5
600,31,305,Davis,3,13,Southampton,20,51,5
35,31,18,Chamberlain,3,1,Arsenal,3,58,4
48,31,152,Robertson,2,7,Hull,88,44,4
141,31,301,Cédric,2,13,Southampton,20,49,4
201,31,255,Bailly,2,11,Man Utd,1,55,4
337,31,642,Ayew,4,16,Swansea,80,50,4
407,31,247,Shaw,2,11,Man Utd,1,52,4
614,31,73,Courtois,1,4,Chelsea,8,59,4
635,31,405,Janssen,4,17,Spurs,6,75,4
4,31,482,Doucouré,3,18,Watford,57,46,3
30,31,12,Sánchez,3,1,Arsenal,3,117,3
62,31,29,Boruc,1,2,Bournemouth,91,45,3
81,31,278,Gibson,2,12,Middlesbrough,25,49,3
150,31,179,Drinkwater,3,8,Leicester,13,53,3
163,31,242,de Gea,1,11,Man Utd,1,55,3
175,31,181,Gray,3,8,Leicester,13,48,3
206,31,416,Capoue,3,18,Watford,57,45,3
242,31,24,Xhaka,3,1,Arsenal,3,52,3
339,31,340,Pickford,1,15,Sunderland,56,42,3
374,31,133,Mirallas,3,6,Everton,11,59,3
499,31,422,Amrabat,3,18,Watford,57,50,3
547,31,176,Mahrez,3,8,Leicester,13,89,3
557,31,134,Barkley,3,6,Everton,11,70,3
622,31,135,Cleverley,3,18,Watford,57,51,3
645,31,628,Ndidi,3,8,Leicester,13,46,3
21,31,158,Elmohamady,3,7,Hull,88,46,2
44,31,262,Herrera,3,11,Man Utd,1,62,2
50,31,68,Gray,4,3,Burnley,90,60,2
52,31,374,Ayew,3,20,West Ham,21,71,2
66,31,359,Williams,2,6,Everton,11,52,2
79,31,386,Davies,2,17,Spurs,6,50,2
112,31,83,Fàbregas,3,4,Chelsea,8,70,2
117,31,459,Kouyaté,3,20,West Ham,21,50,2
160,31,451,Randolph,1,20,West Ham,21,44,2
165,31,570,David Luiz,2,4,Chelsea,8,62,2
177,31,559,Ndong,3,15,Sunderland,56,48,2
178,31,97,Costa,4,4,Chelsea,8,104,2
191,31,308,Tadic,3,13,Southampton,20,69,2
199,31,204,Can,3,9,Liverpool,14,48,2
212,31,354,Borini,4,15,Sunderland,56,51,2
216,31,233,Fernandinho,3,10,Man City,43,53,2
221,31,294,Forster,1,13,Southampton,20,50,2
227,31,78,Cahill,2,4,Chelsea,8,67,2
230,31,320,Cameron,2,14,Stoke,110,42,2
247,31,368,Sigurdsson,3,16,Swansea,80,74,2
286,31,208,Milner,3,9,Liverpool,14,63,2
295,31,385,Vertonghen,2,17,Spurs,6,58,2
298,31,110,Puncheon,3,5,Crystal Palace,31,51,2
307,31,355,Defoe,4,15,Sunderland,56,74,2
309,31,266,Lingard,3,11,Man Utd,1,56,2
310,31,232,Navas,3,10,Man City,43,61,2
317,31,626,Barton,3,3,Burnley,90,41,2
318,31,202,Allen,3,14,Stoke,110,49,2
372,31,235,De Bruyne,3,10,Man City,43,105,2
382,31,384,Walker,2,17,Spurs,6,62,2
388,31,125,Baines,2,6,Everton,11,58,2
392,31,375,Fer,3,16,Swansea,80,48,2
393,31,489,Sané,3,10,Man City,43,77,2
402,31,356,Fabianski,1,16,Swansea,80,48,2
404,31,646,Milivojevic,3,5,Crystal Palace,31,50,2
420,31,561,Alonso,2,4,Chelsea,8,69,2
421,31,248,Rojo,2,11,Man Utd,1,52,2
424,31,271,Rashford,4,11,Man Utd,1,64,2
426,31,322,Muniesa,2,14,Stoke,110,40,2
427,31,38,Pugh,3,2,Bournemouth,91,46,2
431,31,331,Arnautovic,3,14,Stoke,110,71,2
435,31,257,Fellaini,3,11,Man Utd,1,58,2
441,31,495,Holgate,2,6,Everton,11,41,2
460,31,259,Carrick,3,11,Man Utd,1,42,2
481,31,391,Dembélé,3,17,Spurs,6,54,2
486,31,392,Chadli,3,19,West Brom,35,58,2
527,31,90,Pedro,3,4,Chelsea,8,68,2
555,31,143,Lukaku,4,6,Everton,11,101,2
565,31,318,Shawcross,2,14,Stoke,110,49,2
567,31,448,Berahino,4,14,Stoke,110,60,2
574,31,67,Vokes,4,3,Burnley,90,57,2
588,31,186,Okazaki,4,8,Leicester,13,56,2
603,31,32,Steve Cook,2,2,Bournemouth,91,48,2
605,31,282,Downing,3,12,Middlesbrough,25,48,2
618,31,382,Alderweireld,2,17,Spurs,6,64,2
621,31,397,Carroll,3,16,Swansea,80,41,2
641,31,100,Hennessey,1,5,Crystal Palace,31,43,2
647,31,111,Zaha,3,5,Crystal Palace,31,58,2
2,31,16,Ramsey,3,1,Arsenal,3,76,1
9,31,283,Clayton,3,12,Middlesbrough,25,43,1
15,31,34,Smith,2,2,Bournemouth,91,46,1
19,31,556,Mariappa,2,18,Watford,57,40,1
39,31,558,Mawson,2,16,Swansea,80,46,1
40,31,644,N'Diaye,3,7,Hull,88,41,1
46,31,638,Ranocchia,2,7,Hull,88,45,1
61,31,505,Masuaku,2,20,West Ham,21,47,1
63,31,70,Barnes,4,3,Burnley,90,46,1
67,31,260,Young,3,11,Man Utd,1,50,1
101,31,562,Martins Indi,2,14,Stoke,110,49,1
115,31,33,Daniels,2,2,Bournemouth,91,52,1
144,31,254,Blind,2,11,Man Utd,1,52,1
162,31,540,Janmaat,2,18,Watford,57,45,1
174,31,191,Lovren,2,9,Liverpool,14,49,1
193,31,542,Fernandes,3,20,West Ham,21,47,1
194,31,147,Jakupovic,1,7,Hull,88,41,1
