,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1289,29,465,Felipe Anderson,3,19,West Ham,21,68,3
1307,29,252,Wijnaldum,3,12,Liverpool,14,55,3
1316,29,172,Sigurdsson,3,8,Everton,11,74,3
1331,29,168,Gueye,3,8,Everton,11,47,3
1332,29,274,Gündogan,3,13,Man City,43,54,3
1391,29,249,Henderson,3,12,Liverpool,14,53,3
1423,29,498,Kepa,1,6,Chelsea,8,54,3
1439,29,519,Dendoncker,3,20,Wolves,39,43,3
1464,29,414,Lanzini,3,19,West Ham,21,64,3
1512,29,253,Salah,3,12,Liverpool,14,132,3
1533,29,279,Zinchenko,3,13,Man City,43,47,3
1563,29,270,Sterling,3,13,Man City,43,117,3
1597,29,251,Mané,3,12,Liverpool,14,103,3
1110,29,480,Mitrovic,4,9,Fulham,54,63,2
1115,29,15,Iwobi,3,1,Arsenal,3,54,2
1145,29,118,Rüdiger,2,6,Chelsea,8,59,2
1158,29,326,Pérez,4,15,Newcastle,4,61,2
1166,29,445,Foster,1,18,Watford,57,46,2
1177,29,2,Leno,1,1,Arsenal,3,49,2
1199,29,28,Daniels,2,2,Bournemouth,91,41,2
1204,29,364,Eriksen,3,17,Spurs,6,92,2
1207,29,192,Schindler,2,10,Huddersfield,38,42,2
1209,29,580,Mepham,2,2,Bournemouth,91,45,2
1211,29,87,Wood,4,4,Burnley,90,63,2
1260,29,543,Origi,4,12,Liverpool,14,50,2
1262,29,175,Calvert-Lewin,4,8,Everton,11,54,2
1265,29,534,McNeil,3,4,Burnley,90,44,2
1278,29,461,Durm,2,10,Huddersfield,38,44,2
1285,29,255,Fabinho,3,12,Liverpool,14,55,2
1322,29,571,Barnes,3,11,Leicester,13,55,2
1338,29,82,Cork,3,4,Burnley,90,46,2
1346,29,233,Maddison,3,11,Leicester,13,66,2
1383,29,191,Lössl,1,10,Huddersfield,38,44,2
1411,29,208,Bacuna,3,10,Huddersfield,38,42,2
1415,29,585,Grant,4,10,Huddersfield,38,50,2
1437,29,3,Koscielny,2,1,Arsenal,3,54,2
1457,29,150,Milivojevic,3,7,Crystal Palace,31,65,2
1493,29,317,Ritchie,3,15,Newcastle,4,58,2
1506,29,587,Almirón,3,15,Newcastle,4,60,2
1517,29,126,Kanté,3,6,Chelsea,8,49,2
1519,29,5,Monreal,2,1,Arsenal,3,54,2
1525,29,31,Aké,2,2,Bournemouth,91,51,2
1526,29,343,Redmond,3,16,Southampton,20,55,2
1528,29,88,Etheridge,1,5,Cardiff,97,46,2
1537,29,339,Oriol Romeu,3,16,Southampton,20,42,2
1557,29,340,Højbjerg,3,16,Southampton,20,44,2
1591,29,40,Fraser,3,2,Bournemouth,91,64,2
1594,29,184,Sessegnon,3,9,Fulham,54,60,2
1598,29,493,Rondón,4,15,Newcastle,4,59,2
1616,29,280,Agüero,4,13,Man City,43,120,2
1617,29,509,Rico,1,9,Fulham,54,44,2
1622,29,7,Mustafi,2,1,Arsenal,3,54,2
1626,29,12,Sokratis,2,1,Arsenal,3,51,2
1642,29,198,Kongolo,2,10,Huddersfield,38,43,2
1652,29,182,Cairney,3,9,Fulham,54,46,2
1670,29,504,Camarasa,3,5,Cardiff,97,44,2
1674,29,227,Ndidi,3,11,Leicester,13,49,2
1679,29,392,Hughes,3,18,Watford,57,49,2
1089,29,402,Cresswell,2,19,West Ham,21,50,1
1096,29,390,Doucouré,3,18,Watford,57,58,1
1133,29,149,Townsend,3,7,Crystal Palace,31,56,1
1134,29,508,André Gomes,3,8,Everton,11,54,1
1155,29,293,Young,2,14,Man Utd,1,57,1
1183,29,92,Ecuele Manga,2,5,Cardiff,97,44,1
1200,29,74,Taylor,2,4,Burnley,90,44,1
1210,29,284,Smalling,2,14,Man Utd,1,56,1
1232,29,354,Rose,2,17,Spurs,6,58,1
1245,29,282,de Gea,1,14,Man Utd,1,57,1
1254,29,225,Gray,3,11,Leicester,13,54,1
1281,29,389,Capoue,3,18,Watford,57,48,1
1294,29,314,Lejeune,2,15,Newcastle,4,44,1
1296,29,186,Ayité,3,9,Fulham,54,42,1
1312,29,17,Xhaka,3,1,Arsenal,3,52,1
1323,29,18,Mkhitaryan,3,1,Arsenal,3,66,1
1333,29,323,Hayden,3,15,Newcastle,4,43,1
1344,29,312,Lascelles,2,15,Newcastle,4,47,1
1347,29,147,McArthur,3,7,Crystal Palace,31,49,1
1349,29,254,Milner,3,12,Liverpool,14,56,1
1355,29,463,Vestergaard,2,16,Southampton,20,46,1
1356,29,335,Bednarek,2,16,Southampton,20,40,1
1362,29,315,Manquillo,2,15,Newcastle,4,43,1
1373,29,94,Bennett,2,5,Cardiff,97,44,1
1379,29,76,Gudmundsson,3,4,Burnley,90,55,1
1389,29,222,Evans,2,11,Leicester,13,48,1
1399,29,45,King,4,2,Bournemouth,91,64,1
1407,29,475,Moutinho,3,20,Wolves,39,51,1
1459,29,286,Shaw,2,14,Man Utd,1,51,1
1460,29,44,Mousset,4,2,Bournemouth,91,49,1
1473,29,417,Arnautovic,4,19,West Ham,21,67,1
1492,29,425,Doherty,2,20,Wolves,39,53,1
1499,29,331,Yoshida,2,16,Southampton,20,41,1
1500,29,13,Özil,3,1,Arsenal,3,79,1
1547,29,125,Pedro,3,6,Chelsea,8,62,1
1571,29,393,Richarlison,3,8,Everton,11,64,1
1575,29,257,Firmino,4,12,Liverpool,14,93,1
1636,29,211,Mounie,4,10,Huddersfield,38,58,1
1664,29,292,Lindelöf,2,14,Man Utd,1,49,1
1668,29,263,Kompany,2,13,Man City,43,52,1
1673,29,215,Morgan,2,11,Leicester,13,45,1
1091,29,199,Mooy,3,10,Huddersfield,38,50,0
1190,29,43,Wilson,4,2,Bournemouth,91,69,0
1229,29,266,Danilo,2,13,Man City,43,48,0
1241,29,99,Hoilett,3,5,Cardiff,97,50,0
1246,29,116,David Luiz,2,6,Chelsea,8,58,0
1251,29,310,Yedlin,2,15,Newcastle,4,45,0
1284,29,482,Schär,2,15,Newcastle,4,45,0
1372,29,441,Ward,2,7,Crystal Palace,31,43,0
1403,29,106,Murphy,3,5,Cardiff,97,48,0
1465,29,115,Alonso,2,6,Chelsea,8,62,0
1477,29,309,Dubravka,1,15,Newcastle,4,50,0
1503,29,415,Antonio,3,19,West Ham,21,68,0
1590,29,330,Bertrand,2,16,Southampton,20,48,0
1610,29,8,Kolasinac,2,1,Arsenal,3,49,0
1612,29,531,Longstaff,3,15,Newcastle,4,45,0
1545,29,302,Pogba,3,14,Man Utd,1,86,-1
1556,29,23,Aubameyang,4,1,Arsenal,3,108,-1
2171,30,270,Sterling,3,13,Man City,43,117,21
1765,30,326,Pérez,4,15,Newcastle,4,61,16
1961,30,234,Vardy,4,11,Leicester,13,90,16
2205,30,251,Mané,3,12,Liverpool,14,103,14
2183,30,257,Firmino,4,12,Liverpool,14,93,13
2199,30,40,Fraser,3,2,Bournemouth,91,64,13
1797,30,43,Wilson,4,2,Bournemouth,91,69,11
1848,30,99,Hoilett,3,5,Cardiff,97,50,11
1919,30,17,Xhaka,3,1,Arsenal,3,52,11
2206,30,493,Rondón,4,15,Newcastle,4,59,11
1873,30,122,Hazard,3,6,Chelsea,8,110,10
1959,30,338,Ward-Prowse,3,16,Southampton,20,51,10
2064,30,150,Milivojevic,3,7,Crystal Palace,31,65,10
1784,30,2,Leno,1,1,Arsenal,3,49,9
2297,30,591,Tielemans,3,11,Leicester,13,60,9
1720,30,22,Lacazette,4,1,Arsenal,3,94,8
1926,30,372,Kane,4,17,Spurs,6,126,8
2010,30,106,Murphy,3,5,Cardiff,97,48,8
2174,30,437,Jiménez,4,20,Wolves,39,69,8
2179,30,393,Richarlison,3,8,Everton,11,64,8
2245,30,345,Armstrong,3,16,Southampton,20,51,8
2278,30,504,Camarasa,3,5,Cardiff,97,44,8
1748,30,55,Knockaert,3,3,Brighton,36,52,7
1760,30,80,Westwood,3,4,Burnley,90,46,7
1806,30,28,Daniels,2,2,Bournemouth,91,41,7
1832,30,56,Stephens,3,3,Brighton,36,43,7
1986,30,76,Gudmundsson,3,4,Burnley,90,55,7
2000,30,154,Pickford,1,8,Everton,11,49,7
2136,30,88,Etheridge,1,5,Cardiff,97,46,7
2164,30,23,Aubameyang,4,1,Arsenal,3,108,7
2180,30,223,Mahrez,3,13,Man City,43,82,7
2292,30,556,Valery,2,16,Southampton,20,41,7
1757,30,25,Boruc,1,2,Bournemouth,91,41,6
1790,30,92,Ecuele Manga,2,5,Cardiff,97,44,6
1816,30,580,Mepham,2,2,Bournemouth,91,45,6
1854,30,271,David Silva,3,13,Man City,43,85,6
1866,30,432,Jota,3,20,Wolves,39,63,6
1869,30,175,Calvert-Lewin,4,8,Everton,11,54,6
1903,30,186,Ayité,3,9,Fulham,54,42,6
1915,30,394,Deulofeu,3,18,Watford,57,57,6
1953,30,233,Maddison,3,11,Leicester,13,66,6
1980,30,94,Bennett,2,5,Cardiff,97,44,6
2044,30,3,Koscielny,2,1,Arsenal,3,54,6
2127,30,5,Monreal,2,1,Arsenal,3,54,6
2133,30,31,Aké,2,2,Bournemouth,91,51,6
1740,30,149,Townsend,3,7,Crystal Palace,31,56,5
1741,30,508,André Gomes,3,8,Everton,11,54,5
1929,30,571,Barnes,3,11,Leicester,13,55,5
2054,30,48,Dunk,2,3,Brighton,36,44,5
2114,30,587,Almirón,3,15,Newcastle,4,60,5
2120,30,253,Salah,3,12,Liverpool,14,132,5
2218,30,8,Kolasinac,2,1,Arsenal,3,49,5
2224,30,280,Agüero,4,13,Man City,43,120,5
2234,30,12,Sokratis,2,1,Arsenal,3,51,5
2057,30,484,Digne,2,8,Everton,11,54,4
2266,30,396,Deeney,4,18,Watford,57,58,4
1698,30,14,Ramsey,3,1,Arsenal,3,71,3
1747,30,452,Gunn,1,16,Southampton,20,43,3
2108,30,13,Özil,3,1,Arsenal,3,79,3
1703,30,390,Doucouré,3,18,Watford,57,58,2
1717,30,480,Mitrovic,4,9,Fulham,54,63,2
1725,30,206,Pritchard,3,10,Huddersfield,38,48,2
1738,30,395,Gray,4,18,Watford,57,59,2
1759,30,85,Barnes,4,4,Burnley,90,56,2
1773,30,445,Foster,1,18,Watford,57,46,2
