,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
958,21,10,Monreal,2,1,Arsenal,3,57,0
1030,21,435,Rondón,4,19,West Brom,35,60,0
1054,21,213,Mignolet,1,10,Liverpool,14,47,0
1083,21,223,Alexander-Arnold,2,10,Liverpool,14,44,0
1104,21,342,Shaqiri,3,15,Stoke,110,61,0
804,21,430,McClean,3,19,West Brom,35,47,-1
1641,22,199,Mahrez,3,9,Leicester,13,87,14
1518,22,200,Albrighton,3,9,Leicester,13,55,13
1158,22,457,Carroll,4,20,West Ham,21,57,12
1473,22,252,De Bruyne,3,11,Man City,43,103,12
1616,22,282,Pogba,3,12,Man Utd,1,79,12
1165,22,280,Martial,3,12,Man Utd,1,78,11
1631,22,220,Klavan,2,10,Liverpool,14,41,11
1296,22,104,Hazard,3,5,Chelsea,8,105,10
1505,22,132,Milivojevic,3,6,Crystal Palace,31,52,10
1619,22,452,Obiang,3,20,West Ham,21,42,10
1181,22,302,Pérez,4,13,Newcastle,4,55,9
1367,22,390,Son,3,17,Spurs,6,83,9
1393,22,127,McArthur,3,6,Crystal Palace,31,44,9
1468,22,287,Darlow,1,13,Newcastle,4,43,9
1478,22,382,Trippier,2,17,Spurs,6,52,9
1516,22,266,Rojo,2,12,Man Utd,1,54,9
1632,22,247,Sterling,3,11,Man City,43,91,9
1704,22,33,Steve Cook,2,2,Bournemouth,91,46,9
1183,22,388,Alli,3,17,Spurs,6,90,8
1323,22,371,Llorente,4,17,Spurs,6,73,8
1346,22,71,Murray,4,3,Brighton,36,59,8
1371,22,7,Bellerín,2,1,Arsenal,3,59,8
1385,22,24,Wilshere,3,1,Arsenal,3,50,8
1390,22,290,Lascelles,2,13,Newcastle,4,49,8
1395,22,430,McClean,3,19,West Brom,35,47,8
1420,22,279,Lingard,3,12,Man Utd,1,60,8
1434,22,84,Gudmundsson,3,4,Burnley,90,50,8
1458,22,517,Izquierdo,3,3,Brighton,36,59,8
1660,22,230,Mané,3,10,Liverpool,14,94,8
1112,22,443,Cresswell,2,20,West Ham,21,49,7
1153,22,92,Gray,4,18,Watford,57,63,7
1164,22,62,Knockaert,3,3,Brighton,36,55,7
1283,22,215,Lovren,2,10,Liverpool,14,53,7
1378,22,212,Slimani,4,13,Newcastle,4,66,7
1404,22,380,Vertonghen,2,17,Spurs,6,61,7
1515,22,100,Alonso,2,5,Chelsea,8,71,7
1124,22,35,Adam Smith,2,2,Bournemouth,91,48,6
1134,22,541,Dragovic,2,9,Leicester,13,49,6
1189,22,381,Davies,2,17,Spurs,6,58,6
1208,22,48,Wilson,4,2,Bournemouth,91,56,6
1224,22,387,Eriksen,3,17,Spurs,6,97,6
1226,22,192,Fuchs,2,9,Leicester,13,47,6
1234,22,289,Clark,2,13,Newcastle,4,43,6
1270,22,260,De Gea,1,12,Man Utd,1,59,6
1278,22,288,Yedlin,2,13,Newcastle,4,45,6
1315,22,332,Pieters,2,15,Stoke,110,47,6
1360,22,198,Maguire,2,9,Leicester,13,55,6
1369,22,375,Lloris,1,17,Spurs,6,55,6
1386,22,478,Murphy,3,13,Newcastle,4,50,6
1435,22,242,Stones,2,11,Man City,43,53,6
