,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
604,420,39,Dendoncker,3,20,Wolves,39,44,3
612,422,39,André Gomes,3,8,Everton,11,52,3
704,490,39,Willock,3,1,Arsenal,3,47,3
0,1,39,Mustafi,2,1,Arsenal,3,51,2
4,2,39,Bellerín,2,1,Arsenal,3,52,2
20,12,39,Lacazette,4,1,Arsenal,3,92,2
76,53,39,Bissouma,3,4,Brighton,36,50,2
112,92,39,Vydra,4,5,Burnley,90,51,2
120,97,39,McNeil,3,5,Burnley,90,60,2
124,101,39,Westwood,3,5,Burnley,90,55,2
128,102,39,Cork,3,5,Burnley,90,49,2
140,108,39,Christensen,2,6,Chelsea,8,48,2
152,113,39,Willian,3,6,Chelsea,8,73,2
164,122,39,Wan-Bissaka,2,12,Man Utd,1,55,2
208,147,39,Calvert-Lewin,4,8,Everton,11,61,2
224,160,39,Maguire,2,12,Man Utd,1,53,2
232,162,39,Evans,2,9,Leicester,13,53,2
236,164,39,Söyüncü,2,9,Leicester,13,49,2
240,166,39,Vardy,4,9,Leicester,13,97,2
260,176,39,Ndidi,3,9,Leicester,13,50,2
364,225,39,Lindelöf,2,12,Man Utd,1,53,2
368,226,39,Shaw,2,12,Man Utd,1,54,2
372,233,39,Rashford,4,12,Man Utd,1,89,2
380,235,39,de Gea,1,12,Man Utd,1,53,2
388,239,39,Martial,3,12,Man Utd,1,85,2
488,329,39,Davies,2,17,Spurs,6,53,2
496,333,39,Sánchez,2,17,Spurs,6,53,2
508,338,39,Kane,4,17,Spurs,6,110,2
516,342,39,Son,3,17,Spurs,6,97,2
524,349,39,Sissoko,3,17,Spurs,6,48,2
528,350,39,Dier,3,17,Spurs,6,48,2
540,362,39,Deeney,4,18,Watford,57,62,2
544,366,39,Foster,1,18,Watford,57,49,2
548,370,39,Hughes,3,18,Watford,57,53,2
560,395,39,Rice,3,19,West Ham,21,47,2
596,415,39,Moutinho,3,20,Wolves,39,53,2
608,421,39,Trossard,3,4,Brighton,36,58,2
628,433,39,Justin,2,9,Leicester,13,47,2
648,448,39,Tielemans,3,9,Leicester,13,61,2
664,463,39,Mount,3,6,Chelsea,8,60,2
708,493,39,Webster,2,4,Brighton,36,44,2
748,525,39,Sarr,3,18,Watford,57,59,2
796,616,39,Soucek,3,19,West Ham,21,48,2
812,626,39,Bowen,3,19,West Ham,21,64,2
8,3,39,Kolasinac,2,1,Arsenal,3,52,1
12,10,39,Holding,2,1,Arsenal,3,44,1
32,18,39,Xhaka,3,1,Arsenal,3,51,1
36,22,39,El Mohamady,2,2,Aston Villa,7,41,1
80,68,39,King,4,3,Bournemouth,91,61,1
84,70,39,Mousset,4,15,Sheffield Utd,49,43,1
88,77,39,Stanislas,3,3,Bournemouth,91,58,1
156,117,39,Barkley,3,6,Chelsea,8,56,1
160,119,39,Kanté,3,6,Chelsea,8,50,1
220,151,39,Sigurdsson,3,8,Everton,11,73,1
244,167,39,Iheanacho,4,9,Leicester,13,57,1
276,184,39,Gomez,2,10,Liverpool,14,53,1
376,234,39,Greenwood,4,12,Man Utd,1,48,1
392,247,39,Matic,3,12,Man Utd,1,48,1
504,337,39,Walker-Peters,2,16,Southampton,20,44,1
552,389,39,Antonio,3,19,West Ham,21,71,1
556,392,39,Yarmolenko,3,19,West Ham,21,52,1
620,427,39,Martínez,1,1,Arsenal,3,44,1
632,437,39,Adams,4,16,Southampton,20,53,1
644,447,39,Pieters,2,5,Burnley,90,43,1
652,451,39,Rodriguez,4,5,Burnley,90,57,1
660,460,39,Abraham,4,6,Chelsea,8,73,1
688,475,39,Burn,2,4,Brighton,36,45,1
728,515,39,Tierney,2,1,Arsenal,3,53,1
744,523,39,Lo Celso,3,17,Spurs,6,73,1
772,561,39,Gordon,4,8,Everton,11,45,1
776,584,39,Smallbone,3,16,Southampton,20,45,1
788,614,39,Lazaro,3,13,Newcastle,4,53,1
804,620,39,Brownhill,3,5,Burnley,90,48,1
92,81,39,Gosling,3,3,Bournemouth,91,48,0
96,83,39,Mee,2,5,Burnley,90,49,0
100,84,39,Tarkowski,2,5,Burnley,90,55,0
104,86,39,Bardsley,2,5,Burnley,90,44,0
108,87,39,Taylor,2,5,Burnley,90,43,0
116,93,39,Pope,1,5,Burnley,90,52,0
264,181,39,Robertson,2,10,Liverpool,14,70,0
284,191,39,Salah,3,10,Liverpool,14,125,0
520,345,39,Lucas Moura,3,17,Spurs,6,70,0
696,486,39,Cédric,2,1,Arsenal,3,48,0
732,516,39,Mooy,3,4,Brighton,36,47,0
740,519,39,Krafth,2,13,Newcastle,4,43,0
768,554,39,Gayle,4,13,Newcastle,4,50,0
780,586,39,Lamptey,2,4,Brighton,36,41,0
136,106,39,David Luiz,2,1,Arsenal,3,57,-3
389,239,40,Martial,3,12,Man Utd,1,85,21
201,143,40,Keane,2,8,Everton,11,52,15
249,168,40,Schmeichel,1,9,Leicester,13,55,14
269,182,40,Alexander-Arnold,2,10,Liverpool,14,77,14
297,197,40,Fabinho,3,10,Liverpool,14,54,14
497,333,40,Sánchez,2,17,Spurs,6,53,12
165,122,40,Wan-Bissaka,2,12,Man Utd,1,55,11
197,141,40,Digne,2,8,Everton,11,59,11
285,191,40,Salah,3,10,Liverpool,14,125,11
117,93,40,Pope,1,5,Burnley,90,52,10
153,113,40,Willian,3,6,Chelsea,8,73,10
265,181,40,Robertson,2,10,Liverpool,14,70,9
273,183,40,van Dijk,2,10,Liverpool,14,65,9
289,192,40,Mané,3,10,Liverpool,14,121,9
373,233,40,Rashford,4,12,Man Utd,1,89,9
585,409,40,Jiménez,4,20,Wolves,39,80,9
729,515,40,Tierney,2,1,Arsenal,3,53,9
13,10,40,Holding,2,1,Arsenal,3,44,8
37,22,40,El Mohamady,2,2,Aston Villa,7,41,8
97,83,40,Mee,2,5,Burnley,90,49,8
229,161,40,Chilwell,2,9,Leicester,13,54,8
237,164,40,Söyüncü,2,9,Leicester,13,49,8
341,215,40,De Bruyne,3,11,Man City,43,106,8
397,251,40,Ritchie,2,13,Newcastle,4,53,8
569,402,40,Jonny,2,20,Wolves,39,55,8
621,427,40,Martínez,1,1,Arsenal,3,44,8
769,554,40,Gayle,4,13,Newcastle,4,50,8
489,329,40,Davies,2,17,Spurs,6,53,7
513,340,40,Lloris,1,17,Spurs,6,53,7
577,405,40,Boly,2,20,Wolves,39,49,7
625,431,40,Pulisic,3,6,Chelsea,8,74,7
693,478,40,Holgate,2,8,Everton,11,42,7
5,2,40,Bellerín,2,1,Arsenal,3,52,6
25,13,40,Nketiah,4,1,Arsenal,3,43,6
69,42,40,Dunk,2,4,Brighton,36,48,6
73,47,40,Ryan,1,4,Brighton,36,47,6
101,84,40,Tarkowski,2,5,Burnley,90,55,6
109,87,40,Taylor,2,5,Burnley,90,43,6
205,144,40,Coleman,2,8,Everton,11,53,6
213,148,40,Pickford,1,8,Everton,11,52,6
225,160,40,Maguire,2,12,Man Utd,1,53,6
233,162,40,Evans,2,9,Leicester,13,53,6
277,184,40,Gomez,2,10,Liverpool,14,53,6
281,189,40,Alisson,1,10,Liverpool,14,62,6
345,217,40,Mahrez,3,11,Man City,43,86,6
365,225,40,Lindelöf,2,12,Man Utd,1,53,6
381,235,40,de Gea,1,12,Man Utd,1,53,6
501,336,40,Aurier,2,17,Spurs,6,51,6
517,342,40,Son,3,17,Spurs,6,97,6
565,401,40,Doherty,2,20,Wolves,39,65,6
573,403,40,Coady,2,20,Wolves,39,51,6
581,407,40,Saïss,2,20,Wolves,39,47,6
589,411,40,Patrício,1,20,Wolves,39,53,6
601,417,40,Traoré,3,20,Wolves,39,56,6
653,451,40,Rodriguez,4,5,Burnley,90,57,6
689,475,40,Burn,2,4,Brighton,36,45,6
705,490,40,Willock,3,1,Arsenal,3,47,6
781,586,40,Lamptey,2,4,Brighton,36,41,6
1,1,40,Mustafi,2,1,Arsenal,3,51,5
49,28,40,Hourihane,3,2,Aston Villa,7,57,5
121,97,40,McNeil,3,5,Burnley,90,60,5
369,226,40,Shaw,2,12,Man Utd,1,54,5
509,338,40,Kane,4,17,Spurs,6,110,5
629,433,40,Justin,2,9,Leicester,13,47,5
21,12,40,Lacazette,4,1,Arsenal,3,92,4
661,460,40,Abraham,4,6,Chelsea,8,73,4
29,17,40,Iwobi,3,8,Everton,11,56,3
33,18,40,Xhaka,3,1,Arsenal,3,51,3
125,101,40,Westwood,3,5,Burnley,90,55,3
129,102,40,Cork,3,5,Burnley,90,49,3
217,150,40,Richarlison,3,8,Everton,11,82,3
257,175,40,Gray,3,9,Leicester,13,50,3
301,198,40,Henderson,3,10,Liverpool,14,52,3
385,238,40,Pogba,3,12,Man Utd,1,83,3
393,247,40,Matic,3,12,Man Utd,1,48,3
421,269,40,Shelvey,3,13,Newcastle,4,49,3
429,280,40,Krul,1,14,Norwich,45,46,3
521,345,40,Lucas Moura,3,17,Spurs,6,70,3
525,349,40,Sissoko,3,17,Spurs,6,48,3
529,350,40,Dier,3,17,Spurs,6,48,3
545,366,40,Foster,1,18,Watford,57,49,3
561,395,40,Rice,3,19,West Ham,21,47,3
613,422,40,André Gomes,3,8,Everton,11,52,3
657,452,40,Konsa,2,2,Aston Villa,7,43,3
677,469,40,Ceballos,3,1,Arsenal,3,52,3
