,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
130,84,13,Tarkowski,2,5,Burnley,90,55,17
35,28,13,Hourihane,3,2,Aston Villa,7,57,14
635,301,13,Fleck,3,15,Sheffield Utd,49,47,13
725,342,13,Son,3,17,Spurs,6,97,13
10,12,13,Lacazette,4,1,Arsenal,3,92,12
305,166,13,Vardy,4,9,Leicester,13,97,12
475,233,13,Rashford,4,12,Man Utd,1,89,11
580,280,13,Krul,1,14,Norwich,45,46,11
450,217,13,Mahrez,3,11,Man City,43,86,10
600,287,13,Cantwell,3,14,Norwich,45,45,10
875,415,13,Moutinho,3,20,Wolves,39,53,10
15,14,13,Leno,1,1,Arsenal,3,48,9
80,58,13,Steve Cook,2,3,Bournemouth,91,50,9
150,93,13,Pope,1,5,Burnley,90,52,9
360,187,13,Firmino,4,10,Liverpool,14,93,9
380,192,13,Mané,3,10,Liverpool,14,121,9
45,30,13,El Ghazi,3,2,Aston Villa,7,52,8
195,119,13,Kanté,3,6,Chelsea,8,50,8
290,161,13,Chilwell,2,9,Leicester,13,54,8
535,265,13,Pérez,3,9,Leicester,13,60,8
955,458,13,Guilbert,2,2,Aston Villa,7,43,8
100,70,13,Mousset,4,15,Sheffield Utd,49,43,7
145,91,13,Wood,4,5,Burnley,90,62,7
155,94,13,Heaton,1,2,Aston Villa,7,43,7
225,133,13,Zaha,3,7,Crystal Palace,31,66,7
285,159,13,Pereira,2,9,Leicester,13,62,7
445,215,13,De Bruyne,3,11,Man City,43,106,7
665,309,13,Targett,2,2,Aston Villa,7,43,7
735,345,13,Lucas Moura,3,17,Spurs,6,70,7
790,377,13,Ogbonna,2,19,West Ham,21,45,7
855,409,13,Jiménez,4,20,Wolves,39,80,7
910,432,13,Kovacic,3,6,Chelsea,8,53,7
40,29,13,Grealish,3,2,Aston Villa,7,59,6
135,86,13,Bardsley,2,5,Burnley,90,44,6
140,90,13,Barnes,4,5,Burnley,90,61,6
295,162,13,Evans,2,9,Leicester,13,53,6
300,164,13,Söyüncü,2,9,Leicester,13,49,6
315,168,13,Schmeichel,1,9,Leicester,13,55,6
335,181,13,Robertson,2,10,Liverpool,14,70,6
560,273,13,Godfrey,2,14,Norwich,45,44,6
670,313,13,Ings,4,16,Southampton,20,76,6
710,336,13,Aurier,2,17,Spurs,6,51,6
715,338,13,Kane,4,17,Spurs,6,110,6
805,389,13,Antonio,3,19,West Ham,21,71,6
925,445,13,Mings,2,2,Aston Villa,7,44,6
940,452,13,Konsa,2,2,Aston Villa,7,43,6
5,11,13,Aubameyang,4,1,Arsenal,3,109,5
