,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,475,Sá,39,1,50,5,3.797,False,1,1,2.1,3.797
1,237,Alexander-Arnold,14,2,75,5,6.073,False,1,1,35.5,6.073
2,256,Cancelo,43,2,60,5,4.636,False,1,1,8.8,4.636
3,437,Semedo,39,2,49,5,4.144,False,1,1,3.1,4.144
4,233,Salah,14,3,125,5,7.346,True,2,1,54.8,14.692
5,240,Jota,14,3,77,5,5.529,False,1,1,21.0,5.529
6,251,De Bruyne,43,3,119,5,6.1179999999999986,False,1,1,1.4,6.1179999999999986
7,268,Torres,43,3,72,5,6.506,False,1,1,17.1,6.506
8,78,Toney,94,4,63,5,4.333,False,1,1,14.6,4.333
9,315,Pukki,45,4,59,5,4.744,False,1,1,5.5,4.744
10,430,Jiménez,39,4,74,5,4.665,False,1,1,4.7,4.665
11,314,Krul,45,1,45,5,3.65,False,0,0,1.4,0.0
12,56,Duffy,36,2,42,5,2.908,False,0,0,19.0,0.0
13,299,Lascelles,4,2,44,5,3.4130000000000003,False,0,0,0.3,0.0
14,70,Bissouma,36,3,46,5,2.685,False,0,0,17.1,0.0
