,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,307,Ederson,43,1,54,3.9522,False,1,1,13.8,3.9522
1,16,Gabriel,3,2,52,3.838,False,1,1,13.5,3.838
2,284,Robertson,14,2,68,3.8884,False,1,1,5.0,3.8884
3,285,Alexander-Arnold,14,2,72,4.3793999999999995,False,1,1,18.4,4.3793999999999995
4,13,Saka,3,3,80,4.6452,False,1,1,17.0,4.6452
5,19,Martinelli,3,3,68,4.1612,False,1,1,48.5,4.1612
6,111,Trossard,36,3,71,4.0862,False,1,1,28.0,4.0862
7,160,Zaha,31,3,75,4.3574,False,1,1,19.3,4.3574
8,80,Toney,94,4,74,4.3262,False,1,1,18.5,4.3262
9,297,Darwin,14,4,90,4.687399999999999,False,1,1,12.1,4.687399999999999
10,318,Haaland,43,4,122,6.1722,True,2,1,82.7,12.3444
11,254,Ward,13,1,41,3.4664,False,0,0,28.4,0.0
12,377,Botman,4,2,44,2.8703999999999996,False,0,0,3.0,0.0
13,417,Perraud,20,2,44,2.9807999999999995,False,0,0,0.4,0.0
14,45,Bailey,7,3,45,3.0528,False,0,0,4.5,0.0
