,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,278,Ederson,43,1,61,26,9.016,False,1,9.3,9.016
1,259,Alexander-Arnold,14,2,74,26,9.079,False,1,14.3,9.079
2,277,Cancelo,43,2,61,26,9.174,False,1,24.4,9.174
3,556,Dias,43,2,61,26,9.203,False,1,20.8,9.203
4,251,Mané,14,3,118,26,10.079,False,1,5.4,10.079
5,254,Salah,14,3,126,26,12.904000000000002,True,2,43.2,25.808000000000003
6,276,Sterling,43,3,116,26,10.719,False,1,12.6,10.719
7,302,Fernandes,1,3,116,26,10.281,False,1,60.1,10.281
8,390,Son,6,3,95,26,10.181,False,1,51.4,10.181
9,224,Vardy,13,4,101,26,10.6,False,1,17.6,10.6
10,388,Kane,6,4,111,26,11.431,False,1,25.4,11.431
