,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,281,Alisson,14,1,55,17,4.02,False,1,1,16.0,4.02
1,16,Gabriel,3,2,52,17,4.8,False,1,1,13.6,4.8
2,112,Cucurella,8,2,51,17,4.851,False,1,1,7.5,4.851
3,332,Shaw,1,2,48,17,4.415,False,1,1,2.2,4.415
4,13,Saka,3,3,80,17,5.251,False,1,1,17.1,5.251
5,19,Martinelli,3,3,68,17,4.789,False,1,1,48.5,4.789
6,111,Trossard,36,3,71,17,4.7139999999999995,False,1,1,28.0,4.7139999999999995
7,160,Zaha,31,3,75,17,5.763,False,1,1,19.2,5.763
8,283,Salah,14,3,128,17,6.16,False,1,1,32.2,6.16
9,318,Haaland,43,4,122,17,7.045,True,2,1,82.7,14.09
10,345,Martial,1,4,67,17,4.872,False,1,1,1.9,4.872
11,254,Ward,13,1,41,17,3.31,False,0,0,28.5,0.0
12,272,Fofana,8,2,43,17,3.273,False,0,0,1.0,0.0
13,533,Martínez,1,2,45,17,4.3839999999999995,False,0,0,7.3,0.0
14,166,Edouard,31,4,53,17,4.035,False,0,0,2.7,0.0
